,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,baseOrder,compOrder,dam-lev,jac
349,ref-sifre-n.25.1.643-ref-sifre-n.25.1.667,ref-sifre-d.64.2.2-ref-sifre-d.64.2.16,42885,43011,6419,6433,ref-sifre-n.25.1.643,ref-sifre-n.25.1.667,112038,112114,18748,18762,ref-sifre-d.64.2.2,ref-sifre-d.64.2.16,נאמר כאן נזיר ונאמר להלן נזיר מה נזיר האמור להלן עשה בו ימים שלאחר נזירות כימים שבתוך נזירות עד הבאת קרבן אף נזיר האמור כאן ,נאמר כאן שמחה ונאמר להן שמחה מה שמחה האמורה להלן שלמים אף שמחה האמורה כאן ,25,15,210,349,0.5645161290322581,0.6666666666666667
350,ref-sifre-n.26.1.407-ref-sifre-n.26.1.423,ref-sifre-d.64.2.2-ref-sifre-d.64.2.16,45379,45465,6782,6798,ref-sifre-n.26.1.407,ref-sifre-n.26.1.423,112038,112114,18748,18762,ref-sifre-d.64.2.2,ref-sifre-d.64.2.16,נאמר כאן אמו ונאמר להלן אמו מה אמו האמור להלן מטמא בנגעם ובזיבתם אף אמו האמור כאן ,נאמר כאן שמחה ונאמר להן שמחה מה שמחה האמורה להלן שלמים אף שמחה האמורה כאן ,17,15,241,350,0.36585365853658536,0.5454545454545454
351,ref-sifre-n.29.1.150-ref-sifre-n.29.1.168,ref-sifre-d.64.2.2-ref-sifre-d.64.2.16,48867,48969,7300,7314,ref-sifre-n.29.1.150,ref-sifre-n.29.1.168,112038,112114,18748,18762,ref-sifre-d.64.2.2,ref-sifre-d.64.2.16,נאמר כאן שמיני ונאמר להלן שמיני מה שמיני האמור להלן הכשיר בו שמיני ומשמיני והלאה אף שמיני האמור כאן ,נאמר כאן שמחה ונאמר להן שמחה מה שמחה האמורה להלן שלמים אף שמחה האמורה כאן ,19,15,279,351,0.4,0.5454545454545454
352,ref-sifre-n.30.1.833-ref-sifre-n.30.1.857,ref-sifre-d.64.2.2-ref-sifre-d.64.2.16,53512,53640,7816,7832,ref-sifre-n.30.1.833,ref-sifre-n.30.1.857,112038,112114,18748,18762,ref-sifre-d.64.2.2,ref-sifre-d.64.2.16,נאמר כאן נזיר ונאמר להלן נזיר מה נזיר האמור להלן עשה בו ימים שלאחר נזירות בימים שבתוך נזירות עד הבאת קרבן אף נזיר האמור כאן ,נאמר כאן שמחה ונאמר להן שמחה מה שמחה האמורה להלן שלמים אף שמחה האמורה כאן ,25,15,310,352,0.5645161290322581,0.6666666666666667
353,ref-sifre-n.31.3.323-ref-sifre-n.31.3.347,ref-sifre-d.64.2.2-ref-sifre-d.64.2.16,57253,57381,8176,8192,ref-sifre-n.31.3.323,ref-sifre-n.31.3.347,112038,112114,18748,18762,ref-sifre-d.64.2.2,ref-sifre-d.64.2.16,נאמר כאן נזיר ונאמר להלן נזיר מה נזיר האמור להלן עשה בו ימים שלאחר נזירות בימים שבתוך נזירות עד הבאת קרבן אף נזיר האמור כאן ,נאמר כאן שמחה ונאמר להן שמחה מה שמחה האמורה להלן שלמים אף שמחה האמורה כאן ,25,15,340,353,0.5645161290322581,0.6666666666666667
354,ref-sifre-n.39.1.88-ref-sifre-n.39.1.102,ref-sifre-d.64.2.2-ref-sifre-d.64.2.16,62837,62916,9056,9070,ref-sifre-n.39.1.88,ref-sifre-n.39.1.102,112038,112114,18748,18762,ref-sifre-d.64.2.2,ref-sifre-d.64.2.16,נאמר כאן ברכה ונאמר להלן ברכה מה ברכה האמורה להלן בעמידה אף ברכה האמורה כאן ,נאמר כאן שמחה ונאמר להן שמחה מה שמחה האמורה להלן שלמים אף שמחה האמורה כאן ,15,15,370,354,0.2236842105263158,0.4444444444444444
355,ref-sifre-n.73.2.58-ref-sifre-n.73.2.74,ref-sifre-d.64.2.2-ref-sifre-d.64.2.16,98137,98229,14768,14784,ref-sifre-n.73.2.58,ref-sifre-n.73.2.74,112038,112114,18748,18762,ref-sifre-d.64.2.2,ref-sifre-d.64.2.16,נאמר כאן תרועה ונאמר להלן תרועה מה תרועה האמורה להלן תקיעה לאחר תרועה אף תרועה האמורה כאן ,נאמר כאן שמחה ונאמר להן שמחה מה שמחה האמורה להלן שלמים אף שמחה האמורה כאן ,17,15,472,355,0.35555555555555557,0.5
356,ref-sifre-n.73.2.136-ref-sifre-n.73.2.152,ref-sifre-d.64.2.2-ref-sifre-d.64.2.16,98548,98642,14835,14851,ref-sifre-n.73.2.136,ref-sifre-n.73.2.152,112038,112114,18748,18762,ref-sifre-d.64.2.2,ref-sifre-d.64.2.16,נאמר כאן תרועה ונאמר להלן תרועה מה תרועה האמורה להלן תוקע ומריע ותוקע אף תרועה האמורה כאן ,נאמר כאן שמחה ונאמר להן שמחה מה שמחה האמורה להלן שלמים אף שמחה האמורה כאן ,17,15,509,356,0.34444444444444444,0.5
357,ref-sifre-n.75.1.39-ref-sifre-n.75.1.56,ref-sifre-d.64.2.2-ref-sifre-d.64.2.16,99798,99894,15032,15049,ref-sifre-n.75.1.39,ref-sifre-n.75.1.56,112038,112114,18748,18762,ref-sifre-d.64.2.2,ref-sifre-d.64.2.16,נאמר כאן כהנים ונאמר להלן כהנים מה כהנים האמור להלן תמימים ולא בעלי מומין אף כהנים האמור כאן ,נאמר כאן שמחה ונאמר להן שמחה מה שמחה האמורה להלן שלמים אף שמחה האמורה כאן ,18,15,539,357,0.43010752688172044,0.5454545454545454
358,ref-sifre-n.113.1.59-ref-sifre-n.113.1.73,ref-sifre-d.64.2.2-ref-sifre-d.64.2.16,168004,168079,26424,26438,ref-sifre-n.113.1.59,ref-sifre-n.113.1.73,112038,112114,18748,18762,ref-sifre-d.64.2.2,ref-sifre-d.64.2.16,נאמר כאן מדבר ונאמר להלן מדבר מה מדבר האמור להלן צלפחד אף מדבר האמור כאן ,נאמר כאן שמחה ונאמר להן שמחה מה שמחה האמורה להלן שלמים אף שמחה האמורה כאן ,15,15,703,358,0.3108108108108108,0.4444444444444444
359,ref-sifre-n.124.1.255-ref-sifre-n.124.1.271,ref-sifre-d.64.2.2-ref-sifre-d.64.2.16,212297,212387,33518,33534,ref-sifre-n.124.1.255,ref-sifre-n.124.1.271,112038,112114,18748,18762,ref-sifre-d.64.2.2,ref-sifre-d.64.2.16,נאמרה כאן לקיחה ונאמרה להלן שמות יב לקיחה מה לקיחה האמורה להלן שלשה אף לקיחה האמורה כאן ,נאמר כאן שמחה ונאמר להן שמחה מה שמחה האמורה להלן שלמים אף שמחה האמורה כאן ,17,15,914,359,0.2727272727272727,0.5454545454545454
360,ref-sifre-n.128.2.2-ref-sifre-n.128.2.18,ref-sifre-d.64.2.2-ref-sifre-d.64.2.16,224877,224965,35523,35539,ref-sifre-n.128.2.2,ref-sifre-n.128.2.18,112038,112114,18748,18762,ref-sifre-d.64.2.2,ref-sifre-d.64.2.16,נאמרה כאן לקיחה ונאמרה להלן שמות יב לקיחה מה לקיחה האמורה להלן ג' אף לקיחה האמורה כאן ,נאמר כאן שמחה ונאמר להן שמחה מה שמחה האמורה להלן שלמים אף שמחה האמורה כאן ,17,15,1004,360,0.3023255813953488,0.5454545454545454
361,ref-sifre-n.133.4.23-ref-sifre-n.133.4.40,ref-sifre-d.64.2.2-ref-sifre-d.64.2.16,239043,239119,37915,37931,ref-sifre-n.133.4.23,ref-sifre-n.133.4.40,112038,112114,18748,18762,ref-sifre-d.64.2.2,ref-sifre-d.64.2.16,אף שם האמור כאן נחלה ומה שם האמור להלן זרע אף שם האמור כאן זרע כי אין לו ,נאמר כאן שמחה ונאמר להן שמחה מה שמחה האמורה להלן שלמים אף שמחה האמורה כאן ,18,15,1065,361,0.6081081081081081,0.6363636363636364
362,ref-sifre-n.142.2.71-ref-sifre-n.142.2.91,ref-sifre-d.64.2.2-ref-sifre-d.64.2.16,253472,253582,40355,40375,ref-sifre-n.142.2.71,ref-sifre-n.142.2.91,112038,112114,18748,18762,ref-sifre-d.64.2.2,ref-sifre-d.64.2.16,נאמרה כאן שמירה ונאמר להלן שמות יב שמירה מה שמירה האמורה להלן מבקרו ד' ימים קודם שחיטתו אף שמירה האמורה כאן ,נאמר כאן שמחה ונאמר להן שמחה מה שמחה האמורה להלן שלמים אף שמחה האמורה כאן ,21,15,1142,362,0.37037037037037035,0.6666666666666667
364,ref-sifre-n.142.2.212-ref-sifre-n.142.3.2,ref-sifre-d.64.2.2-ref-sifre-d.64.2.16,254184,254297,40470,40487,ref-sifre-n.142.2.212,ref-sifre-n.142.3.2,112038,112114,18748,18762,ref-sifre-d.64.2.2,ref-sifre-d.64.2.16,נאמר כאן במועדו ונא' להלן במועדו מה מועדו האמור להלן דוחה את השבת אף מועדו האמור כאן דוחה את השבת ואמרת להם ,נאמר כאן שמחה ונאמר להן שמחה מה שמחה האמורה להלן שלמים אף שמחה האמורה כאן ,22,15,1191,364,0.5555555555555556,0.7333333333333334
365,ref-sifre-n.157.8.90-ref-sifre-n.157.8.109,ref-sifre-d.64.2.2-ref-sifre-d.64.2.16,281484,281574,44898,44917,ref-sifre-n.157.8.90,ref-sifre-n.157.8.109,112038,112114,18748,18762,ref-sifre-d.64.2.2,ref-sifre-d.64.2.16,נאמר כאן בגד ונאמר להלן בגד מה בגד האמור להלן עשה בו כל מעשה עזים כשק אף בגד האמור כאן ,נאמר כאן שמחה ונאמר להן שמחה מה שמחה האמורה להלן שלמים אף שמחה האמורה כאן ,20,15,1257,365,0.42528735632183906,0.5833333333333333
366,ref-sifre-n.16.1.18-ref-sifre-n.16.1.36,ref-sifre-d.64.2.2-ref-sifre-d.64.3.1,27053,27148,4116,4134,ref-sifre-n.16.1.18,ref-sifre-n.16.1.36,112038,112125,18748,18764,ref-sifre-d.64.2.2,ref-sifre-d.64.3.1,נאמר כאן וכתב ונאמר להלן וכתב מה וכתב האמור להלן כשר בכל אדם אף וכתב האמור כאן כשר בכל ,נאמר כאן שמחה ונאמר להן שמחה מה שמחה האמורה להלן שלמים אף שמחה האמורה כאן שלמים בכל ,19,17,131,366,0.367816091954023,0.4545454545454546
368,ref-sifre-n.22.1.198-ref-sifre-n.22.1.207,ref-sifre-d.64.2.8-ref-sifre-d.64.2.16,33567,33623,5127,5136,ref-sifre-n.22.1.198,ref-sifre-n.22.1.207,112068,112114,18754,18762,ref-sifre-d.64.2.8,ref-sifre-d.64.2.16,מה הפלאה האמורה להלן בנדר ובנדבה אף הפלאה האמורה כאן ,מה שמחה האמורה להלן שלמים אף שמחה האמורה כאן ,10,9,168,368,0.3584905660377358,0.5555555555555556
369,ref-sifre-n.101.1.90-ref-sifre-n.101.1.102,ref-sifre-d.64.2.8-ref-sifre-d.64.3.1,138552,138611,21591,21603,ref-sifre-n.101.1.90,ref-sifre-n.101.1.102,112068,112125,18754,18764,ref-sifre-d.64.2.8,ref-sifre-d.64.3.1,מה מעשה האמור להלן של ספיר אף מעשה האמור כאן של ספיר מכל ,מה שמחה האמורה להלן שלמים אף שמחה האמורה כאן שלמים בכל ,13,11,626,369,0.2982456140350877,0.5
370,ref-sifre-n.34.1.108-ref-sifre-n.34.1.125,ref-sifre-d.65.5.4-ref-sifre-d.65.5.13,58622,58718,8385,8402,ref-sifre-n.34.1.108,ref-sifre-n.34.1.125,112747,112802,18864,18873,ref-sifre-d.65.5.4,ref-sifre-d.65.5.13,מיוחד שהוא בא בנדר ונדבה טעון נסכים כך כל הבא בנדר ונדבה טעון נסכים יצאו חטאת ואשם שאינם ,כל הנידר ונידב קרב בבמת יחיד וכל שאינו נידר ונידב ,18,10,362,370,0.7415730337078652,0.7777777777777778
372,ref-sifre-n.77.1.71-ref-sifre-n.77.1.94,ref-sifre-d.68.1.11-ref-sifre-d.68.1.22,101593,101707,15323,15346,ref-sifre-n.77.1.71,ref-sifre-n.77.1.94,113902,113973,19064,19075,ref-sifre-d.68.1.11,ref-sifre-d.68.1.22,"עולות אחד של צבור ואחד של יחיד אף שלמים אחד של צבור ואחד של יחיד ת""ל על עולותיכם ועל זבחי שלמיכם מה עולות שלמים ",עולותיכם עולת יחיד ועולת צבור וזבחיכם זבחי שלמי יחיד וזבחי שלמי צבור ,24,12,567,372,0.6339285714285714,0.5833333333333333
374,ref-sifre-n.107.1.214-ref-sifre-n.107.1.231,ref-sifre-d.68.5.1-ref-sifre-d.68.5.15,147435,147523,23062,23077,ref-sifre-n.107.1.214,ref-sifre-n.107.1.231,114150,114236,19103,19115,ref-sifre-d.68.5.1,ref-sifre-d.68.5.15,"אין לי אלא עולה מנין לרבות השלמים ת""ל זבח משמע מביא אלו ומביא חטאת ואשם ת""ל לפלא נדר ","אין לי אלא נדרים ונדבות מנין לרבות בכורות ומעשרות חטאות ואשמות ת""ל וכל מבחר נדריכם ",18,15,658,374,0.611764705882353,0.7142857142857143
375,ref-sifre-n.10.1.196-ref-sifre-n.10.1.205,ref-sifre-d.69.1.2-ref-sifre-d.69.1.11,21749,21797,3269,3278,ref-sifre-n.10.1.196,ref-sifre-n.10.1.205,114321,114374,19130,19139,ref-sifre-d.69.1.2,ref-sifre-d.69.1.11,נאמר כאן עפר ונאמר להלן עפר מה עפר האמורה להלן ,נאמרה כאן שמחה ונאמרה להלן שמחה מה שמחה האמורה להלן ,10,10,15,375,0.2692307692307692,0.33333333333333337
377,ref-sifre-n.116.1.236-ref-sifre-n.116.1.251,ref-sifre-d.69.1.2-ref-sifre-d.69.1.11,179116,179196,28281,28294,ref-sifre-n.116.1.236,ref-sifre-n.116.1.251,114321,114374,19130,19139,ref-sifre-d.69.1.2,ref-sifre-d.69.1.11,ונאמר להלן אתך מה אתך האמור להלן כאן בלוים הכתוב מדבר אף אתך האמור כאן להלן ,נאמרה כאן שמחה ונאמרה להלן שמחה מה שמחה האמורה להלן ,16,10,779,377,0.5789473684210527,0.6
378,ref-sifre-n.127.5.22-ref-sifre-n.127.5.37,ref-sifre-d.69.1.2-ref-sifre-d.69.1.13,224231,224303,35430,35443,ref-sifre-n.127.5.22,ref-sifre-n.127.5.37,114321,114383,19130,19141,ref-sifre-d.69.1.2,ref-sifre-d.69.1.13,נאמר כאן עפר ונאמר להלן במדבר ה עפר מה עפר האמור להלן על פני המים אף ,נאמרה כאן שמחה ונאמרה להלן שמחה מה שמחה האמורה להלן שלמים אף ,16,12,973,378,0.391304347826087,0.5833333333333333
379,ref-sifre-n.12.1.11-ref-sifre-n.12.1.27,ref-sifre-d.69.1.2-ref-sifre-d.69.1.16,23318,23410,3535,3551,ref-sifre-n.12.1.11,ref-sifre-n.12.1.27,114321,114400,19130,19144,ref-sifre-d.69.1.2,ref-sifre-d.69.1.16,נאמר כאן שבועה ונאמר להלן שבועה מה שבועה האמורה להלן היא נשבעת מאליה אף שבועה האמורה כאן ,נאמרה כאן שמחה ונאמרה להלן שמחה מה שמחה האמורה להלן שלמים אף שמחה האמורה כאן ,17,15,58,379,0.29213483146067415,0.5
380,ref-sifre-n.16.1.18-ref-sifre-n.16.1.34,ref-sifre-d.69.1.2-ref-sifre-d.69.1.16,27053,27139,4116,4132,ref-sifre-n.16.1.18,ref-sifre-n.16.1.34,114321,114400,19130,19144,ref-sifre-d.69.1.2,ref-sifre-d.69.1.16,נאמר כאן וכתב ונאמר להלן וכתב מה וכתב האמור להלן כשר בכל אדם אף וכתב האמור כאן ,נאמרה כאן שמחה ונאמרה להלן שמחה מה שמחה האמורה להלן שלמים אף שמחה האמורה כאן ,17,15,113,380,0.35443037974683544,0.5454545454545454
381,ref-sifre-n.25.1.643-ref-sifre-n.25.1.667,ref-sifre-d.69.1.2-ref-sifre-d.69.1.16,42885,43011,6419,6433,ref-sifre-n.25.1.643,ref-sifre-n.25.1.667,114321,114400,19130,19144,ref-sifre-d.69.1.2,ref-sifre-d.69.1.16,נאמר כאן נזיר ונאמר להלן נזיר מה נזיר האמור להלן עשה בו ימים שלאחר נזירות כימים שבתוך נזירות עד הבאת קרבן אף נזיר האמור כאן ,נאמרה כאן שמחה ונאמרה להלן שמחה מה שמחה האמורה להלן שלמים אף שמחה האמורה כאן ,25,15,211,381,0.5725806451612904,0.6666666666666667
382,ref-sifre-n.26.1.407-ref-sifre-n.26.1.423,ref-sifre-d.69.1.2-ref-sifre-d.69.1.16,45379,45465,6782,6798,ref-sifre-n.26.1.407,ref-sifre-n.26.1.423,114321,114400,19130,19144,ref-sifre-d.69.1.2,ref-sifre-d.69.1.16,נאמר כאן אמו ונאמר להלן אמו מה אמו האמור להלן מטמא בנגעם ובזיבתם אף אמו האמור כאן ,נאמרה כאן שמחה ונאמרה להלן שמחה מה שמחה האמורה להלן שלמים אף שמחה האמורה כאן ,17,15,242,382,0.3780487804878049,0.5454545454545454
383,ref-sifre-n.29.1.150-ref-sifre-n.29.1.168,ref-sifre-d.69.1.2-ref-sifre-d.69.1.16,48867,48969,7300,7314,ref-sifre-n.29.1.150,ref-sifre-n.29.1.168,114321,114400,19130,19144,ref-sifre-d.69.1.2,ref-sifre-d.69.1.16,נאמר כאן שמיני ונאמר להלן שמיני מה שמיני האמור להלן הכשיר בו שמיני ומשמיני והלאה אף שמיני האמור כאן ,נאמרה כאן שמחה ונאמרה להלן שמחה מה שמחה האמורה להלן שלמים אף שמחה האמורה כאן ,19,15,280,383,0.41,0.5454545454545454
384,ref-sifre-n.30.1.833-ref-sifre-n.30.1.857,ref-sifre-d.69.1.2-ref-sifre-d.69.1.16,53512,53640,7816,7832,ref-sifre-n.30.1.833,ref-sifre-n.30.1.857,114321,114400,19130,19144,ref-sifre-d.69.1.2,ref-sifre-d.69.1.16,נאמר כאן נזיר ונאמר להלן נזיר מה נזיר האמור להלן עשה בו ימים שלאחר נזירות בימים שבתוך נזירות עד הבאת קרבן אף נזיר האמור כאן ,נאמרה כאן שמחה ונאמרה להלן שמחה מה שמחה האמורה להלן שלמים אף שמחה האמורה כאן ,25,15,311,384,0.5725806451612904,0.6666666666666667
385,ref-sifre-n.31.3.323-ref-sifre-n.31.3.347,ref-sifre-d.69.1.2-ref-sifre-d.69.1.16,57253,57381,8176,8192,ref-sifre-n.31.3.323,ref-sifre-n.31.3.347,114321,114400,19130,19144,ref-sifre-d.69.1.2,ref-sifre-d.69.1.16,נאמר כאן נזיר ונאמר להלן נזיר מה נזיר האמור להלן עשה בו ימים שלאחר נזירות בימים שבתוך נזירות עד הבאת קרבן אף נזיר האמור כאן ,נאמרה כאן שמחה ונאמרה להלן שמחה מה שמחה האמורה להלן שלמים אף שמחה האמורה כאן ,25,15,341,385,0.5725806451612904,0.6666666666666667
386,ref-sifre-n.39.1.88-ref-sifre-n.39.1.102,ref-sifre-d.69.1.2-ref-sifre-d.69.1.16,62837,62916,9056,9070,ref-sifre-n.39.1.88,ref-sifre-n.39.1.102,114321,114400,19130,19144,ref-sifre-d.69.1.2,ref-sifre-d.69.1.16,נאמר כאן ברכה ונאמר להלן ברכה מה ברכה האמורה להלן בעמידה אף ברכה האמורה כאן ,נאמרה כאן שמחה ונאמרה להלן שמחה מה שמחה האמורה להלן שלמים אף שמחה האמורה כאן ,15,15,371,386,0.23376623376623376,0.4444444444444444
387,ref-sifre-n.73.2.58-ref-sifre-n.73.2.74,ref-sifre-d.69.1.2-ref-sifre-d.69.1.16,98137,98229,14768,14784,ref-sifre-n.73.2.58,ref-sifre-n.73.2.74,114321,114400,19130,19144,ref-sifre-d.69.1.2,ref-sifre-d.69.1.16,נאמר כאן תרועה ונאמר להלן תרועה מה תרועה האמורה להלן תקיעה לאחר תרועה אף תרועה האמורה כאן ,נאמרה כאן שמחה ונאמרה להלן שמחה מה שמחה האמורה להלן שלמים אף שמחה האמורה כאן ,17,15,473,387,0.36666666666666664,0.5
388,ref-sifre-n.73.2.136-ref-sifre-n.73.2.152,ref-sifre-d.69.1.2-ref-sifre-d.69.1.16,98548,98642,14835,14851,ref-sifre-n.73.2.136,ref-sifre-n.73.2.152,114321,114400,19130,19144,ref-sifre-d.69.1.2,ref-sifre-d.69.1.16,נאמר כאן תרועה ונאמר להלן תרועה מה תרועה האמורה להלן תוקע ומריע ותוקע אף תרועה האמורה כאן ,נאמרה כאן שמחה ונאמרה להלן שמחה מה שמחה האמורה להלן שלמים אף שמחה האמורה כאן ,17,15,510,388,0.35555555555555557,0.5
389,ref-sifre-n.75.1.39-ref-sifre-n.75.1.56,ref-sifre-d.69.1.2-ref-sifre-d.69.1.16,99798,99894,15032,15049,ref-sifre-n.75.1.39,ref-sifre-n.75.1.56,114321,114400,19130,19144,ref-sifre-d.69.1.2,ref-sifre-d.69.1.16,נאמר כאן כהנים ונאמר להלן כהנים מה כהנים האמור להלן תמימים ולא בעלי מומין אף כהנים האמור כאן ,נאמרה כאן שמחה ונאמרה להלן שמחה מה שמחה האמורה להלן שלמים אף שמחה האמורה כאן ,18,15,540,389,0.44086021505376344,0.5454545454545454
390,ref-sifre-n.113.1.59-ref-sifre-n.113.1.73,ref-sifre-d.69.1.2-ref-sifre-d.69.1.16,168004,168079,26424,26438,ref-sifre-n.113.1.59,ref-sifre-n.113.1.73,114321,114400,19130,19144,ref-sifre-d.69.1.2,ref-sifre-d.69.1.16,נאמר כאן מדבר ונאמר להלן מדבר מה מדבר האמור להלן צלפחד אף מדבר האמור כאן ,נאמרה כאן שמחה ונאמרה להלן שמחה מה שמחה האמורה להלן שלמים אף שמחה האמורה כאן ,15,15,704,390,0.3116883116883117,0.4444444444444444
391,ref-sifre-n.124.1.255-ref-sifre-n.124.1.271,ref-sifre-d.69.1.2-ref-sifre-d.69.1.16,212297,212387,33518,33534,ref-sifre-n.124.1.255,ref-sifre-n.124.1.271,114321,114400,19130,19144,ref-sifre-d.69.1.2,ref-sifre-d.69.1.16,נאמרה כאן לקיחה ונאמרה להלן שמות יב לקיחה מה לקיחה האמורה להלן שלשה אף לקיחה האמורה כאן ,נאמרה כאן שמחה ונאמרה להלן שמחה מה שמחה האמורה להלן שלמים אף שמחה האמורה כאן ,17,15,915,391,0.23863636363636365,0.5454545454545454
392,ref-sifre-n.128.2.2-ref-sifre-n.128.2.18,ref-sifre-d.69.1.2-ref-sifre-d.69.1.16,224877,224965,35523,35539,ref-sifre-n.128.2.2,ref-sifre-n.128.2.18,114321,114400,19130,19144,ref-sifre-d.69.1.2,ref-sifre-d.69.1.16,נאמרה כאן לקיחה ונאמרה להלן שמות יב לקיחה מה לקיחה האמורה להלן ג' אף לקיחה האמורה כאן ,נאמרה כאן שמחה ונאמרה להלן שמחה מה שמחה האמורה להלן שלמים אף שמחה האמורה כאן ,17,15,1005,392,0.26744186046511625,0.5454545454545454
393,ref-sifre-n.142.2.71-ref-sifre-n.142.2.91,ref-sifre-d.69.1.2-ref-sifre-d.69.1.16,253472,253582,40355,40375,ref-sifre-n.142.2.71,ref-sifre-n.142.2.91,114321,114400,19130,19144,ref-sifre-d.69.1.2,ref-sifre-d.69.1.16,נאמרה כאן שמירה ונאמר להלן שמות יב שמירה מה שמירה האמורה להלן מבקרו ד' ימים קודם שחיטתו אף שמירה האמורה כאן ,נאמרה כאן שמחה ונאמרה להלן שמחה מה שמחה האמורה להלן שלמים אף שמחה האמורה כאן ,21,15,1143,393,0.3611111111111111,0.6666666666666667
394,ref-sifre-n.142.2.212-ref-sifre-n.142.2.228,ref-sifre-d.69.1.2-ref-sifre-d.69.1.16,254184,254273,40470,40484,ref-sifre-n.142.2.212,ref-sifre-n.142.2.228,114321,114400,19130,19144,ref-sifre-d.69.1.2,ref-sifre-d.69.1.16,נאמר כאן במועדו ונא' להלן במועדו מה מועדו האמור להלן דוחה את השבת אף מועדו האמור כאן ,נאמרה כאן שמחה ונאמרה להלן שמחה מה שמחה האמורה להלן שלמים אף שמחה האמורה כאן ,17,15,1173,394,0.4470588235294118,0.6923076923076923
395,ref-sifre-n.157.8.90-ref-sifre-n.157.8.109,ref-sifre-d.69.1.2-ref-sifre-d.69.1.16,281484,281574,44898,44917,ref-sifre-n.157.8.90,ref-sifre-n.157.8.109,114321,114400,19130,19144,ref-sifre-d.69.1.2,ref-sifre-d.69.1.16,נאמר כאן בגד ונאמר להלן בגד מה בגד האמור להלן עשה בו כל מעשה עזים כשק אף בגד האמור כאן ,נאמרה כאן שמחה ונאמרה להלן שמחה מה שמחה האמורה להלן שלמים אף שמחה האמורה כאן ,20,15,1258,395,0.4367816091954023,0.5833333333333333
396,ref-sifre-n.22.1.193-ref-sifre-n.22.1.207,ref-sifre-d.69.1.3-ref-sifre-d.69.1.16,33539,33623,5122,5136,ref-sifre-n.22.1.193,ref-sifre-n.22.1.207,114327,114400,19131,19144,ref-sifre-d.69.1.3,ref-sifre-d.69.1.16,כאן הפלאה ונאמר להלן הפלאה מה הפלאה האמורה להלן בנדר ובנדבה אף הפלאה האמורה כאן ,כאן שמחה ונאמרה להלן שמחה מה שמחה האמורה להלן שלמים אף שמחה האמורה כאן ,15,14,148,396,0.35,0.5
397,ref-sifre-n.25.1.406-ref-sifre-n.25.1.420,ref-sifre-d.69.1.3-ref-sifre-d.69.1.16,41623,41697,6317,6331,ref-sifre-n.25.1.406,ref-sifre-n.25.1.420,114327,114400,19131,19144,ref-sifre-d.69.1.3,ref-sifre-d.69.1.16,כאן פרוע ונאמר להלן פרוע מה פרוע האמור להלן גידול שער אף פרוע האמור כאן ,כאן שמחה ונאמרה להלן שמחה מה שמחה האמורה להלן שלמים אף שמחה האמורה כאן ,15,14,181,397,0.375,0.5
398,ref-sifre-n.110.1.111-ref-sifre-n.110.1.126,ref-sifre-d.69.1.3-ref-sifre-d.69.1.16,156996,157074,24646,24661,ref-sifre-n.110.1.111,ref-sifre-n.110.1.126,114327,114400,19131,19144,ref-sifre-d.69.1.3,ref-sifre-d.69.1.16,כאן לחם עוני ונאמר להלן לחם מה לחם האמור להלן חמשת המינים אף לחם האמור כאן ,כאן שמחה ונאמרה להלן שמחה מה שמחה האמורה להלן שלמים אף שמחה האמורה כאן ,16,14,672,398,0.36,0.5454545454545454
399,ref-sifre-n.153.3.18-ref-sifre-n.153.3.33,ref-sifre-d.69.1.3-ref-sifre-d.69.1.16,264941,265016,42271,42286,ref-sifre-n.153.3.18,ref-sifre-n.153.3.33,114327,114400,19131,19144,ref-sifre-d.69.1.3,ref-sifre-d.69.1.16,כאן נדר ונאמר להלן נדר מה נדר האמור להלן נדר ונדבה עמו אף נדר האמור כאן ,כאן שמחה ונאמרה להלן שמחה מה שמחה האמורה להלן שלמים אף שמחה האמורה כאן ,16,14,1216,399,0.4444444444444444,0.5
400,ref-sifre-n.116.2.276-ref-sifre-n.116.2.287,ref-sifre-d.69.1.5-ref-sifre-d.69.1.16,183274,183335,28951,28962,ref-sifre-n.116.2.276,ref-sifre-n.116.2.287,114336,114400,19133,19144,ref-sifre-d.69.1.5,ref-sifre-d.69.1.16,ונאמר להלן יומת מה יומת האמור להלן סקילה אף יומת האמור כאן ,ונאמרה להלן שמחה מה שמחה האמורה להלן שלמים אף שמחה האמורה כאן ,12,12,820,400,0.3225806451612903,0.4444444444444444
401,ref-sifre-n.116.2.297-ref-sifre-n.116.2.308,ref-sifre-d.69.1.5-ref-sifre-d.69.1.16,183378,183439,28967,28978,ref-sifre-n.116.2.297,ref-sifre-n.116.2.308,114336,114400,19133,19144,ref-sifre-d.69.1.5,ref-sifre-d.69.1.16,ונאמר להלן יומת מה יומת האמור להלן בחנק אף יומת האמור כאן ,ונאמרה להלן שמחה מה שמחה האמורה להלן שלמים אף שמחה האמורה כאן ,12,12,842,401,0.3225806451612903,0.4444444444444444
