,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,baseOrder,compOrder,lev,jac,lcsseq
837,ref-bible.0105.32.13.12-ref-bible.0105.32.14.14,ref-sifre-d.317.4.44-ref-sifre-d.317.5.11,406392,406479,67873,67889,ref-bible.105.32.13.12,ref-bible.105.32.14.14,325870,325933,54553,54564,ref-sifre-d.317.4.44,ref-sifre-d.317.5.11,ושמן מחלמיש צור חמאת בקר וחלב צאן עם חלב כרים ואילים בני בשן ועתודים עם חלב כליות ,"ושמן ד""א חמאת בקר אלו הפיטקים והגמונים שלהם עם חלב כליות אלו ",17,12,837,1231,0.573170731707317,0.4285714285714286,0.5
838,ref-bible.0105.32.14.2-ref-bible.0105.32.14.11,ref-sifre-d.317.1.14-ref-sifre-d.317.1.24,406415,406466,67877,67886,ref-bible.105.32.14.2,ref-bible.105.32.14.11,324681,324736,54335,54345,ref-sifre-d.317.1.14,ref-sifre-d.317.1.24,בקר וחלב צאן עם חלב כרים ואילים בני בשן ועתודים ,בקר רעי ומאה צאן עם חלב כרים ואילים בני בשן ועתודים ,10,11,838,1222,0.1346153846153846,0.18181818181818177,0.1346153846153846
839,ref-bible.0105.32.14.5-ref-bible.0105.32.14.19,ref-sifre-d.317.5.31-ref-sifre-d.317.5.41,406429,406501,67880,67894,ref-bible.105.32.14.5,ref-bible.105.32.14.19,326049,326101,54584,54594,ref-sifre-d.317.5.31,ref-sifre-d.317.5.41,עם חלב כרים ואילים בני בשן ועתודים עם חלב כליות חטה ודם ענב תשתה חמר ,עם חלב כליות חטה אלו מטרוניות שלהם ודם ענב תשתה חמר ,15,11,839,1233,0.4782608695652174,0.3194444444444444,0.43478260869565216
840,ref-bible.0105.32.14.12-ref-bible.0105.32.14.19,ref-sifre-d.317.2.56-ref-sifre-d.317.2.65,406467,406501,67887,67894,ref-bible.105.32.14.12,ref-bible.105.32.14.19,325242,325286,54437,54446,ref-sifre-d.317.2.56,ref-sifre-d.317.2.65,עם חלב כליות חטה ודם ענב תשתה חמר ,עם חלב כליות חטה אלו סלתות ודם ענב תשתה חמר ,8,10,840,1227,0.22727272727272727,0.2272727272727273,0.22727272727272727
842,ref-bible.0105.32.14.18-ref-bible.0105.32.15.3,ref-sifre-d.317.7.21-ref-sifre-d.318.1.3,406493,406521,67893,67897,ref-bible.105.32.14.18,ref-bible.105.32.15.3,326690,326728,54698,54703,ref-sifre-d.317.7.21,ref-sifre-d.318.1.3,תשתה חמר וישמן ישרון ויבעט ,כשותה מן הפיטום וישמן ישורון ויבעט ,5,6,842,1235,0.34285714285714286,0.368421052631579,0.3142857142857143
843,ref-bible.0105.32.17.4-ref-bible.0105.32.17.10,ref-sifre-d.318.14.1-ref-sifre-d.318.14.11,406616,406649,67914,67920,ref-bible.105.32.17.4,ref-bible.105.32.17.10,329379,329441,55148,55157,ref-sifre-d.318.14.1,ref-sifre-d.318.14.11,אלה אלהים לא ידעום חדשים מקרב באו ,אלהים לא ידעום שאין אומות העולם מכירים אותם חדשים מקרוב באו ,7,11,843,1248,0.5333333333333333,0.43333333333333335,0.5
845,ref-bible.0105.32.18.1-ref-bible.0105.32.18.4,ref-sifre-d.319.2.2-ref-sifre-d.319.2.5,406666,406685,67924,67927,ref-bible.105.32.18.1,ref-bible.105.32.18.4,330196,330214,55289,55292,ref-sifre-d.319.2.2,ref-sifre-d.319.2.5,צור ילדך תשי ותשכח ,צור ילדך תשי שכחתם ,4,4,845,1254,0.21052631578947367,0.09999999999999998,0.10526315789473684
846,ref-bible.0105.32.19.4-ref-bible.0105.32.20.7,ref-sifre-d.320.2.18-ref-sifre-d.320.3.13,406713,406768,67933,67942,ref-bible.105.32.19.4,ref-bible.105.32.20.7,331179,331267,55450,55464,ref-sifre-d.320.2.18,ref-sifre-d.320.3.13,מכעס בניו ובנתיו ויאמר אסתירה פני מהם אראה מה אחריתם ,"מכעיסים עאכ""ו ויאמר אסתירה פני מהם אמר הקב""ה הריני מסלק שכינתי מביניכם אראה מה אחריתם ",10,15,846,1257,0.5348837209302325,0.4204545454545454,0.4883720930232558
847,ref-bible.0105.32.20.14-ref-bible.0105.32.21.6,ref-sifre-d.320.6.127-ref-sifre-d.320.7.6,406794,406833,67949,67956,ref-bible.105.32.20.14,ref-bible.105.32.21.6,332047,332086,55601,55608,ref-sifre-d.320.6.127,ref-sifre-d.320.7.6,אמן בם הם קנאוני בלא אל כעסוני בהבליהם ,אמן ה' הם קנאוני בלא אל כעסוני בהבליהם ,8,8,847,1265,0.05128205128205128,0.09756097560975607,0.05128205128205128
848,ref-bible.0105.32.21.1-ref-bible.0105.32.21.10,ref-sifre-d.320.7.30-ref-sifre-d.320.8.5,406801,406853,67951,67960,ref-bible.105.32.21.1,ref-bible.105.32.21.10,332209,332247,55632,55638,ref-sifre-d.320.7.30,ref-sifre-d.320.8.5,הם קנאוני בלא אל כעסוני בהבליהם ואני אקניאם בלא עם ,כעסוני בהבליהם ואני אקניאם בלא עם אל ,10,7,848,1267,0.39215686274509803,0.27450980392156865,0.3333333333333333
