,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,baseOrder,compOrder,lev,jac,lcsseq
0,ref-bible.0101.1.9.1-ref-bible.0101.1.9.9,ref-sifre-d.39.7.24-ref-sifre-d.39.7.31,469,516,74,82,ref-bible.101.1.9.1,ref-bible.101.1.9.9,63134,63175,10619,10626,ref-sifre-d.39.7.24,ref-sifre-d.39.7.31,ויאמר אלהים יקוו המים מתחת השמים אל מקום אחד ,שנאמר יקוו המים מתחת השמים אל מקום אחד ,9,8,0,234,0.17777777777777778,0.21276595744680848,0.17777777777777778
1,ref-bible.0101.2.6.2-ref-bible.0101.2.6.9,ref-sifre-d.43.8.49-ref-sifre-d.43.8.55,2673,2710,444,449,ref-bible.101.2.6.2,ref-bible.101.2.6.9,77002,77036,12943,12947,ref-sifre-d.43.8.49,ref-sifre-d.43.8.55,יעלה מן הארץ והשקה את כל פני האדמה ,יעלה מן הארץ והשקה את פני האדמה ,8,7,1,312,0.08571428571428572,0.08571428571428574,0.08571428571428572
2,ref-bible.0101.2.14.11-ref-bible.0101.2.15.10,ref-sifre-d.41.24.13-ref-sifre-d.41.24.24,3224,3288,542,551,ref-bible.101.2.14.11,ref-bible.101.2.15.10,71848,71914,12092,12101,ref-sifre-d.41.24.13,ref-sifre-d.41.24.24,הוא פרת ויקח יהוה אלהים את האדם וינחהו בגן עדן לעבדה ולשמרה ,כשהוא אומר ויקח ה' אלהים את האדם וינחהו בגן עדן לעבדה ולשמרה ,12,12,2,288,0.14754098360655737,0.1384615384615384,0.09836065573770492
3,ref-bible.0101.3.1.18-ref-bible.0101.3.3.1,ref-sifre-d.105.13.11-ref-sifre-d.105.13.18,4083,4152,702,715,ref-bible.101.3.1.18,ref-bible.101.3.3.1,143981,144019,24071,24078,ref-sifre-d.105.13.11,ref-sifre-d.105.13.18,לא תאכלו מכל עץ הגן ותאמר האשה אל הנחש מפרי עץ הגן נאכל ומפרי ,"נאכלים ת""ל מפרי העץ ולא כל פרי העץ ",14,8,3,603,0.7096774193548387,0.5076923076923077,0.6290322580645161
4,ref-bible.0101.3.12.1-ref-bible.0101.3.12.12,ref-sifre-d.1.14.107-ref-sifre-d.1.14.118,4787,4845,834,845,ref-bible.101.3.12.1,ref-bible.101.3.12.12,3161,3219,520,531,ref-sifre-d.1.14.107,ref-sifre-d.1.14.118,ויאמר האדם האשה אשר נתתה עמדי הוא נתנה לי מן העץ ואכל ,ויאמר האדם האשה אשר נתת עמדי היא נתנה לי מן העץ ואוכל ,12,12,4,10,0.05555555555555555,0.036363636363636376,0.037037037037037035
5,ref-bible.0101.3.24.1-ref-bible.0101.3.24.18,ref-sifre-d.40.14.34-ref-sifre-d.40.14.51,5694,5788,997,1011,ref-bible.101.3.24.1,ref-bible.101.3.24.18,68439,68535,11503,11517,ref-sifre-d.40.14.34,ref-sifre-d.40.14.51,ויגרש את האדם וישכן מקדם לגן עדן את הכרבים ואת להט החרב המתהפכת לשמר את דרך עץ החיים ,ויגרש את האדם וישכן מקדם לגן עדן את הכרובים ואת להט החרב המתהפכת לשמור את דרך עץ החיים ,18,18,5,261,0.022988505747126436,0.02298850574712641,0.022988505747126436
6,ref-bible.0101.4.4.10-ref-bible.0101.4.5.6,ref-sifre-d.318.16.24-ref-sifre-d.318.16.29,6021,6065,1052,1061,ref-bible.101.4.4.10,ref-bible.101.4.5.6,329757,329783,55210,55215,ref-sifre-d.318.16.24,ref-sifre-d.318.16.29,אל הבל ואל מנחתו ואל קין ואל מנחתו לא שעה ,ואל קין ואל מנחתו לא שעה ,10,6,6,1250,0.40476190476190477,0.40476190476190477,0.40476190476190477
8,ref-bible.0101.4.7.5-ref-bible.0101.4.8.1,ref-sifre-d.45.1.93-ref-sifre-d.45.1.118,6160,6223,1079,1089,ref-bible.101.4.7.5,ref-bible.101.4.8.1,86677,86809,14580,14602,ref-sifre-d.45.1.93,ref-sifre-d.45.1.118,ואם לא תיטיב לפתח חטאת רבץ ואליך תשוקתו ואתה תמשל בו ויאמר ,ואם לא תטיב לפתח חטאת רובץ ולא עוד אלא שמשאו ומתנו בך שנאמר ואליך תשוקתו ואם אתה רוצה אתה מושל בו שנא' ואתה תמשול בו ואומר ,12,26,8,359,0.5447154471544715,0.544,0.5365853658536586
10,ref-bible.0101.4.26.1-ref-bible.0101.4.26.13,ref-sifre-d.43.18.40-ref-sifre-d.43.18.51,7377,7432,1310,1319,ref-bible.101.4.26.1,ref-bible.101.4.26.13,80821,80875,13593,13603,ref-sifre-d.43.18.40,ref-sifre-d.43.18.51,ולשת גם הוא ילד בן ויקרא את שמו אנוש אז הוחל לקרא בשם ,ולשת גם הוא יולד בן ויקרא שמו אנוש אז הוחל לקרוא בשם ,13,12,10,337,0.09259259259259259,0.0892857142857143,0.05555555555555555
11,ref-bible.0101.7.11.13-ref-bible.0101.7.11.22,ref-sifre-d.43.8.99-ref-sifre-d.43.8.108,11505,11559,1963,1972,ref-bible.101.7.11.13,ref-bible.101.7.11.22,77266,77324,12986,12995,ref-sifre-d.43.8.99,ref-sifre-d.43.8.108,ביום הזה נבקעו כל מעינת תהום רבה וארבת השמים נפתחו ,ביום הזה נבקעו כל מעיינות תהום רבה וארובות השמים נפתחו ,10,10,11,313,0.07272727272727272,0.07272727272727275,0.07272727272727272
12,ref-bible.0101.11.1.1-ref-bible.0101.11.3.1,ref-sifre-d.43.9.13-ref-sifre-d.43.9.31,17405,17502,3000,3016,ref-bible.101.11.1.1,ref-bible.101.11.3.1,77391,77501,13006,13024,ref-sifre-d.43.9.13,ref-sifre-d.43.9.31,ויהי כל הארץ שפה אחת ודברים אחדים ויהי בנסעם מקדם וימצאו בקעה בארץ שנער וישבו שם ויאמרו ,ויהי כל הארץ שפה אחת ודברים אחדים ויהי בנסעם מקדם וימצאו בקעה בארץ שנער וישבו שם ואין ישיבה האמורה ,17,19,12,314,0.12121212121212122,0.11111111111111116,0.12121212121212122
13,ref-bible.0101.11.4.1-ref-bible.0101.11.4.11,ref-sifre-d.43.9.46-ref-sifre-d.43.9.56,17590,17649,3030,3040,ref-bible.101.11.4.1,ref-bible.101.11.4.11,77577,77635,13039,13049,ref-sifre-d.43.9.46,ref-sifre-d.43.9.56,ויאמרו הבה נבנה לנו עיר ומגדל וראשו בשמים ונעשה לנו שם ,שאמרו הבה נבנה לנו עיר ומגדל וראשו בשמים ונעשה לנו שם ,11,11,13,316,0.03636363636363636,0.0535714285714286,0.03636363636363636
14,ref-bible.0101.12.5.8-ref-bible.0101.12.5.19,ref-sifre-d.32.2.29-ref-sifre-d.32.2.40,19626,19681,3351,3362,ref-bible.101.12.5.8,ref-bible.101.12.5.19,40937,40998,6911,6922,ref-sifre-d.32.2.29,ref-sifre-d.32.2.40,בן אחיו ואת כל רכושם אשר רכשו ואת הנפש אשר עשו בחרן ,"בו נשמה אינן יכולים לבראותו ומה ת""ל ואת הנפש אשר עשו בחרן ",12,12,14,176,0.43103448275862066,0.33333333333333337,0.39655172413793105
15,ref-bible.0101.12.6.1-ref-bible.0101.12.6.9,ref-sifre-d.56.1.21-ref-sifre-d.56.1.29,19721,19763,3370,3378,ref-bible.101.12.6.1,ref-bible.101.12.6.9,104893,104936,17575,17583,ref-sifre-d.56.1.21,ref-sifre-d.56.1.29,ויעבר אברם בארץ עד מקום שכם עד אלון מורה ,ויעבר אברהם בארץ עד מקום שכם עד אלון מורה ,9,9,15,454,0.023809523809523808,0.023809523809523836,0.023809523809523808
16,ref-bible.0101.12.6.1-ref-bible.0101.12.6.9,ref-sifre-d.56.1.83-ref-sifre-d.56.1.95,19721,19763,3370,3378,ref-bible.101.12.6.1,ref-bible.101.12.6.9,105212,105277,17630,17642,ref-sifre-d.56.1.83,ref-sifre-d.56.1.95,ויעבר אברם בארץ עד מקום שכם עד אלון מורה ,ויעבר אברם בארץ וגו' מה אלון מורה האמור להלן שכם אף אלון מורה ,9,13,16,455,0.43548387096774194,0.4852941176470589,0.43548387096774194
17,ref-bible.0101.12.10.1-ref-bible.0101.12.10.6,ref-sifre-d.311.1.50-ref-sifre-d.311.1.55,19996,20029,3416,3421,ref-bible.101.12.10.1,ref-bible.101.12.10.6,318056,318089,53200,53205,ref-sifre-d.311.1.50,ref-sifre-d.311.1.55,ויהי רעב בארץ וירד אברם מצרימה ,ויהי רעב בארץ וירד אברם מצרימה ,6,6,17,1193,0.0,0.0,0.0
18,ref-bible.0101.13.7.1-ref-bible.0101.13.7.10,ref-sifre-d.286.1.10-ref-sifre-d.286.1.19,21064,21110,3612,3621,ref-bible.101.13.7.1,ref-bible.101.13.7.10,269296,269344,44987,44996,ref-sifre-d.286.1.10,ref-sifre-d.286.1.19,ויהי ריב בין רעי מקנה אברם ובין רעי מקנה לוט ,ויהי ריב בין רועי מקנה אברם ובין רועי מקנה לוט ,10,10,18,1033,0.0425531914893617,0.04255319148936165,0.0425531914893617
19,ref-bible.0101.13.7.2-ref-bible.0101.13.7.10,ref-sifre-d.292.1.16-ref-sifre-d.292.1.24,21070,21110,3613,3621,ref-bible.101.13.7.2,ref-bible.101.13.7.10,277671,277713,46446,46454,ref-sifre-d.292.1.16,ref-sifre-d.292.1.24,ריב בין רעי מקנה אברם ובין רעי מקנה לוט ,ריב בין רועי מקנה אברם ובין רועי מקנה לוט ,9,9,19,1056,0.047619047619047616,0.04761904761904767,0.047619047619047616
20,ref-bible.0101.13.10.1-ref-bible.0101.13.10.12,ref-sifre-d.43.11.5-ref-sifre-d.43.11.16,21304,21356,3658,3666,ref-bible.101.13.10.1,ref-bible.101.13.10.12,78356,78409,13171,13180,ref-sifre-d.43.11.5,ref-sifre-d.43.11.16,וישא לוט את עיניו וירא את כל ככר הירדן כי כלה משקה ,וישא לוט את עיניו וירא את כל ככר הירדן כי כלה משקה ,12,12,20,321,0.0,0.0,0.0
21,ref-bible.0101.13.11.9-ref-bible.0101.13.11.14,ref-sifre-d.311.5.17-ref-sifre-d.311.5.21,21457,21487,3686,3691,ref-bible.101.13.11.9,ref-bible.101.13.11.14,318959,318983,53344,53348,ref-sifre-d.311.5.17,ref-sifre-d.311.5.21,לוט מקדם ויפרדו איש מעל אחיו ,לוט ויפרדו איש מעל אחיו ,6,5,21,1194,0.1724137931034483,0.1724137931034483,0.1724137931034483
22,ref-bible.0101.13.15.10-ref-bible.0101.13.16.5,ref-sifre-d.11.1.25-ref-sifre-d.11.1.32,21717,21759,3735,3740,ref-bible.101.13.15.10,ref-bible.101.13.16.5,14663,14709,2463,2469,ref-sifre-d.11.1.25,ref-sifre-d.11.1.32,ולזרעך עד עולם ושמתי את זרעך כעפר הארץ ,זרעך ככוכבי השמים ושמתי את זרעך כעפר הארץ ,8,8,22,74,0.2857142857142857,0.3125,0.23809523809523808
23,ref-bible.0101.13.15.10-ref-bible.0101.13.16.16,ref-sifre-d.25.4.30-ref-sifre-d.25.4.47,21717,21807,3735,3750,ref-bible.101.13.15.10,ref-bible.101.13.16.16,26253,26343,4388,4403,ref-sifre-d.25.4.30,ref-sifre-d.25.4.47,ולזרעך עד עולם ושמתי את זרעך כעפר הארץ אשר אם יוכל איש למנות את עפר הארץ גם זרעך ימנה ,זרעך ככוכבי השמים ושמתי את זרעך כעפר הארץ אשר אם יוכל למנות את עפר הארץ גם זרעך ימנה ,19,18,23,123,0.18604651162790697,0.16129032258064513,0.12790697674418605
24,ref-bible.0101.13.17.1-ref-bible.0101.13.17.8,ref-sifre-d.8.1.92-ref-sifre-d.8.1.99,21808,21850,3751,3758,ref-bible.101.13.17.1,ref-bible.101.13.17.8,12310,12349,2064,2071,ref-sifre-d.8.1.92,ref-sifre-d.8.1.99,קום התהלך בארץ לארכה ולרחבה כי לך אתננה ,קום לך בארץ לארכה ולרחבה כי לך אתננה ,8,8,24,59,0.075,0.07499999999999996,0.075
25,ref-bible.0101.14.22.7-ref-bible.0101.14.23.10,ref-sifre-d.33.4.5-ref-sifre-d.33.4.20,23489,23568,4055,4072,ref-bible.101.14.22.7,ref-bible.101.14.23.10,45381,45453,7622,7637,ref-sifre-d.33.4.5,ref-sifre-d.33.4.20,ידי אל יהוה אל עליון קנה שמים וארץ אם מחוט ועד שרוך נעל ואם אקח מכל אשר לך ,ידי לאל עליון קונה שמים וארץ אם מחוט ועד שרוך נעל אם אקח מכל אשר לך ,18,16,25,190,0.12,0.09333333333333338,0.10666666666666667
26,ref-bible.0101.15.1.10-ref-bible.0101.15.2.5,ref-sifre-d.38.8.55-ref-sifre-d.38.8.70,23724,23792,4098,4112,ref-bible.101.15.1.10,ref-bible.101.15.2.5,59602,59685,10026,10040,ref-sifre-d.38.8.55,ref-sifre-d.38.8.70,לאמר אל תירא אברם אנכי מגן לך שכרך הרבה מאד ויאמר אברם אדני יהוה מה ,שנאמר ויברך יעקב את פרעה במה ברכו שנמנע ממנו שני רעב שנאמר ועתה אל תיראו אנכי ,15,16,26,222,0.7307692307692307,0.4130434782608695,0.6025641025641025
27,ref-bible.0101.15.7.1-ref-bible.0101.15.7.7,ref-sifre-d.313.1.51-ref-sifre-d.313.1.58,24094,24131,4171,4177,ref-bible.101.15.7.1,ref-bible.101.15.7.7,320620,320662,53625,53632,ref-sifre-d.313.1.51,ref-sifre-d.313.1.58,ויאמר אליו אני יהוה אשר הוצאתיך מאור ,שנאמר ויאמר אליו אני ה' אשר הוצאתיך מאור ,7,8,27,1200,0.21951219512195122,0.2272727272727273,0.17073170731707318
28,ref-bible.0101.15.17.10-ref-bible.0101.15.18.8,ref-sifre-d.171.4.29-ref-sifre-d.171.4.42,24737,24804,4290,4302,ref-bible.101.15.17.10,ref-bible.101.15.18.8,191400,191477,31939,31952,ref-sifre-d.171.4.29,ref-sifre-d.171.4.42,אש אשר עבר בין הגזרים האלה ביום ההוא כרת יהוה את אברם ברית לאמר ,באש זה שהוא מעביר בנו ובתו לעבודת כוכבים וכורת עמה ברית שנאמר העגל אשר ,14,14,28,768,0.6619718309859155,0.3928571428571429,0.5211267605633803
29,ref-bible.0101.18.19.1-ref-bible.0101.18.19.10,ref-sifre-d.32.19.20-ref-sifre-d.32.19.29,29073,29120,5076,5084,ref-bible.101.18.19.1,ref-bible.101.18.19.10,44632,44679,7506,7514,ref-sifre-d.32.19.20,ref-sifre-d.32.19.29,כי ידעתיו למען אשר יצוה את בניו ואת ביתו אחריו ,כי ידעתיו למען אשר יצוה את בניו ואת ביתו אחריו ,10,10,29,188,0.0,0.0,0.0
30,ref-bible.0101.19.36.1-ref-bible.0101.19.37.3,ref-sifre-d.343.6.92-ref-sifre-d.343.6.99,32999,33044,5771,5778,ref-bible.101.19.36.1,ref-bible.101.19.37.3,356826,356867,59849,59856,ref-sifre-d.343.6.92,ref-sifre-d.343.6.99,ותהרין שתי בנות לוט מאביהן ותלד הבכירה בן ,ותהרן שתי בנות לוט מאביהם הלך ומצא בני ,8,8,30,1397,0.30952380952380953,0.3125,0.2857142857142857
31,ref-bible.0101.19.37.1-ref-bible.0101.19.38.2,ref-sifre-d.43.18.41-ref-sifre-d.43.18.46,33028,33098,5776,5788,ref-bible.101.19.37.1,ref-bible.101.19.38.2,80827,80852,13594,13598,ref-sifre-d.43.18.41,ref-sifre-d.43.18.46,ותלד הבכירה בן ותקרא שמו מואב הוא אבי מואב עד היום והצעירה גם הוא ,גם הוא יולד בן ויקרא שמו ,14,6,31,338,0.7727272727272727,0.6212121212121212,0.7575757575757576
32,ref-bible.0101.21.10.1-ref-bible.0101.21.10.11,ref-sifre-d.31.1.125-ref-sifre-d.31.1.132,35036,35089,6152,6161,ref-bible.101.21.10.1,ref-bible.101.21.10.11,37083,37118,6274,6280,ref-sifre-d.31.1.125,ref-sifre-d.31.1.132,ותאמר לאברהם גרש האמה הזאת ואת בנה כי לא יירש בן ,אמרה גרש את בן האמה הזאת ואת בנה ,11,8,32,160,0.5306122448979592,0.326530612244898,0.4489795918367347
33,ref-bible.0101.22.1.12-ref-bible.0101.22.2.11,ref-sifre-d.313.4.30-ref-sifre-d.313.4.40,36805,36862,6469,6478,ref-bible.101.22.1.12,ref-bible.101.22.2.11,321078,321123,53703,53710,ref-sifre-d.313.4.30,ref-sifre-d.313.4.40,ויאמר הנני ויאמר קח נא את בנך את יחידך אשר אהבת את יצחק ,שנאמר קח נא את בנך את יחידך אשר אהבת את יצחק ,13,11,33,1202,0.21428571428571427,0.22807017543859653,0.21428571428571427
34,ref-bible.0101.22.13.20-ref-bible.0101.22.14.13,ref-sifre-d.352.7.32-ref-sifre-d.352.7.47,37901,37971,6651,6662,ref-bible.101.22.13.20,ref-bible.101.22.14.13,369466,369544,62006,62021,ref-sifre-d.352.7.32,ref-sifre-d.352.7.47,בנו ויקרא אברהם שם המקום ההוא יהוה יראה אשר יאמר היום בהר יהוה יראה ,בנוי ויקרא אברהם שם המקום ההוא ה' יראה הרי בנוי אשר יאמר היום בהר ה' יראה ,14,16,34,1460,0.21621621621621623,0.13157894736842102,0.16216216216216217
36,ref-bible.0101.22.17.4-ref-bible.0101.22.17.9,ref-sifre-d.306.37.325-ref-sifre-d.306.37.330,38106,38140,6683,6687,ref-bible.101.22.17.4,ref-bible.101.22.17.9,310435,310469,51931,51935,ref-sifre-d.306.37.325,ref-sifre-d.306.37.330,והרבה ארבה את זרעך ככוכבי השמים ,והרבה ארבה את זרעך ככוכבי השמים ,6,6,36,1174,0.0,0.0,0.0
37,ref-bible.0101.23.11.6-ref-bible.0101.23.11.18,ref-sifre-d.322.8.20-ref-sifre-d.322.8.35,39296,39354,6899,6911,ref-bible.101.23.11.6,ref-bible.101.23.11.18,335930,336001,56282,56297,ref-sifre-d.322.8.20,ref-sifre-d.322.8.35,לך והמערה אשר בו לך נתתיה לעיני בני עמי נתתיה לך קבר מתך ,לך אשר לך וכן חירם אמר לשלמה מה הערים האלה אשר נתתה לי אחי לא כמות ,13,16,37,1289,0.6567164179104478,0.4878048780487805,0.5671641791044776
38,ref-bible.0101.24.3.1-ref-bible.0101.24.3.6,ref-sifre-d.313.3.35-ref-sifre-d.313.3.40,40085,40125,7050,7055,ref-bible.101.24.3.1,ref-bible.101.24.3.6,320895,320932,53671,53676,ref-sifre-d.313.3.35,ref-sifre-d.313.3.40,ואשביעך ביהוה אלהי השמים ואלהי הארץ ,ואשביעך בה' אלהי השמים ואלהי הארץ ,6,6,38,1201,0.08333333333333333,0.10810810810810811,0.08333333333333333
39,ref-bible.0101.25.10.8-ref-bible.0101.25.11.3,ref-sifre-d.357.28.101-ref-sifre-d.357.28.111,45318,45357,7993,8000,ref-bible.101.25.10.8,ref-bible.101.25.11.3,386647,386696,64971,64979,ref-sifre-d.357.28.101,ref-sifre-d.357.28.111,שמה קבר אברהם ושרה אשתו ויהי אחרי מות ,שמה קברו את אברהם ואת שרה אשתו ויש אומרים לא מת ,8,11,39,1513,0.3333333333333333,0.3137254901960784,0.2916666666666667
40,ref-bible.0101.25.26.1-ref-bible.0101.25.26.11,ref-sifre-d.343.8.38-ref-sifre-d.343.8.48,46282,46337,8158,8168,ref-bible.101.25.26.1,ref-bible.101.25.26.11,358199,358255,60075,60085,ref-sifre-d.343.8.38,ref-sifre-d.343.8.48,ואחרי כן יצא אחיו וידו אחזת בעקב עשו ויקרא שמו יעקב ,ואחרי כן יצא אחיו וידו אוחזת בעקב עשו ויקרא שמו יעקב ,11,11,40,1401,0.018867924528301886,0.018867924528301883,0.018867924528301886
41,ref-bible.0101.26.3.20-ref-bible.0101.26.4.7,ref-sifre-d.25.4.26-ref-sifre-d.25.4.35,47090,47148,8305,8312,ref-bible.101.26.3.20,ref-bible.101.26.4.7,26228,26287,4385,4392,ref-sifre-d.25.4.26,ref-sifre-d.25.4.35,לאברהם אביך והרביתי את זרעך ככוכבי השמים ונתתי לזרעך ,לאברהם אבינו והרבתי את זרעך ככוכבי השמים ושמתי את זרעך ,9,10,41,122,0.14545454545454545,0.13793103448275867,0.12727272727272726
42,ref-bible.0101.26.12.1-ref-bible.0101.26.12.9,ref-sifre-d.8.1.112-ref-sifre-d.8.1.117,47714,47766,8414,8422,ref-bible.101.26.12.1,ref-bible.101.26.12.9,12421,12454,2084,2089,ref-sifre-d.8.1.112,ref-sifre-d.8.1.117,ויזרע יצחק בארץ ההוא וימצא בשנה ההוא מאה שערים ,ויזרע יצחק בשנה ההיא מאה שערים ,9,6,42,60,0.3617021276595745,0.34042553191489366,0.3617021276595745
43,ref-bible.0101.26.20.10-ref-bible.0101.26.20.16,ref-sifre-d.1.19.5-ref-sifre-d.1.19.11,48266,48299,8516,8522,ref-bible.101.26.20.10,ref-bible.101.26.20.16,4522,4555,749,755,ref-sifre-d.1.19.5,ref-sifre-d.1.19.11,ויקרא שם הבאר עשק כי התעשקו עמו ,ויקרא שם הבאר עשק כי התעשקו עמו ,7,7,43,11,0.0,0.0,0.0
44,ref-bible.0101.26.27.1-ref-bible.0101.26.28.1,ref-sifre-d.1.9.26-ref-sifre-d.1.9.37,48707,48778,8594,8605,ref-bible.101.26.27.1,ref-bible.101.26.28.1,2104,2176,345,356,ref-sifre-d.1.9.26,ref-sifre-d.1.9.37,ויאמר אלהם יצחק מדוע באתם אלי ואתם שנאתם אתי ותשלחוני מאתכם ויאמרו ,ויאמר אליהם יצחק מדוע באתם אלי ואתם שנאתם אותי ותשלחוני מאתכם ואומר ,12,12,44,5,0.07352941176470588,0.014705882352941124,0.04411764705882353
45,ref-bible.0101.26.27.1-ref-bible.0101.26.28.1,ref-sifre-d.2.5.22-ref-sifre-d.2.5.33,48707,48778,8594,8605,ref-bible.101.26.27.1,ref-bible.101.26.28.1,8108,8180,1348,1359,ref-sifre-d.2.5.22,ref-sifre-d.2.5.33,ויאמר אלהם יצחק מדוע באתם אלי ואתם שנאתם אתי ותשלחוני מאתכם ויאמרו ,ויאמר אליהם יצחק מדוע באתם אלי ואתם שנאתם אותי ותשלחוני מאתכם ואומר ,12,12,45,32,0.07352941176470588,0.014705882352941124,0.04411764705882353
46,ref-bible.0101.26.31.6-ref-bible.0101.26.31.10,ref-sifre-d.1.9.38-ref-sifre-d.1.9.42,49016,49048,8650,8654,ref-bible.101.26.31.6,ref-bible.101.26.31.10,2177,2209,357,361,ref-sifre-d.1.9.38,ref-sifre-d.1.9.42,וישלחם יצחק וילכו מאתו בשלום ,וישלחם יצחק וילכו מאתו בשלום ,5,5,46,8,0.0,0.0,0.0
47,ref-bible.0101.26.31.6-ref-bible.0101.26.31.10,ref-sifre-d.2.5.34-ref-sifre-d.2.5.38,49016,49048,8650,8654,ref-bible.101.26.31.6,ref-bible.101.26.31.10,8181,8213,1360,1364,ref-sifre-d.2.5.34,ref-sifre-d.2.5.38,וישלחם יצחק וילכו מאתו בשלום ,וישלחם יצחק וילכו מאתו בשלום ,5,5,47,35,0.0,0.0,0.0
48,ref-bible.0101.27.27.10-ref-bible.0101.27.27.16,ref-sifre-d.352.7.63-ref-sifre-d.352.7.82,50957,50987,9011,9017,ref-bible.101.27.27.10,ref-bible.101.27.27.16,369633,369727,62033,62052,ref-sifre-d.352.7.63,ref-sifre-d.352.7.82,ראה ריח בני כריח שדה אשר ברכו ,ראה ריח בני כריח שדה בנוי שנ' לריח ניחוח שדה הרי חרב שנא' לכן בגללכם ציון שדה תחרש אשר ברכו ,7,20,48,1461,0.6739130434782609,0.6739130434782609,0.6739130434782609
49,ref-bible.0101.27.27.16-ref-bible.0101.27.28.5,ref-sifre-d.39.13.8-ref-sifre-d.39.13.16,50983,51021,9017,9023,ref-bible.101.27.27.16,ref-bible.101.27.28.5,64081,64130,10802,10808,ref-sifre-d.39.13.8,ref-sifre-d.39.13.16,ברכו יהוה ויתן לך האלהים מטל השמים ,לברכה וכן הוא אומר ויתן לך האלהים מטל השמים ,7,9,49,237,0.2727272727272727,0.24444444444444446,0.25
50,ref-bible.0101.28.17.1-ref-bible.0101.28.17.12,ref-sifre-d.352.7.112-ref-sifre-d.352.7.127,53734,53790,9534,9543,ref-bible.101.28.17.1,ref-bible.101.28.17.12,369877,369950,62077,62090,ref-sifre-d.352.7.112,ref-sifre-d.352.7.127,ויירא ויאמר מה נורא המקום הזה אין זה כי אם בית אלהים ,ויירא ויאמר מה נורא המקום הזה הרי בנוי אין זה הרי חרב כי אם בית אלהים ,12,16,50,1463,0.24285714285714285,0.24285714285714288,0.24285714285714285
51,ref-bible.0101.28.20.1-ref-bible.0101.28.21.9,ref-sifre-d.31.5.21-ref-sifre-d.31.5.51,53947,54094,9570,9598,ref-bible.101.28.20.1,ref-bible.101.28.21.9,38828,38980,6569,6599,ref-sifre-d.31.5.21,ref-sifre-d.31.5.51,וידר יעקב נדר לאמר אם יהיה אלהים עמדי ושמרני בדרך הזה אשר אנכי הולך ונתן לי לחם לאכל ובגד ללבש ושבתי בשלום אל בית אבי והיה יהוה לי לאלהים ,וידר יעקב נדר לאמר עלת על לב שהיה יעקב אבינו אומר אם יהיה אלהים עמדי וגו' ונתן לי לחם לאכול ובגד ללבוש ושבתי בשלום אל בית אבי והיה ה' לי לאלהים ,29,31,51,170,0.3055555555555556,0.1806451612903226,0.24305555555555555
52,ref-bible.0101.32.11.1-ref-bible.0101.32.11.9,ref-sifre-d.27.3.49-ref-sifre-d.27.3.57,63954,64001,11399,11406,ref-bible.101.32.11.1,ref-bible.101.32.11.9,31166,31213,5257,5264,ref-sifre-d.27.3.49,ref-sifre-d.27.3.57,קטנתי מכל החסדים ומכל האמת אשר עשית את עבדך ,קטנתי מכל החסדים ומכל האמת אשר עשית את עבדך ,9,9,52,134,0.0,0.0,0.0
53,ref-bible.0101.32.11.1-ref-bible.0101.32.11.19,ref-sifre-d.32.21.9-ref-sifre-d.32.21.27,63954,64054,11399,11414,ref-bible.101.32.11.1,ref-bible.101.32.11.19,44805,44905,7535,7551,ref-sifre-d.32.21.9,ref-sifre-d.32.21.27,קטנתי מכל החסדים ומכל האמת אשר עשית את עבדך כי במקלי עברתי את הירדן הזה ועתה הייתי לשני מחנות ,קטנתי מכל החסדים ומכל האמת אשר עשית את עבדך כי במקלי עברתי את הירדן הזה ועתה הייתי לב' מחנות ,19,19,53,189,0.031914893617021274,0.05208333333333337,0.031914893617021274
54,ref-bible.0101.33.19.3-ref-bible.0101.33.19.8,ref-sifre-d.8.1.124-ref-sifre-d.8.1.129,66828,66854,11914,11919,ref-bible.101.33.19.3,ref-bible.101.33.19.8,12491,12517,2095,2100,ref-sifre-d.8.1.124,ref-sifre-d.8.1.129,חלקת השדה אשר נטה שם אהלו ,חלקת השדה אשר נטה שם אהלו ,6,6,54,61,0.0,0.0,0.0
55,ref-bible.0101.34.11.11-ref-bible.0101.34.12.10,ref-sifre-d.319.3.19-ref-sifre-d.319.3.28,67611,67676,12064,12076,ref-bible.101.34.11.11,ref-bible.101.34.12.10,330389,330452,55325,55334,ref-sifre-d.319.3.19,ref-sifre-d.319.3.28,תאמרו אלי אתן הרבו עלי מאד מהר ומתן ואתנה כאשר תאמרו אלי ותנו ,ואמרתם זה אלי ואנוהו ובקשתי להיטיב אתכם וחזרתם ואמרתם נתנה ,13,10,55,1256,0.6774193548387096,0.3866666666666667,0.5483870967741935
