,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,baseWork
50,ref-mek.1.9.1.166-ref-mek.1.9.1.196,ref-sifra.12.09-11.3.50-ref-sifra.12.09-11.3.74,29887,30039,4709,4735,ref-mek.1.9.1.166,ref-mek.1.9.1.196,575893,576015,87614,87636,ref-sifra.12.9-11.3.50,ref-sifra.12.9-11.3.74,תאכל מצות כיצד_יתקיימו_שני_מקראות_הללו השביעי הזה בכלל היה ויצא מוצא מן הכלל ללמד על הכלל מה שביעי רשות אף כל רשות או מה שביעי רשות אף לילה הראשון ,תאכל מצות וביום השביעי עצרת לה'  שביעי בכלל היה ולמה יצא להקיש אליו אלא מה שביעי רשות אף כולם רשות יכול אף לילה הראשון ,ref-mek
51,ref-mek.1.9.1.166-ref-mek.1.9.1.207,ref-sifra.12.09-11.3.13-ref-sifra.12.09-11.3.104,29887,30101,4709,4742,ref-mek.1.9.1.166,ref-mek.1.9.1.207,575706,576168,87580,87663,ref-sifra.12.9-11.3.13,ref-sifra.12.9-11.3.104,תאכל מצות כיצד_יתקיימו_שני_מקראות_הללו השביעי הזה בכלל היה ויצא מוצא מן הכלל ללמד על הכלל מה שביעי רשות אף כל רשות או מה שביעי רשות אף לילה הראשון רשות_תלמוד_לומר בראשון בארבעה עשר_יום_לחדש הכתוב קבעו חובה ,תאכל מצות וביום השביעי עצרת לה'  שביעי בכלל היה ולמה יצא להקיש אליו אלא מה שביעי רשות אף כולם רשות יכול אף לילה הראשון רשות תלמוד לומר ימים תאכל מצות וביום השביעי עצרת לה' ששת ימים תאכל מצות וביום השביעי עצרת לה'  שביעי בכלל היה ולמה יצא להקיש אליו אלא מה שביעי רשות אף כולם רשות יכול אף לילה הראשון רשות תלמוד לומר שביעי בכלל היה ולמה יצא להקיש אליו אלא מה שביעי רשות אף כולם רשות יכול אף לילה הראשון רשות תלמוד לומר עליו תאכל מצות' הכתוב קבעו חובה ,ref-sifra
52,ref-mek.1.9.1.173-ref-mek.1.9.1.222,ref-sifra.12.09-11.3.69-ref-sifra.12.09-11.3.104,29926,30174,4712,4749,ref-mek.1.9.1.173,ref-mek.1.9.1.222,575985,576168,87631,87663,ref-sifra.12.9-11.3.69,ref-sifra.12.9-11.3.104,השביעי הזה בכלל היה ויצא מוצא מן הכלל ללמד על הכלל מה שביעי רשות אף כל רשות או מה שביעי רשות אף לילה הראשון רשות_תלמוד_לומר בראשון בארבעה עשר_יום_לחדש הכתוב קבעו חובה הא_אין_עליך_לומר_כלשון_האחרון_אלא_כלשון_הראשון מה שביעי רשות אף כלן רשות ,כולם רשות יכול אף לילה הראשון רשות תלמוד לומר שביעי בכלל היה ולמה יצא להקיש אליו אלא מה שביעי רשות אף כולם רשות יכול אף לילה הראשון רשות תלמוד לומר עליו תאכל מצות' הכתוב קבעו חובה ,ref-mek
53,ref-mek.1.9.1.177-ref-mek.1.9.1.183,ref-sifra.1.11.50-ref-sifra.1.11.62,29948,29981,4716,4722,ref-mek.1.9.1.177,ref-mek.1.9.1.183,2607,2668,446,458,ref-sifra.1.11.50,ref-sifra.1.11.62,ויצא מוצא מן הכלל ללמד על הכלל ,וכשיצאו מן הכלל ללמד לא ללמד על עצמן יצאו אלא ללמד על הכלל ,ref-sifra
54,ref-mek.1.9.1.511-ref-mek.1.9.1.522,ref-sifra.10.05-07.8.5-ref-sifra.10.05-07.8.14,31676,31741,4960,4971,ref-mek.1.9.1.511,ref-mek.1.9.1.522,452563,452618,68961,68970,ref-sifra.10.5-07.8.5,ref-sifra.10.5-07.8.14,"אין חייבים עליו כרת ולא חלב שור הנסקל יוכיח שאע""פ שחייבים עליו ",שחייבים עליה כרת מלאכה שאין חייבים עליה כרת מנין שלא ,ref-mek
55,ref-mek.1.9.1.670-ref-mek.1.9.1.676,ref-sifra.12.10-00.9.25-ref-sifra.12.10-00.9.31,32457,32508,5097,5103,ref-mek.1.9.1.670,ref-mek.1.9.1.676,578714,578763,88054,88060,ref-sifra.12.10-00.9.25,ref-sifra.12.10-00.9.31,המינין החטים והשעורים והכוסמים שבולת שועל שיפון ,ומנין לרבות שעורים וכוסמים ושבולת שועל ושיפון ,ref-mek
56,ref-mek.1.9.1.670-ref-mek.1.9.1.676,ref-sifra.12.10-00.9.25-ref-sifra.12.10-00.9.31,32457,32508,5097,5103,ref-mek.1.9.1.670,ref-mek.1.9.1.676,578714,578763,88054,88060,ref-sifra.12.10-00.9.25,ref-sifra.12.10-00.9.31,המינין החטים והשעורים והכוסמים שבולת שועל שיפון ,ומנין לרבות שעורים וכוסמים ושבולת שועל ושיפון ,ref-sifra
57,ref-mek.1.9.1.671-ref-mek.1.9.1.676,ref-sifra.2.13-00.5.74-ref-sifra.2.13-00.5.80,32465,32508,5098,5103,ref-mek.1.9.1.671,ref-mek.1.9.1.676,66440,66484,9944,9950,ref-sifra.2.13-00.5.74,ref-sifra.2.13-00.5.80,החטים והשעורים והכוסמים שבולת שועל שיפון ,חטין מן הכתוב וכוסמין ושבולת שועל ושיפון ,ref-mek
58,ref-mek.1.9.1.671-ref-mek.1.9.1.676,ref-sifra.2.13-00.5.74-ref-sifra.2.13-00.5.80,32465,32508,5098,5103,ref-mek.1.9.1.671,ref-mek.1.9.1.676,66440,66484,9944,9950,ref-sifra.2.13-00.5.74,ref-sifra.2.13-00.5.80,החטים והשעורים והכוסמים שבולת שועל שיפון ,חטין מן הכתוב וכוסמין ושבולת שועל ושיפון ,ref-sifra
59,ref-mek.1.10.1.1-ref-mek.1.10.1.9,ref-sifra.12.12-00.4.6-ref-sifra.12.12-00.4.17,33051,33108,5184,5192,ref-mek.1.10.1.1,ref-mek.1.10.1.9,592215,592287,90002,90013,ref-sifra.12.12-00.4.6,ref-sifra.12.12-00.4.17,ביום הראשון מקרא קדש כבדהו במאכל ובמשתה ובכסות נקייה ,וביום השמיני מקרא קדש קדשהו במה אתה מקדשו במאכל ובמשתה ובכסות נקיה ,ref-mek
