ref-Sifra.1.4.21,רעהו
ref-Sifra.1.4.22,מה
ref-Sifra.1.4.23,בשומר
ref-Sifra.1.4.24,הנם
ref-Sifra.1.4.25,שנאמ׳
ref-Sifra.1.4.26,בו
ref-Sifra.1.4.27,אם
ref-Sifra.1.4.28,לא
ref-Sifra.1.4.29,שלח
ref-Sifra.1.4.30,ידו
ref-Sifra.1.4.31,פטר
ref-Sifra.1.4.32,את
ref-Sifra.1.4.33,היורשין
ref-Sifra.1.4.34,אף
ref-Sifra.1.4.35,בשומר
ref-Sifra.1.4.36,שכר
ref-Sifra.1.4.37,שנאמ׳
ref-Sifra.1.4.38,בו
ref-Sifra.1.4.39,אם
ref-Sifra.1.4.40,לא
ref-Sifra.1.4.41,שלח
ref-Sifra.1.4.42,ידו
ref-Sifra.1.4.43,יפטור
ref-Sifra.1.4.44,בו
ref-Sifra.1.4.45,את
ref-Sifra.1.4.46,היורשים
ref-Sifra.1.5.1,מבנין
ref-Sifra.1.5.2,אב
ref-Sifra.1.5.3,מכתוב
ref-Sifra.1.5.4,אחד
ref-Sifra.1.5.5,כיצד
ref-Sifra.1.5.6,לא
ref-Sifra.1.5.7,המשכב
ref-Sifra.1.5.8,כהרי
ref-Sifra.1.5.9,המושב
ref-Sifra.1.5.10,ולא
ref-Sifra.1.5.11,המושב
ref-Sifra.1.5.12,כהרי
ref-Sifra.1.5.13,המשכב
ref-Sifra.1.5.14,הצד_השוה_שבהן
ref-Sifra.1.5.17,שהן
ref-Sifra.1.5.18,כלים
ref-Sifra.1.5.19,עשויין
ref-Sifra.1.5.20,לנוח
ref-Sifra.1.5.21,אדם
ref-Sifra.1.5.22,לבדו
ref-Sifra.1.5.23,וזב
ref-Sifra.1.5.24,מטמא
ref-Sifra.1.5.25,אותו
ref-Sifra.1.5.26,ברובו
ref-Sifra.1.5.27,לטמא
ref-Sifra.1.5.28,אדם
ref-Sifra.1.5.29,במגע
ref-Sifra.1.5.30,וכמשא
ref-Sifra.1.5.31,ולטמא
ref-Sifra.1.5.32,בגדים
ref-Sifra.1.5.33,אף
ref-Sifra.1.5.34,כלים
ref-Sifra.1.5.35,שהן
ref-Sifra.1.5.36,עשויין
ref-Sifra.1.5.37,לנוח
ref-Sifra.1.5.38,אדם
ref-Sifra.1.5.39,לבדו
ref-Sifra.1.5.40,יהא
ref-Sifra.1.5.41,הזב
ref-Sifra.1.5.42,מטמא
ref-Sifra.1.5.43,אותו
ref-Sifra.1.5.44,ברובו
ref-Sifra.1.5.45,לטמא
ref-Sifra.1.5.46,אדם
ref-Sifra.1.5.47,במגע
ref-Sifra.1.5.48,ובמשא
ref-Sifra.1.5.49,ולטמא
ref-Sifra.1.5.50,כלים
ref-Sifra.1.5.51,יצא
ref-Sifra.1.5.52,המרכב
ref-Sifra.1.5.53,שהוא
ref-Sifra.1.5.54,עשוי
ref-Sifra.1.5.55,לסיבלון
ref-Sifra.1.5.56,אחד
ref-Sifra.1.6.1,מבנין
ref-Sifra.1.6.2,אב
ref-Sifra.1.6.3,משני
ref-Sifra.1.6.4,כתובי׳
ref-Sifra.1.6.5,כיצד
ref-Sifra.1.6.6,לא
ref-Sifra.1.6.7,פרשת
ref-Sifra.1.6.8,הנידות
ref-Sifra.1.6.9,כהרי
ref-Sifra.1.6.10,פרשת
ref-Sifra.1.6.11,שלוח
ref-Sifra.1.6.12,טמאים
ref-Sifra.1.6.13,ולא
ref-Sifra.1.6.14,פרשת
ref-Sifra.1.6.15,שלוח
ref-Sifra.1.6.16,טמאים
ref-Sifra.1.6.17,כהרי
ref-Sifra.1.6.18,פרשת
ref-Sifra.1.6.19,הנידות
ref-Sifra.1.6.20,הצד_השוה_שבהן
ref-Sifra.1.6.23,שהם
ref-Sifra.1.6.24,בצו
ref-Sifra.1.6.25,מיד
ref-Sifra.1.6.26,ולדורו׳
ref-Sifra.1.6.27,אף
ref-Sifra.1.6.28,כל_דבר_שהוא
ref-Sifra.1.6.31,בצו
ref-Sifra.1.6.32,יהא
ref-Sifra.1.6.33,מיד
ref-Sifra.1.6.34,ולדורו׳
ref-Sifra.1.7.1,מכלל
ref-Sifra.1.7.2,ופרט
ref-Sifra.1.7.3,כיצד
ref-Sifra.1.7.4,מן
ref-Sifra.1.7.5,הבהמה
ref-Sifra.1.7.6,כלל
ref-Sifra.1.7.7,מן
ref-Sifra.1.7.8,הבקר
ref-Sifra.1.7.9,ומן
ref-Sifra.1.7.10,הצאן
ref-Sifra.1.7.11,פרט
ref-Sifra.1.7.12,׳כלל
ref-Sifra.1.7.13,ופרט׳
ref-Sifra.1.7.14,אין
ref-Sifra.1.7.15,בכלל
ref-Sifra.1.7.16,אלא
ref-Sifra.1.7.17,מה
ref-Sifra.1.7.18,שבפרט
ref-Sifra.1.7.19,ח
ref-Sifra.1.8.1,מפרט
ref-Sifra.1.8.2,וכלל
ref-Sifra.1.8.3,כיצד
ref-Sifra.1.8.4,כי
ref-Sifra.1.8.5,יתן
ref-Sifra.1.8.6,איש
ref-Sifra.1.8.7,אל
ref-Sifra.1.8.8,רעהו
ref-Sifra.1.8.9,חמור
ref-Sifra.1.8.10,או
ref-Sifra.1.8.11,שור
ref-Sifra.1.8.12,או
ref-Sifra.1.8.13,שה
ref-Sifra.1.8.14,פרט
ref-Sifra.1.8.15,וכל
ref-Sifra.1.8.16,בהמה
ref-Sifra.1.8.17,לשמור
ref-Sifra.1.8.18,כלל
ref-Sifra.1.8.19,׳פרט
ref-Sifra.1.8.20,וכלל׳
ref-Sifra.1.8.21,נעשה
ref-Sifra.1.8.22,כלל
ref-Sifra.1.8.23,מוסף
ref-Sifra.1.8.24,על
ref-Sifra.1.8.25,הפרט
ref-Sifra.1.9.1,מכלל
ref-Sifra.1.9.2,ופרט
ref-Sifra.1.9.3,וכלל
ref-Sifra.1.9.4,כיצד
ref-Sifra.1.9.5,ונתת
ref-Sifra.1.9.6,הכסף
ref-Sifra.1.9.7,בכל
ref-Sifra.1.9.8,אשר
ref-Sifra.1.9.9,תאוה
ref-Sifra.1.9.10,נפשך
ref-Sifra.1.9.11,כלל
ref-Sifra.1.9.12,בבקר
ref-Sifra.1.9.13,ובצאן
ref-Sifra.1.9.14,ביין
ref-Sifra.1.9.15,ובשכר
ref-Sifra.1.9.16,פרט
ref-Sifra.1.9.17,ובכל
ref-Sifra.1.9.18,אשר
ref-Sifra.1.9.19,תשאלך
ref-Sifra.1.9.20,נפשך
ref-Sifra.1.9.21,חזר
ref-Sifra.1.9.22,וכלל
ref-Sifra.1.9.23,׳כלל
ref-Sifra.1.9.24,ופרט
ref-Sifra.1.9.25,וכלל׳
ref-Sifra.1.9.26,אי
ref-Sifra.1.9.27,אתה
ref-Sifra.1.9.28,דן
ref-Sifra.1.9.29,אלא
ref-Sifra.1.9.30,כעין
ref-Sifra.1.9.31,הפרט
ref-Sifra.1.9.32,לומר
ref-Sifra.1.9.33,לך
ref-Sifra.1.9.34,מה
ref-Sifra.1.9.35,הפרט
ref-Sifra.1.9.36,מפורש
ref-Sifra.1.9.37,דבר
ref-Sifra.1.9.38,שהוא
ref-Sifra.1.9.39,וולד
ref-Sifra.1.9.40,וולדות
ref-Sifra.1.9.41,הארץ
ref-Sifra.1.9.42,וגדולי
ref-Sifra.1.9.43,קרקע
ref-Sifra.1.9.44,אף_אין_לי_אלא
ref-Sifra.1.9.48,׳כל
ref-Sifra.1.9.49,דבר׳
ref-Sifra.1.9.50,שהוא
ref-Sifra.1.9.51,וולד
ref-Sifra.1.9.52,וולדות
ref-Sifra.1.9.53,הארץ
ref-Sifra.1.9.54,וגדולי
ref-Sifra.1.9.55,קרקע
ref-Sifra.1.9.56,יעאו
ref-Sifra.1.9.57,כמהין
ref-Sifra.1.9.58,ופטריות
ref-Sifra.1.10.1,מכלל
ref-Sifra.1.10.2,שהוא
ref-Sifra.1.10.3,צריך
ref-Sifra.1.10.4,לפרט
ref-Sifra.1.10.5,ומפרט
ref-Sifra.1.10.6,שהוא
ref-Sifra.1.10.7,צריך
ref-Sifra.1.10.8,לכלל
ref-Sifra.1.10.9,כיצד
ref-Sifra.1.10.10,קדש
ref-Sifra.1.10.11,לי
ref-Sifra.1.10.12,כל
ref-Sifra.1.10.13,בכור
ref-Sifra.1.10.14,יכול
ref-Sifra.1.10.15,אף
ref-Sifra.1.10.16,נקבה
ref-Sifra.1.10.17,במשמע
ref-Sifra.1.10.18,תל
ref-Sifra.1.10.19,זכר
ref-Sifra.1.10.20,אי
ref-Sifra.1.10.21,׳זכר׳
ref-Sifra.1.10.22,יכול
ref-Sifra.1.10.23,אפילו
ref-Sifra.1.10.24,יצאת
ref-Sifra.1.10.25,לפניו
ref-Sifra.1.10.26,תלמוד
ref-Sifra.1.10.27,לומר
ref-Sifra.1.10.28,פטר
ref-Sifra.1.10.29,רחם
ref-Sifra.1.10.30,אי
ref-Sifra.1.10.31,׳פטר
ref-Sifra.1.10.32,רחם׳
ref-Sifra.1.10.33,יכול
ref-Sifra.1.10.34,אפילו
ref-Sifra.1.10.35,לאחר
ref-Sifra.1.10.36,יוצא
ref-Sifra.1.10.37,דופן
ref-Sifra.1.10.38,תלמוד
ref-Sifra.1.10.39,לומד
ref-Sifra.1.10.40,בכור
ref-Sifra.1.10.41,זהו
ref-Sifra.1.10.42,כלל
ref-Sifra.1.10.43,הצריך
ref-Sifra.1.10.44,לפרט
