lemma,pointer_in_volume,provenance
 אבאAbba,Vol-1-S-H_M-Abba-4,[Palestine?] 
 אבאAbba,Vol-1-S-H_M-Abba-5,[Palestine?] 
 אבאAbba,Vol-1-S-H_M-Abba-6,[Palestine?] 
 אבאAbba,Vol-1-S-H_M-Abba-7,[Palestine?] 
 אבאAbba,Vol-1-S-H_M-Abba-8,[Palestine?] 
 אבאAbba,Vol-1-S-H_M-Abba-9,[Palestine?] 
 אבאAbba,Vol-1-S-H_M-Abba-10,[Palestine?] 
 אבאAbba,Vol-1-S-H_M-Abba-11,[Palestine?] 
 אבאAbba,Vol-1-S-H_M-Abba-12,[Palestine?] 
 אבאAbba,Vol-1-S-H_M-Abba-13,[Palestine?] 
 אבאAbba,Vol-1-S-H_M-Abba-14,[Palestine?] 
 אבאAbba,Vol-1-S-H_M-Abba-15,[Palestine?] 
 אבאAbba,Vol-1-S-H_M-Abba-16,[Palestine?] 
 אבאAbba,Vol-1-S-H_M-Abba-17,[Palestine?] 
 אבאAbba,Vol-1-S-H_M-Abba-18,[Palestine?] 
 אבאAbba,Vol-1-S-H_M-Abba-19,[Palestine?] 
 אבאAbba,Vol-1-S-H_M-Abba-20,[Palestine?] 
 אבאAbba,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-1,[Palestine?] 
 אבאAbba,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-2,[Palestine?] 
 אבאAbba,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-3,[Palestine?] 
 אבאAbba,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-4,[Palestine?] 
 אבאAbba,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-5,[Palestine?] 
 אבאAbba,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-6,[Palestine?] 
 אבאAbba,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-7,[Palestine?] 
 אבאAbba,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-8,[Palestine?] 
 אבאAbba,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-9,[Palestine?] 
 אבאAbba,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-10,[Palestine?] 
 אבאAbba,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-11,[Palestine?] 
 אבאAbba,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-12,[Palestine?] 
 אבאAbba,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-13,[Palestine?] 
 אבאAbba,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-14,[Palestine?] 
 אבאAbba,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-15,[Palestine?] 
 אבאAbba,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-16,[Palestine?] 
 אבאAbba,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-17,[Palestine?] 
 אבאAbba,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-18,[Palestine?] 
 אבאAbba,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-19,[Palestine?] 
 אבאAbba,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-20,[Palestine?] 
 אבאAbba,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-21,[Palestine?] 
 אבאAbba,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-22,[Palestine?] 
 אבאAbba,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-23,[Palestine?] 
 אבאAbba,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-24,[Palestine?] 
 אבאAbba,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-25,[Palestine?] 
 אבאAbba,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-26,[Palestine?] 
 אבאAbba,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-27,[Palestine?] 
 אבאAbba,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-28,[Palestine?] 
 אבאAbba,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-29,[Palestine?] 
 אבאAbba,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-30,[Palestine?] 
 אבאAbba,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-31,[Palestine?] 
 אבאAbba,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-32,[Palestine?] 
 אבאAbba,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-33,[Palestine?] 
 אבאAbba,Vol-2-S-H_M-Semitic-Hebrew-Males-Abba-34,[Palestine?] 
