lemma	pointer_in_volume	details								
 ???Abba	Vol-2-Vol-1-ADD-P_M-d8e261-person	Grafitto	 Herodium 							
 ???Abba	Vol-3-S-H_M-d8e97-person	Ostracon	 Edfu	 Degen 						
 ???Abba	Vol-3-S-H_M-d8e128-person	Papyrus	 Vienna 							
 ???Abba	Vol-3-S-H_M-d8e163-person	Epitaph	 Vigna Randanini	 Garrucci 						
 ???Abba	Vol-3-S-H_M-d8e200-person	Epitaph	 Monteverde	 Schneider Graziosi 						
 ???Abba	Vol-3-S-H_M-d8e238-person	Sarcophagus	 Corycus	 Keil & Wilhelm 						
 ???Abba	Vol-3-S-H_M-d8e283-person	Epitaph	 Brusciano	 Miranda 						
 ???Abba	Vol-3-S-H_M-d8e329-person	Dedicatory inscription	 Hermopolis	 Jouguet 						
 ???Abba	Vol-4-S-H_M-d8e3415-person	Graffito	 synagogue Dura-Europos	 Peintures 						
 ???Abba	Vol-4-S-H_M-d8e3447-person	Graffito	 synagogue Dura-Europos	 Peintures 						
 ???Abba	Vol-4-S-H_M-d8e3481-person	Burial cave contract	 Palmyra	 Kokowzoff 						
 ???Abba	Vol-4-S-H_M-d8e3518-person	Epitaph	 Palmyra	 Sobernheim 						
 ???Abba	Vol-4-S-H_M-d8e3555-person	Dedication inscription	 Kheuirbet Semrine 							
 ???Abba	Vol-4-S-H_M-d8e3590-person	Incantation bowl	 Nippur	 Montgomery 						
 ???Abba	Vol-4-S-H_M-d8e3625-person	Incantation bowl	 Nippur	 Montgomery 						
 ???Abba	Vol-4-S-H_M-d8e3657-person	Incantation bowl	 Nippur	 Gordon 						
 ???Abba	Vol-4-S-H_M-d8e3692-person	Incantation bowl	 Nippur	 Gordon 						
 ???Abba	Vol-4-S-H_M-d8e3727-person	Incantation bowl 								
 ???Abba	Vol-4-S-H_M-d8e3764-person	Incantation bowl 								
 ???Abba	Vol-4-S-H_M-d8e3801-person	Incantation bowl	 Schøyen collection 							
 ???Abba	Vol-4-S-H_M-d8e3837-person	Incantation bowl	 Berlin 							
 ???Abba	Vol-4-S-H_M-d8e3872-person	Seal 								
 ???Abba	Vol-4-S-H_M-d8e3911-person	Seal	 British Museum 							
 ???Abba	Vol-4-S-H_M-d8e3947-person	Seal 								
 ????Abbahu	Vol-3-S-H_M-d8e380-person	Papyrus	 Luxor	 Cowley 						
 ????Abbayye	Vol-4-S-H_M-d8e4964-person	Incantation bowl 								
 ????Abbin	Vol-2-S-H_M-d8e4233-person	Inscription	 Syria	 Prentice 						
 ????Abbin	Vol-2-S-H_M-d8e4268-person	Epitaph	 Jaffa	 Euting 						
 ????Abbin	Vol-2-S-H_M-d8e4303-person	Inscription	 Ein Nashôt							
                   										
 ????Abbin	Vol-2-S-H_M-d8e4335-person	Sarcophagus	 Ein Nashôt							
                   										
 ????Abbin	Vol-2-S-H_M-d8e4367-person	Epitaph	 Qazrin							
                   										
 ????Abbin	Vol-2-S-H_M-d8e4402-person	Synagogue inscription	 Rehov							
                   										
 ????Abbin	Vol-2-Vol-1-ADD-P_M-d8e315-person	Graffito	 burial cave	 Beth Govrin						
                   										
 ????Abbin	Vol-4-S-H_M-d8e6611-person	Incantation bowls	 Nippur	 Montgomery 						
 ????Abbin	Vol-4-S-H_M-d8e6646-person	Incantation bowls	 Kutha 							
 ????Abbin	Vol-4-S-H_M-d8e6684-person	Incantation bowls	 Borsippa 							
 ????Abbin	Vol-4-S-H_M-d8e6726-person	Incantation bowl	 Iraq	 Gordon 						
 ?????Abbomari	Vol-2-S-H_M-d8e4529-person	Epitaph	 Jaffa	 Euting 						
 ?????Abbomari	Vol-2-S-H_M-d8e4564-person	Synagogue inscription	 H?an H?alde	Rey-Coquais 						
 ??????Abbomari	Vol-4-S-H_M-d8e4655-person	Epitaph	 Jaffa	 Euting 						
 ?????Abb?s	Vol-4-A_M-d8e8238-person	Epitaph and burial cave contract	 Palmyra 							
 ?????Abbuna	Vol-3-S-H_M-d8e433-person	Epitaph	 Vigna Randanini	 Visconti 						
 AbdaAbda	Vol-4-I_M-d8e66-person	Incantation bowl 								
 ????Abdai	Vol-2-B_M-d8e39085-person	Tulida124 								
 ????Abdai	Vol-2-B_M-d8e39122-person	Epitaph	 Tiberias 							
 ????????‘AbdAllah	Vol-2-S-G_M-d8e22-person	Epitaph	 Hebron?							
                   										
 ?????Abdel	Vol-3-B_M-d8e11684-person	Ostracon	 Edfu	 Manteuffel 						
 ????Abdi	Vol-1-B_M-d2e47568-person	Tomb inscription	 Kidron	 Slousch	1925					
 ????Abdi	Vol-1-B_M-d2e47590-person	Parchment	 Muraba‘at 							
 ????Abdi	Vol-1-B_M-d2e47628-person	Papyrus	 list	 Jericho 						
 ????Abdi	Vol-3-B_M-d8e11735-person	Papyrus	 Luxor	 Cowley 						
 ????Abdi	Vol-3-B_M-d8e11766-person	Epitaph	 Hagir Esna	 Kornfeld 						
 ????Abdi	Vol-3-B_M-d8e11800-person	Papyrus	 Fayum	 Smyly 						
 ????Abdi	Vol-3-B_M-d8e11838-person	Ostracon	 Thebes	 Sayce 						
 ????Abdi	Vol-3-B_M-d8e11873-person	Ostracon	 Thebes	 Tait 						
 ????Abdi	Vol-3-B_M-d8e11908-person	Ostracon	 Thebes	 Wilcken 						
 ????Abdi	Vol-3-B_M-d8e11943-person	Ostracon Thebes	 Tait 							
 ????Abdi	Vol-3-B_M-d8e11978-person	Ostracon	 Upper Egypt	 Wilcken 						
 ????Abdi	Vol-3-B_M-d8e12019-person	Ostracon	 Edfu	 Manteuffel 						
 ????Abdi	Vol-3-B_M-d8e12057-person	Ostracon	 Berlin 							
 ????Abdi	Vol-3-B_M-d8e12100-person	Papyrus	 Berlin 							
 ????Abdi	Vol-3-B_M-d8e12139-person	Papyrus	 Berlin 							
 ????Abdi	Vol-3-B_M-d8e12174-person	Dedicatory inscription	 Hermopolis	 Jouguet 						
 ????Abdi	Vol-3-B_M-d8e12209-person	Dedicatory inscription	 Hermopolis	 Jouguet 						
 ????Abdi	Vol-3-B_M-d8e12244-person	Dedicatory inscription	 Hermopolis	 Zucker 						
 ????Abdi	Vol-3-B_M-d8e12279-person	Epitaph	 Kition	 Pococke 						
 ?????Abdi	Vol-4-B_M-d8e19982-person	Graffito	 Mad??in ??li? 							
 ?????Abdi	Vol-4-B_M-d8e20013-person	Incantation bowl	 Schøyen collection 							
 ??????Abdimi	Vol-2-S-H_M-d8e2662-person	Epitaph	 Jaffa	 Clermont-Ganneau 						
 ??????Abdimi	Vol-2-S-H_M-d8e2691-person	Synagogue inscription	 Hammat Tiberias	 Dothan 						
 ??????Abdimi	Vol-4-S-H_M-d8e4303-person	Incantation bowl	 Israel Museum 							
 AbdocosAbdocos	Vol-3-S-G_M-d8e22-person	Dedicatory inscription	 Hermopolis	 Jouguet 						
 AbdocosAbdocos	Vol-3-S-G_M-d8e54-person	Dedicatory inscription	 Hermopolis	 Zucker 						
 ???????????Abdoh?arta???????????Abdoh?arta	Vol-2-S-G_M-d8e243-person	Epitaph	 Zoar 							
 AbedeunisAbedeunis	Vol-3-S-G_F-d8e16-person	Epitaph	 Hr. Thina 							
 ???Abi	Vol-4-B_F-d8e12-person	Incantation bowl	 Iraq 							
 ????Abiah	Vol-3-B_M-d8e73-person	Ostracon	 Thebes 							
 ?????Abi?al	Vol-4-B_M-d8e62-person	bMQ18a(Kosowsky	Babylonico	 32) 						
 ?????Abiathar	Vol-2-B_M-d8e195-person	Inscription	 Elijah’s Cave 							
 ?????Abiathar	Vol-4-B_M-d8e115-person	Conversion of Kartli113 								
 ??????abiba	Vol-4-S-H_M-d8e18980-person	Ossuary	 Jerusalem	 Abel 						
 ??????abiba	Vol-4-S-H_M-d8e19014-person	Incantation bowl	 Israel Museum 							
 ?????Abidan	Vol-2-B_M-d8e56-person	Epitaph	 Jerusalem	 Clermont-Ganneau 						
 ?????Abiel	Vol-3-B_M-d8e19-person	Ostracon	 Thebes	 Wilcken 						
 ??????Abigail	Vol-3-B_F-d8e15-person	Ring	 Alexandria 							
 ????Abin	Vol-1-S-H_M-d2e614-person	Ossuary	 French Hill	 Kloner	1980					
 ??????Abior	Vol-1-S-H_M-d2e572-person	Papyrus	 list	 Jericho 						
 ?????Abishag	Vol-2-Vol-1-ADD-B_F-d8e11-person	Dedicatory inscription	 Mt. Gerizim 							
 ?????Abitai	Vol-3-S-H_M-d8e489-person	Papyrus	 Luxor	 Cowley 						
 ?????Abitai	Vol-3-S-H_M-d8e520-person	Papyrus	 Luxor	 Cowley 						
 ?????Abitai	Vol-3-S-H_M-d8e551-person	Ostracon	 Edfu 							
