lemma	pointer_in_volume	details								
 ??????ananiah	Vol-4-B_M-d8e7292-person	bPes109b (Kosowsky	Babylonico	 490) 						
 ??????ananiah	Vol-4-B_M-d8e7334-person	bPes110a (Kosowsky	Babylonico	 528) 						
 ??????ananiah	Vol-4-B_M-d8e7364-person	bKet4b (Kosowsky	Babylonico	 513) 						
 ??????ananiah	Vol-4-B_M-d8e7403-person	bNed61b (Kosowsky	Babylonico	 515) 						
 ??????ananiah	Vol-4-B_M-d8e7439-person	bGit64b (Kosowsky	Babylonico	 490) 						
 ??????ananiah	Vol-4-B_M-d8e7484-person	bBM61b(Kosowsky	Babylonico	514						
 ??????ananiah	Vol-4-B_M-d8e7529-person	bBM97a (Kosowsky	Babylonico	 513) 						
 ??????ananiah	Vol-4-B_M-d8e7568-person	bBB131a (Kosowsky	Babylonico	 519) 						
 ??????ananiah	Vol-4-B_M-d8e7605-person	SOZ8	4							
 ??????ananiah	Vol-4-B_M-d8e7770-person	Military roster papyrus	 Dura-Europos 							
 ??????ananiah	Vol-4-B_M-d8e7808-person	Graffito	 synagogue Dura-Europos	 du Mesnil 						
 ??????ananiah	Vol-4-B_M-d8e7874-person	Burial cave contract	 Palmyra	 Kokowzoff 						
 ??????ananiah	Vol-4-B_M-d8e7910-person	Epitaph	 Palymra	 Chabot 						
 ??????ananiah	Vol-4-B_M-d8e7943-person	Epitaph	 Palmyra	 Torrey 						
 ??????ananiah	Vol-4-B_M-d8e7976-person	Epitaph	 Palmyra	 Chabot 						
 ??????ananiah	Vol-4-B_M-d8e8019-person	Epitaph	 Palmyra	 Chabot 						
 ??????ananiah	Vol-4-B_M-d8e8064-person	Burial cave contract 								
 ??????ananiah	Vol-4-B_M-d8e8131-person	Dedication inscriptions	 Kheurbet Semrine 							
 ??????ananiah	Vol-4-B_M-d8e8165-person	Incantation bowl 								
 ???????????Anastasia	Vol-3-G_F-d8e1700-person	Epitaph	 Monteverde	 Paribeni 						
 ???????????Anastasia	Vol-3-G_F-d8e1735-person	Epitaph	 Monteverde	 Maffei	CIJ481 					
 ???????????Anastasia	Vol-3-G_F-d8e1784-person	Epitaph on glass	 Schwabe & Reifenberg 							
 ???????????Anastasie	Vol-2-G_F-d8e359-person	Inscription	 Temple Mount	 Jerusalem	 Mayer 					
 ???????????Anastasie	Vol-2-G_F-d8e391-person	Dedicatory inscription	 Coastal Plain							
                   										
 ???????????Anastasie	Vol-2-G_F-d8e442-person	Epitaph	 Coastal Plain							
                   										
 ???????????Anastasis	Vol-3-G_M-d8e6444-person	Epitaph	 Monteverde	 Schneider Graziosi 						
 ????????????Anastasius	Vol-2-G_M-d8e1779-person	Dedicatory inscription	 Beit She’an 							
 ????????????Anastasius	Vol-2-G_M-d8e1839-person	Epitaph	 Beth She‘arim	 catacomb 4	CIJ1123 					
 ????????????Anastasius	Vol-3-G_M-d8e6133-person	Glass amulet	 Garrucci 							
 ????????????Anastasius	Vol-3-G_M-d8e6164-person	Epitaph	 Venosa	 Angelis & Smith 						
 ????????????Anastasius	Vol-3-G_M-d8e6211-person	Epitaph	 Venosa	 Angelis & Smith 						
 ????????????Anastasius	Vol-3-G_M-d8e6254-person	Epitaph	 Irsa	 Mommsen 						
 ????????????Anastasius	Vol-3-G_M-d8e6304-person	Sarcophagus	 Corycos	 Keil & Wilhelm 						
 ????????????Anastasius	Vol-3-G_M-d8e6339-person	Epitaph	 Villa Torlonia	 Fasola 						
 ????????????Anastasius	Vol-3-G_M-d8e6383-person	Epitaph	 Villa Torlonia	 Fasola 						
 ???????????Anatolius	Vol-2-G_M-d8e1933-person	Epitaph	 Jaffa	 Clermont-Ganneau 						
 ???????????Anatolius	Vol-3-G_M-d8e6498-person	Papyrus	 Heidelberg 							
 ???????????Anatolius	Vol-3-G_M-d8e6531-person	Epitaph	 Taranto	 Barnabei 						
 ???????????Anatolius	Vol-3-G_M-d8e6580-person	Synagogue inscription	 Sardis	 Kroll 						
 ?????????Ancaius	Vol-3-G_M-d8e1010-person	Papyrus	 Trikomia 							
 AnchopheosAnchopheos	Vol-3-E_M-d8e451-person	Papyrus	 Karanis	 Pearl & Youtie 						
 ?????????Andreas	Vol-1-G_M-d2e1827-person	Ossuary	 Augusta Victoria	 Sukenik	1930					
 ?????????Andreas	Vol-1-G_M-d2e1869-person	Ossuary 								
 ?????????Andreas	Vol-2-G_M-d8e2052-person	Epitaph	 Hebron?							
                   										
 ?????????Andreas	Vol-3-G_M-d8e6682-person	Papyrus	 Washington 							
 ?????????Andreas	Vol-3-G_M-d8e6711-person	Epitaph	 Sedment el-Gebel 							
 ???????????Andromache	Vol-2-Vol-1-ADD-G_F-d8e219-person	Epitaph	 Laconia	Robert 						
 ????????????Andromachus	Vol-2-G_M-d8e2109-person	Epitaph	 Zoar 							
 ????????????Andromachus	Vol-3-G_M-d8e6757-person	Papyrus	 Heracleopolis 							
 ????????????Andromachus	Vol-3-G_M-d8e6792-person	Politeuma inscription	 Berenice	 Roux 						
 ????????????Andromachus	Vol-3-G_M-d8e6824-person	Politeuma inscription	 Berenice	 Roux 						
 ????????????Andromachus	Vol-3-G_M-d8e6862-person	Politeuma inscription	 Berenice	 Roux 						
 ????????????Andronicus	Vol-3-G_M-d8e6939-person	Papyrus	 Heracleopolis	 Grenfell & Hunt 						
 ????????????Andronicus	Vol-3-G_M-d8e6974-person	Papyrus	 Heracleopolis	 Grenfell & Hunt 						
 ????????????Andronicus	Vol-3-G_M-d8e7030-person	Papyrus	 Heracleopolis 							
 ????????????Andronicus	Vol-3-G_M-d8e7068-person	Papyrus	 Heracleopolis 							
 ????????????Andronicus	Vol-3-G_M-d8e7106-person	Papyrus	 Hercleopolis	 						
 ????????????Andronicus	Vol-3-G_M-d8e7145-person	Epitaph	 Venosa	 Angelis & Smith 						
 ????????????Andronicus	Vol-3-G_M-d8e7185-person	Inscription	 Naples	 Diehl 						
 ????????????Andronicus	Vol-3-G_M-d8e7219-person	Epitaph	 Teucheira	 Oliverio 						
 ?????????????Androsthenes	Vol-3-G_M-d8e7264-person	Epitaph	 Teucheira 							
 ?????????????Androsthenes	Vol-3-G_M-d8e7299-person	Epitaphs	 Teucheira 							
 ?????????????Androsthenes	Vol-3-G_M-d8e7345-person	Epitaph	 Teucheira 							
 ?????????????Androsthenes	Vol-3-G_M-d8e7397-person	Epitaph	 Teucheira 							
 AnemoAnemo	Vol-1-L_M-d2e670-person	Ossuary	 Franciscan Museum	 no. 7606 						
 AngionAngion	Vol-3-E_M-d8e500-person	Papyrus	 Vienna 							
 AngionAngion	Vol-3-E_M-d8e533-person	Papyrus	 Vienna 							
 AngionAngion	Vol-3-E_M-d8e569-person	Dedicatory inscription	 Hermopolis	 Jouguet 						
 AngionAngion	Vol-3-E_M-d8e601-person	Dedicatory inscription	 Hermopolis	 Zucker 						
 AngionAngion	Vol-3-E_M-d8e633-person	Dedicatory inscription	 Hermopolis	 Zucker 						
 ???Ani	Vol-1-S-H_M-d2e1430-person	Ossuary	 Silwan 							
 AnibeyahAnibeyah	Vol-4-I_F-d8e255-person	Incantation bowl 								
 AnicetusAnicetus	Vol-3-L_M-d8e1719-person	Epitaph	 Venosa	 Angelis & Smith 						
 AnicetusAnicetus	Vol-3-L_M-d8e1766-person	Epitaph	 Venosa	 Angelis & Smith 						
 ?????Annab	Vol-1-S-G_M-d2e198-person	Parchment	 Muraba‘at 							
 AnnamiusAnnamius	Vol-4-L_M-d8e162-person	Epitaph	 Tomb of the Prophet 							
 AnniaAnnia	Vol-3-L_F-d8e563-person	Graffito	 Vigna Randanini	 Frey 						
 AnniaAnnia	Vol-3-L_F-d8e601-person	Epitaph	 Monteverde	 Schneider Graziosi 						
 AnniaAnnia	Vol-3-L_F-d8e636-person	Epitaph	 Adra	 Migliore 						
 AnniaAnnia	Vol-3-L_F-d8e674-person	Epitaph	 Brescia	 Gruter 						
 AnniaAnnia	Vol-3-L_F-d8e714-person	Epitaph	 Carthage 							
 AnnianusAnnianus	Vol-1-L_M-d2e714-person	Graffiti	 Herodium	 Testa 						
 AnnianusAnnianus	Vol-1-L_M-d2e742-person	Tomb inscription	 Jatt 							
 AnnianusAnnianus	Vol-2-L_M-d8e735-person	Epitaph	 Beth She‘arim	 catacomb 13 						
 AnnianusAnnianus	Vol-2-L_M-d8e764-person	Epitaphs	 Beth She‘arim	 catacomb 14 						
 AnnianusAnnianus	Vol-2-L_M-d8e819-person	Epitaph	 Beth She‘arim	 catacomb 20 						
 AnnianusAnnianus	Vol-2-L_M-d8e850-person	Epitaph	 Quneitra							
                   										
 AnnianusAnnianus	Vol-2-L_M-d8e883-person	Synagogue inscription	 El-Khirbe							
                   										
 AnnianusAnnianus	Vol-2-L_M-d8e930-person	Synagogue inscription	 Sepphoris 							
 AnnianusAnnianus	Vol-2-L_M-d8e974-person	Epitaph	 Sepphoris	 Druks 						
 AnnianusAnnianus	Vol-3-L_M-d8e1815-person	Papyrus	 Marmarica	 Norsa & Vitelli 						
 AnnianusAnnianus	Vol-3-L_M-d8e1847-person	Papyrus	 Marmarica	 Norsa & Vitelli 						
 AnnianusAnnianus	Vol-3-L_M-d8e1879-person	Papyrus	 Marmarica	 Norsa & Vitelli 						
 AnnianusAnnianus	Vol-3-L_M-d8e1920-person	Papyrus	 Marmarica	 Norsa & Vitelli 						
 AnnianusAnnianus	Vol-3-L_M-d8e1952-person	Papyrus	 Marmarica	 Norsa & Vitelli 						
 AnnianusAnnianus	Vol-3-L_M-d8e1993-person	Epitaph	 Villa Torlonia	 Beyer & Lietzmann 						
 AnnianusAnnianus	Vol-3-L_M-d8e2052-person	Epitaph	 Villa Torlonia	 Paribeni 						
 AnnianusAnnianus	Vol-3-L_M-d8e2095-person	Epitaph	 Vigna Randanini	 Garrucci 						
 AnnianusAnnianus	Vol-3-L_M-d8e2145-person	Epitaph	 Monteverde	 Schneider Graziosi 						
 AnnianusAnnianus	Vol-3-L_M-d8e2180-person	Epitaph	 Sassari	 Maetzke 						
 AnnianusAnnianus	Vol-3-L_M-d8e2215-person	Epitaph	 Sassari	 Maetzke 						
 AnnianusAnnianus	Vol-3-L_M-d8e2253-person	Epitaph	 Carthage 							
 AnnianusAnnianus	Vol-3-L_M-d8e2295-person	Epitaph	 Carthage 							
 AnnianusAnnianus	Vol-3-L_M-d8e2328-person	Epitaph	 Carthage	 						
 AnnianusAnnianus	Vol-3-L_M-d8e2361-person	Epitaph	 Numidia 							
 AnniusAnnius	Vol-2-Vol-1-ADD-L_M-d8e115-person	Ossuary	 Metropolitam Museum	 New York 						
 AnniusAnnius	Vol-3-L_M-d8e2407-person	Ostracon	 Edfu	 Manteuffel 						
 AnniusAnnius	Vol-3-L_M-d8e2442-person	Papyrus	 Marmarica	 Norsa & Vitelli 						
 AnniusAnnius	Vol-3-L_M-d8e2477-person	Epitaph	 Villa Torlonia	 Paribeni 						
 AnniusAnnius	Vol-3-L_M-d8e2527-person	Epitaph	 Monteverde	 Schneider Graziosi 						
 AnniusAnnius	Vol-3-L_M-d8e2564-person	Epitaph	 Monteverde	 Schneider Graziosi 						
 AnniusAnnius	Vol-3-L_M-d8e2608-person	Sarcophagus	 Hierapolis	 Judeich 						
 AnniusAnnius	Vol-3-L_M-d8e2644-person	Sarcophagus	 Hierapolis	 Miranda 						
 AnniusAnnius	Vol-3-L_M-d8e2679-person	Epitaph	 Carthage 							
 AnniusAnnius	Vol-3-L_M-d8e2712-person	Epitaph	 Carthage 							
 AnousionAnousion	Vol-3-S-G_M-d8e513-person	Dedicatory inscription	 Hermopolis	 Zucker 						
 ????ansh	Vol-4-A_M-d8e3694-person	Incantation bowl	 Borsippa 							
 ???????Antas	Vol-1-G_M-d2e2061-person	Platter	 Jerusalem 							
 ???????Antas	Vol-3-G_M-d8e7601-person	Ostracon	 Edfu	 Manteuffel 						
 ?????????Anteros	Vol-3-G_M-d8e7646-person	Epitaph	 Monteverde	 Schneider Graziosi 						
 ?????????Anthimus	Vol-3-G_M-d8e7500-person	Papyrus	 Kenyon 							
 ???????Anthus	Vol-2-G_M-d8e2164-person	Epitaph	 Beth She‘arim	catacomb 12 						
 ?????????Anthusa	Vol-2-G_F-d8e502-person	Epitaph	 Antioch							
                   										
 ?????????Anthusa	Vol-3-G_F-d8e1832-person	Papyrus	 Ptolemais Hermeiou	 Bilabel 						
 ?????????Anthylus	Vol-1-G_M-d2e1994-person	Jars	Masada 							
 ??????????Antigona	Vol-1-G_F-d2e356-person	Ossuary	 Jerusalem	 Clermont-Ganneau	1883					
 ??????????Antigona	Vol-1-G_F-d2e382-person	Ossuary	 Mt of Offence	 Kloner	1984					
 ??????????Antigona	Vol-1-G_F-d2e401-person	Inscription Delphi	1863							
 ??????????Antigona	Vol-3-G_F-d8e1886-person	Epitaph	 Teucheira 							
 ???????????Antigonus	Vol-1-G_M-d2e2174-person	Coins 								
 ???????????Antigonus	Vol-2-G_M-d8e2263-person	yHor3:4	 48a (Kosovsky	Yerushalmi	 136) 					
 ???????????Antigonus	Vol-2-G_M-d8e2291-person	Graffiti	 Wadi Hajjaj							
                   										
 ???????????Antigonus	Vol-3-G_M-d8e7700-person	Papyrus	 Zenon archive	 Edgar 						
 ???????????Antigonus	Vol-3-G_M-d8e7738-person	Donation inscription	 Berenice	 Caputo 						
 ????????????Antiochides	Vol-3-G_M-d8e7798-person	Sarcophagus	 Hierapolis	 Miranda 						
 ??????????Antiochus	Vol-2-G_M-d8e2394-person	Epitaph	 Lydda 							
 ??????????Antiochus	Vol-2-Vol-1-ADD-G_M-d8e591-person	Epitaph?Tombs of the Prophets	 Clermon-Gannau 							
 ??????????Antiochus	Vol-3-G_M-d8e7866-person	Epitaph	 Hipponion	 Robert 						
 ??????????Antiochus	Vol-3-G_M-d8e7904-person	Dedicatory inscription	 Aphrodisias	 Reynolds & Tannenbaum 						
 ????????????Antipatrus	Vol-1-G_M-d2e2805-person	Inscription	 Bagatti 							
 ????????????Antipatrus	Vol-1-G_M-d2e2832-person	Tomb inscription	 Jatt 							
 ????????????Antipatrus	Vol-2-Vol-1-ADD-G_M-d8e651-person	Dedicatory inscription	 Mt. Gerizim 							
 ????????????Antipatrus	Vol-2-Vol-1-ADD-G_M-d8e691-person	Dedicatory inscription	 Mt. Gerizim 							
 ????????????Antipatrus	Vol-2-Vol-1-ADD-G_M-d8e728-person	Epitaph	 Dominus Flevit	 Jerusalem 						
 ????????????Antipatrus	Vol-3-G_M-d8e7957-person	Papyrus	 Samaria	 Wilcken 						
 ????????????Antipatrus	Vol-3-G_M-d8e7989-person	Papyrus	 Fayum	 Wilcken 						
 ????????????Antipatrus	Vol-3-G_M-d8e8022-person	Papyrus	 Fayum	 						
 ????????????Antipatrus	Vol-3-G_M-d8e8057-person	Ostraca	 Edfu	 Manteuffel 						
 ????????????Antipatrus	Vol-3-G_M-d8e8095-person	Ostracon	 Edfu	 Manteuffel 						
 ????????????Antipatrus	Vol-3-G_M-d8e8141-person	Papyrus	 Heracleopolis 							
 ????????????Antipatrus	Vol-3-G_M-d8e8173-person	Papyrus	 Vienna 							
 ????????????Antipatrus	Vol-3-G_M-d8e8206-person	Epitaph	 Monteverde	 Schneider Graziosi 						
 ????????????Antipatrus	Vol-3-G_M-d8e8256-person	Dedicatory inscription	 Aphrodisias	 Reynolds & Tannenbaum 						
 ????????????Antipatrus	Vol-3-G_M-d8e8291-person	Dedicatory inscription	 Aphrodisias	 Reynolds & Tannenbaum 						
 ???????????Antiphanes	Vol-3-G_M-d8e8348-person	Epitaph	 Sedment el-Gebel 							
 ???????????Antiphilus	Vol-3-G_M-d8e8394-person	Epheboi inscription	 Cyrene	 Oliverio & Pugliese Carratelli 						
 AntoniaAntonia	Vol-3-L_F-d8e758-person	Epitaph	 Tortona	 Oehler 						
 AntonianusAntonianus	Vol-3-L_M-d8e2759-person	Sarcophagus	 Hierapolis	 Miranda 						
 AntoninaAntonina	Vol-2-L_F-d8e15-person	Amulet	 Israel Museum 							
 AntoninaAntonina	Vol-3-L_F-d8e812-person	Epitaph	 Vigna Randanini	 Garrucci 						
 AntoninaAntonina	Vol-3-L_F-d8e846-person	Epitaph	 Monteverde	 Migliore 						
 AntoninusAntoninus	Vol-2-L_M-d8e1017-person	Epitaph	 Maioumas (Shuni)	 Burkitt 						
 AntoninusAntoninus	Vol-2-L_M-d8e1053-person	Synagogue inscription	 Beth She‘arim 							
 AntoninusAntoninus	Vol-2-L_M-d8e1082-person	Dedicatory inscription	 Hammat Gader 							
 AntoninusAntoninus	Vol-3-L_M-d8e2811-person	Dedicatory inscription	 Aphrodisias	 Reynolds & Tannenbaum 						
 AntoninusAntoninus	Vol-3-L_M-d8e2855-person	Sarcophagus	 Hierapolis	 Miranda 						
 AntoniusAntonius	Vol-3-L_M-d8e2936-person	Ostraca	 Edfu	 Manteuffel 						
 AntoniusAntonius	Vol-3-L_M-d8e2983-person	Epitaph	 Ostia	 Ghislanzoni 						
 AntoniusAntonius	Vol-3-L_M-d8e3014-person	Sarcophagus	 Hierapolis	 Miranda 						
 AntoniusAntonius	Vol-3-L_M-d8e3056-person	Epitaph	 Mauritania 							
 AntoniusAntonius	Vol-3-L_M-d8e3094-person	Epitaph	 S. Hippolyti cemetery 							
 AntoniusAntonius	Vol-3-L_M-d8e3128-person	Dedicatory inscription	 Olynthus 							
 AnurAnur	Vol-4-I_M-d8e1005-person	Incantation bowl	 Nippur	 Montgomery 						
 AnusAnus	Vol-3-L_M-d8e3176-person	Manumission inscription	 Phanegoria	Dan’shin 						
 AnusiusAnusius	Vol-3-L_M-d8e3229-person	Dedicatory inscription	 Aphrodisias	 Reynolds & Tannenbaum 						
 ???????Apate	Vol-3-G_F-d8e1982-person	Manumission inscription	 Larissa	 Duchesne 						
 ApeitheonApeitheon	Vol-3-E_M-d8e676-person	Papyrus	 Oxyrhynchus 							
 ?????????Apellas	Vol-2-Vol-1-ADD-G_M-d8e786-person	Dedicatory inscription	 Mt. Gerizim 							
 ?????????Apellas	Vol-3-G_M-d8e8475-person	Ostracon	 Edfu	 Manteuffel 						
 ?????????Apellas	Vol-3-G_M-d8e8510-person	Epitaph	 Eumenia	 Paris 						
 ?????????Apellas	Vol-3-G_M-d8e8558-person	Dedicatory inscription	 Aphrodisias	 Reynolds & Tannenbaum 						
 ?????????Apellas	Vol-3-G_M-d8e8594-person	Dedicatory inscription	 Aphrodisias	 Reynolds & Tannenbaum 						
 ?????????Apellas	Vol-3-G_M-d8e8626-person	Inscription	 Lanuvium	 Applebaum 						
 ?????????Apelles	Vol-3-G_M-d8e8683-person	Papyrus	 Michigan 							
 ApelliusApellius	Vol-4-L_M-d8e275-person	Incantation bowl	 Harvard	 Gordon 						
 AperAper	Vol-3-L_M-d8e3272-person	Epitaph	 Monteverde	 Müller 						
 ????????Apheles	Vol-2-G_M-d8e3108-person	Inscription	 Sakhnin							
                   										
 ????????Apheles	Vol-3-G_M-d8e13857-person	Sarcophagus	 Hierapolis	 Judeich 						
 ???????????Aphrodisia	Vol-3-G_F-d8e3646-person	Epitaph	 Vigna Randanini	 Garrucci 						
 ???????????Aphrodisia	Vol-3-G_F-d8e3683-person	Epitaph	 Vigna Randanini	 Garrucci 						
 ???????????Aphrodisia	Vol-3-G_F-d8e3720-person	Epitaph	 Ptolemais	 Pacho 						
 ???????????Aphrodisia	Vol-3-G_F-d8e3760-person	Epitaph	 Teucheira	 Oliverio 						
 ????????????Aphrodisias	Vol-1-G_M-d2e3939-person	Ostracon	 Jerusalem 							
 ????????????Aphrodisius	Vol-2-G_M-d8e3161-person	Epitaph	 Italy	Migliore 						
 ???????????Aphroditus	Vol-3-G_M-d8e13924-person	Papyrus	 Della Vida 							
 AphunchisAphunchis	Vol-3-E_M-d8e726-person	Papyrus	 Kase 							
 ???????Apion	Vol-3-G_M-d8e8726-person	Papyrus	 Theadelphia	 Vitelli 						
 ?????????????Apolinarius	Vol-3-G_M-d8e8772-person	Papyri	 Karanis	 Winter & Youtie 						
 ?????????????Apolinarius	Vol-3-G_M-d8e8805-person	Epitaph	 Villa Torlonia	 Fasola 						
 ?????????????Apolinarius	Vol-3-G_M-d8e8850-person	Coin	 Phrygia 							
 ?????????Apollas	Vol-3-G_M-d8e8900-person	Ostracon	 Edfu	 Manteuffel 						
 ?????????????Apollodorus	Vol-3-G_M-d8e9014-person	Papyrus	 Heracleopolis 							
 ?????????????Apollodorus	Vol-3-G_M-d8e9049-person	Epitaph	 Alexandria	 Clermont-Ganneau 						
 ?????????????Apollodorus	Vol-3-G_M-d8e9086-person	Dedicatory inscription	 Hermopolis	 Jouguet 						
 ?????????????Apollodorus	Vol-3-G_M-d8e9117-person	Epitaph	 Oliverio 							
 ?????????????Apollodotus	Vol-3-G_M-d8e8953-person	Epitaph	 Hierapolis	 Miranda 						
 ?????????????Apollogenes	Vol-1-G_M-d2e2966-person	Ossuary	 German Archaeological Institute 							
 ???????????Apollonia	Vol-3-G_F-d8e2027-person	Papyrus	 Samaria Wilcken 							
 ?????????????Apolloniane	Vol-3-G_F-d8e2121-person	Sarcophagus	 Hierapolis	 Miranda 						
 ????????????Apollonias	Vol-3-G_F-d8e2074-person	Papyrus	 Alexandria	 Schubart 						
 ?????????????Apollonides	Vol-3-G_M-d8e9159-person	Synagogue inscription	 Nysa	 Robert 						
 ?????????????Apollonides	Vol-3-G_M-d8e9212-person	Epitaph	 Teucheira	 Applebaum 						
 ????????????Apollonius	Vol-3-G_M-d8e9269-person	Papyrus	 Luxor	 Cowley 						
 ????????????Apollonius	Vol-3-G_M-d8e9303-person	Ostracon	 Edfu	 Degen 						
 ????????????Apollonius	Vol-3-G_M-d8e9337-person	Stelae	 Alexandria 							
 ????????????Apollonius	Vol-3-G_M-d8e9374-person	Papyrus	 Crocodilopolis	 Wilcken 						
 ????????????Apollonius	Vol-3-G_M-d8e9414-person	Ostraca	 Edfu	 Schubart 						
 ????????????Apollonius	Vol-3-G_M-d8e9446-person	Papyrus	 Fayum	 Mahaffy 						
 ????????????Apollonius	Vol-3-G_M-d8e9493-person	Papyrus	 Theogenis	 Kramer 						
 ????????????Apollonius	Vol-3-G_M-d8e9528-person	Wooden tablet	 Kellis 							
 ????????????Apollonius	Vol-3-G_M-d8e9569-person	Papyrus	 Vienna 							
 ????????????Apollonius	Vol-3-G_M-d8e9608-person	Dedicatory inscription	 Hermopolis	 Zucker 						
 ????????????Apollonius	Vol-3-G_M-d8e9639-person	Dedicatory inscription	 Hermopolis	 Zucker 						
 ????????????Apollonius	Vol-3-G_M-d8e9672-person	Dedicatory inscription	 Hermopolis	 Zucker 						
 ????????????Apollonius	Vol-3-G_M-d8e9711-person	Epitaph	 Thessalonica	 Heuzey & Daumet 						
 ????????????Apollonius	Vol-3-G_M-d8e9751-person	Epitaph	 Thessalonica	 Heuzey & Daumet 						
 ????????????Apollonius	Vol-3-G_M-d8e9786-person	Sarcophagus	 Hierapolis	 Miranda 						
 ????????????Apollonius	Vol-3-G_M-d8e9834-person	Epitaph	 Teucheira	 Oliverio 						
 ????????????Apollonius	Vol-3-G_M-d8e9863-person	Politeuma inscription	 Berenice	 Roux 						
 ????????????Apollonius	Vol-3-G_M-d8e9895-person	Epitaph	 Saittai 							
 ????????????Apollonius	Vol-3-G_M-d8e9935-person	Epitaph	 Dareioukome 							
 ????????????Apollonius	Vol-4-Vol-3-Add-G_M-d8e19-person	Papyrus	 Fayum 							
 ?????????Apollos	Vol-3-G_M-d8e10035-person	Papyrus	 Hermopolis 							
 ???????????Aponerius	Vol-3-G_M-d8e10100-person	Dedicatory inscription	 Aphrodisias	 Reynolds & Tannenbaum 						
 ???????????Aponerius	Vol-3-G_M-d8e10144-person	Dedicatory inscription	 Aphrodisias	 Reynolds & Tannenbaum 						
 AponiaAponia	Vol-3-L_F-d8e898-person	Epitaph	 Carthage 							
 ?????????Aponius	Vol-3-G_M-d8e10237-person	Epitaph	 Carthage 							
 ?????????Aponius	Vol-3-G_M-d8e10273-person	Epitaph	 Carthage 							
 ???????????Aponymius	Vol-3-G_M-d8e10192-person	Epitaph	 Dorylaion 							
 AppaeanusAppaeanus	Vol-3-L_M-d8e3330-person	Ostracon	 Edfu	 Manteuffel 						
 AppiaAppia	Vol-1-L_F-d2e111-person	Ossuary	 Kidron	 Sukenik	1934					
 AppiaAppia	Vol-3-L_F-d8e946-person	Epitaph	 Eumenia	 Robert 						
 AppiaAppia	Vol-3-L_F-d8e987-person	Sarcophagus	 Hierapolis	 Miranda 						
 AppiaAppia	Vol-3-L_F-d8e1031-person	Sarcophagus	 Hierapolis	 Miranda 						
 AppiaAppia	Vol-3-L_F-d8e1075-person	Epitaph	 Kotiaeion	 Waddington 						
 AppiaAppia	Vol-3-L_F-d8e1119-person	Epitaph	 Zemme 							
 AppianusAppianus	Vol-3-L_M-d8e3379-person	Dedicatory inscription	 Aphrodisias	 Reynolds & Tannenbaum 						
 AppidiaAppidia	Vol-3-L_F-d8e1168-person	Epitaph	 Vigna Randanini	 Garrucci 						
 AppiusAppius	Vol-1-L_M-d2e877-person	Papyrus	 Masada 							
 ApriciusApricius	Vol-3-L_M-d8e3422-person	Epitaph	 Monteverde	 De Rossi 						
 AprilicusAprilicus	Vol-3-L_M-d8e3468-person	Epitaph	 Monteverde	 Schneider Graziosi 						
 AprusAprus	Vol-3-L_M-d8e3517-person	Sarcophagus	 Hierapolis	 Judeich 						
 ??????Apses	Vol-2-G_M-d8e3215-person	Epitaph	 Zoar 							
 ????Aq‘aq	Vol-2-Vol-1-ADD-P_M-d8e2117-person	Dedicatory inscription	 Mt. Gerizim 							
 ????Aqmat	Vol-4-S-H_F-d8e2756-person	Epitaph	 Palmyra 							
 ????Aqub	Vol-1-B_M-d2e48480-person	Ossuary 								
 ????Aqub	Vol-1-B_M-d2e48502-person	Ossuary	 Kidron 							
 ????Aqub	Vol-1-B_M-d2e48528-person	Papyrus	 marriage contract	 “Seyal” 						
 ????Aqub	Vol-1-B_M-d2e48557-person	Papyrus	 list	 Jericho 						
 ????Aqub	Vol-1-B_M-d2e48575-person	Papyrus	 list	 Jericho 						
 ????Aqub	Vol-1-B_M-d2e48596-person	Ostracon	 Masada 							
 ????Aqub	Vol-3-B_M-d8e26510-person	Ostracon	 Edfu	 Degen 						
 ????Aqub	Vol-3-B_M-d8e26544-person	Papyrus	 Trikomia 							
 ????Aqub	Vol-3-B_M-d8e26588-person	Papyrus	 Trikomia 							
 ????Aqub	Vol-3-B_M-d8e26623-person	Papyrus	 Zenon Archive 							
 ????Aqub	Vol-3-B_M-d8e26659-person	Epitaph	 Alexandria	 Clermont-Ganneau 						
 ????Aqub	Vol-3-B_M-d8e26693-person	Epitaph	 Via Appia 							
 ????Aqub	Vol-3-B_M-d8e26730-person	Epitaph	 Cerveteri 							
 ????Aqub	Vol-3-B_M-d8e26767-person	Epitaph	 Pouzzoles	 Orelli-Henzen 						
 ????Aqub	Vol-3-B_M-d8e26804-person	Epitaph	 Pouzzoles	 Matranga 						
 ?????Aqub	Vol-4-B_M-d8e20874-person	1.bShab56b (Kosowsky	Babylonico	 1151)	 2.SOZ9	 14-16 				
 ?????Aqub	Vol-4-B_M-d8e20929-person	b?Eruv34b (Kosowsky	Babylonico	 1150) 						
 ?????Aqub	Vol-4-B_M-d8e21021-person	bBe?11a (Kosowsky	Babylonico	 1150) 						
 ?????Aqub	Vol-4-B_M-d8e21066-person	bYev63b (Kosowsky	Babylonico	 1038) 						
 ?????Aqub	Vol-4-B_M-d8e21158-person	SOZ9	6							
 ?????Aqub	Vol-4-B_M-d8e21189-person	SOZ9	16							
 ?????Aqub	Vol-4-B_M-d8e21225-person	Ibn Hajar	i??ba	 I	407					
 ?????Aqub	Vol-4-B_M-d8e21264-person	Epitaph	 Palmyra	 Gottheil 						
