person:nym,person:lemma_en,person:lemma_ancient,person:orthography,person:sex,person:hebrew,person:greek,person:checkme,person:id,person:pointer_in_volume,name:id,name:form,name:language_type,name:gender_type
 Aḥat-אחת,Aḥat,אחת,אחתא/אחתה,F,,,,Vol-4-S-H_F-d8e188-person,Vol-4-S-H_F-Semitic-Hebrew-Females-Aḥat-4,name-Aat-d1e665738,Aḥat-אחת,S-H,F 
 Aḥat-אחת,Aḥat,אחת,–,F,,,,Vol-4-S-H_F-d8e223-person,Vol-4-S-H_F-Semitic-Hebrew-Females-Aḥat-5,name-Aat-d1e665738,Aḥat-אחת,S-H,F 
 Aḥat-אחת,Aḥat,אחת,–,F,,,,Vol-4-S-H_F-d8e258-person,Vol-4-S-H_F-Semitic-Hebrew-Females-Aḥat-6,name-Aat-d1e665738,Aḥat-אחת,S-H,F 
 Aḥat-אחת,Aḥat,אחת,אחתא,F,,,,Vol-4-S-H_F-d8e290-person,Vol-4-S-H_F-Semitic-Hebrew-Females-Aḥat-7,name-Aat-d1e665738,Aḥat-אחת,S-H,F 
 Aḥat-אחת,Aḥat,אחת,–,F,,,,Vol-4-S-H_F-d8e325-person,Vol-4-S-H_F-Semitic-Hebrew-Females-Aḥat-8,name-Aat-d1e665738,Aḥat-אחת,S-H,F 
 Aḥat-אחת,Aḥat,אחת,–,F,,,,Vol-4-S-H_F-d8e357-person,Vol-4-S-H_F-Semitic-Hebrew-Females-Aḥat-9,name-Aat-d1e665738,Aḥat-אחת,S-H,F 
 Aḥat-אחת,Aḥat,אחת,אחתא,F,,,,Vol-4-S-H_F-d8e389-person,Vol-4-S-H_F-Semitic-Hebrew-Females-Aḥat-10,name-Aat-d1e665738,Aḥat-אחת,S-H,F 
 Aḥat-אחת,Aḥat,אחת,אחתאדן,F,,,,Vol-4-S-H_F-d8e426-person,Vol-4-S-H_F-Semitic-Hebrew-Females-Aḥat-11,name-Aat-d1e665738,Aḥat-אחת,S-H,F 
 Aḥat-אחת,Aḥat,אחת,אחתונתו,F,,,,Vol-4-S-H_F-d8e464-person,Vol-4-S-H_F-Semitic-Hebrew-Females-Aḥat-12,name-Aat-d1e665738,Aḥat-אחת,S-H,F 
 Aḥat-אחת,Aḥat,אחת,–,F,,,,Vol-4-S-H_F-d8e501-person,Vol-4-S-H_F-Semitic-Hebrew-Females-Aḥat-13,name-Aat-d1e665738,Aḥat-אחת,S-H,F 
 Aḥat-אחת,Aḥat,אחת,יחת,F,,,,Vol-4-S-H_F-d8e541-person,Vol-4-S-H_F-Semitic-Hebrew-Females-Aḥat-14,name-Aat-d1e665738,Aḥat-אחת,S-H,F 
