,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
10368,ref-m.1.8.5.11.43-ref-m.1.8.5.13.4,ref-bible.0105.26.13.18-ref-bible.0105.26.15.4,107732,108086,16570,16629,ref-m.00001.00008.00005.00011.00043,ref-m.00001.00008.00005.00013.00004,391369,391539,65479,65508,ref-bible.00105.00026.00013.00018,ref-bible.00105.00026.00015.00004,ולא שכחתי לא שכחתי מלברכך ומלהזכיר שמך עליו לא אכלתי באוני ממנו הא אם אכלו באנינה אינו יכול להתודות ולא בערתי ממנו בטמא הא אם הפרישו בטומאה אינו יכול להתודות ולא נתתי ממנו למת לא לקחתי ממנו ארון ותכריכים למת ולא נתתיו לאוננים אחרים שמעתי בקול ה' אלהי הבאתיו לבית הבחירה עשיתי ככל אשר צויתני שמחתי ושמחתי בו השקיפה ממעון קדשך מן השמים ,צויתני לא עברתי ממצותיך ולא שכחתי לא אכלתי באני ממנו ולא בערתי ממנו בטמא ולא נתתי ממנו למת שמעתי בקול יהוה אלהי עשיתי ככל אשר צויתני השקיפה ממעון קדשך מן השמים ,ref-bible
10369,ref-m.1.8.5.12.37-ref-m.1.8.5.12.47,ref-bible.0208.7.23.9-ref-bible.0208.7.23.22,107977,108039,16612,16622,ref-m.00001.00008.00005.00012.00037,ref-m.00001.00008.00005.00012.00047,881829,881907,149822,149835,ref-bible.00208.00007.00023.00009,ref-bible.00208.00007.00023.00022,שמעתי בקול ה' אלהי הבאתיו לבית הבחירה עשיתי ככל אשר צויתני ,שמעו בקולי והייתי לכם לאלהים ואתם תהיו לי לעם והלכתם בכל הדרך אשר אצוה ,ref-bible
10370,ref-m.1.8.5.13.15-ref-m.1.8.5.13.31,ref-bible.0105.26.15.1-ref-bible.0105.26.15.15,108133,108224,16639,16652,ref-m.00001.00008.00005.00013.00015,ref-m.00001.00008.00005.00013.00031,391510,391586,65505,65516,ref-bible.00105.00026.00015.00001,ref-bible.00105.00026.00015.00015,השקיפה ממעון קדשך מן השמים וברך את עמך את ישראל בבנים ובבנות ואת האדמה אשר נתתה לנו ,השקיפה ממעון קדשך מן השמים וברך את עמך את ישראל ואת האדמה אשר נתתה לנו ,ref-bible
10371,ref-m.1.8.5.13.18-ref-m.1.8.5.13.31,ref-bible.0313.6.25.3-ref-bible.0313.6.25.14,108153,108224,16642,16652,ref-m.00001.00008.00005.00013.00018,ref-m.00001.00008.00005.00013.00031,1526996,1527062,262096,262106,ref-bible.00313.00006.00025.00003,ref-bible.00313.00006.00025.00014,מן השמים וברך את עמך את ישראל בבנים ובבנות ואת האדמה אשר נתתה לנו ,מן השמים וסלחת לחטאת עמך ישראל והשיבותם אל האדמה אשר נתתה להם ,ref-bible
10372,ref-m.1.9.4.10.28-ref-m.1.9.4.10.37,ref-bible.0102.23.15.20-ref-bible.0102.23.16.7,115290,115348,17735,17744,ref-m.00001.00009.00004.00010.00028,ref-m.00001.00009.00004.00010.00037,151200,151247,26665,26673,ref-bible.00102.00023.00015.00020,ref-bible.00102.00023.00016.00007,מפני הכתוב שבתורה וחג הקציר בכורי מעשיך אשר תזרע בשדה ,פני ריקם וחג הקציר בכורי מעשיך אשר תזרע בשדה ,ref-bible
10373,ref-m.1.11.1.3.34-ref-m.1.11.1.3.43,ref-bible.0102.23.15.20-ref-bible.0102.23.16.7,121894,121952,18733,18742,ref-m.00001.00011.00001.00003.00034,ref-m.00001.00011.00001.00003.00043,151200,151247,26665,26673,ref-bible.00102.00023.00015.00020,ref-bible.00102.00023.00016.00007,מפני הכתוב שבתורה וחג הקציר בכורי מעשיך אשר תזרע בשדה ,פני ריקם וחג הקציר בכורי מעשיך אשר תזרע בשדה ,ref-bible
10374,ref-m.1.11.1.4.36-ref-m.1.11.1.5.10,ref-bible.0220.2.4.1-ref-bible.0220.2.4.17,122149,122250,18776,18791,ref-m.00001.00011.00001.00004.00036,ref-m.00001.00011.00001.00005.00010,1133960,1134039,191817,191832,ref-bible.00220.00002.00004.00001,ref-bible.00220.00002.00004.00017,אומר אלהי אבותיכם ואם היתה אמו מישראל אומר אלהי אבותינו רבי_אליעזר_בן_יעקב_אומר אשה בת גרים לא תנשא ,ואמר מה אלה באים לעשות ויאמר לאמר אלה הקרנות אשר זרו את יהודה כפי איש לא נשא ,ref-bible
10375,ref-m.1.11.1.9.6-ref-m.1.11.1.9.24,ref-bible.0311.1.2.12-ref-bible.0311.1.3.1,123011,123118,18911,18929,ref-m.00001.00011.00001.00009.00006,ref-m.00001.00011.00001.00009.00024,1424833,1424898,244796,244807,ref-bible.00311.00001.00002.00012,ref-bible.00311.00001.00003.00001,שיביא להר הבית שנאמר ראשית בכורי אדמתך תביא בית ה' אלהיך מלמד שחייב באחריותם עד שיביא להר הבית הרי ,ויביאם ארץ שנער בית אלהיו ואת הכלים הביא בית אוצר אלהיו ויאמר ,ref-bible
10376,ref-m.1.11.1.9.10-ref-m.1.11.1.9.14,ref-bible.0102.23.19.1-ref-bible.0102.23.19.5,123036,123062,18915,18919,ref-m.00001.00011.00001.00009.00010,ref-m.00001.00011.00001.00009.00014,151392,151418,26704,26708,ref-bible.00102.00023.00019.00001,ref-bible.00102.00023.00019.00005,ראשית בכורי אדמתך תביא בית ,ראשית בכורי אדמתך תביא בית ,ref-bible
10377,ref-m.1.11.1.9.10-ref-m.1.11.1.9.14,ref-bible.0102.34.26.1-ref-bible.0102.34.26.5,123036,123062,18915,18919,ref-m.00001.00011.00001.00009.00010,ref-m.00001.00011.00001.00009.00014,176605,176631,30921,30925,ref-bible.00102.00034.00026.00001,ref-bible.00102.00034.00026.00005,ראשית בכורי אדמתך תביא בית ,ראשית בכורי אדמתך תביא בית ,ref-bible
