baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-sifre-d,baseOrder,grp-ref-sifra,dam-lev,jac,lcs_len_char,lcs_str_char,lcc_distance,id
ref-sifra.3.3-00.5.2-ref-sifra.3.3-00.5.13,ref-sifre-d.64.2.2-ref-sifre-d.64.2.13,98077,98143,ref-sifra.3.3-00.5.2,ref-sifra.3.3-00.5.13,111804,111863,ref-sifre-d.64.2.2,ref-sifre-d.64.2.13,נאמרה כאן לקיחה' ונאמרה להלן לקיחה' מה לקיחה' אמורה להלן בכלי אף ,נאמר כאן שמחה ונאמר להן שמחה מה שמחה האמורה להלן שלמים אף ,12,12,411,411.0,206,189.0,0.3076923076923077,0.4444444444444444,48,נאמר כאן חה ונאמר להן חה מה חה אמורה להלן לי אף ,0.2615384615384615,4060000173
ref-sifra.3.3-00.5.2-ref-sifra.3.3-00.5.13,ref-sifre-d.69.1.2-ref-sifre-d.69.1.13,98077,98143,ref-sifra.3.3-00.5.2,ref-sifra.3.3-00.5.13,114083,114145,ref-sifre-d.69.1.2,ref-sifre-d.69.1.13,נאמרה כאן לקיחה' ונאמרה להלן לקיחה' מה לקיחה' אמורה להלן בכלי אף ,נאמרה כאן שמחה ונאמרה להלן שמחה מה שמחה האמורה להלן שלמים אף ,12,12,449,441.0,207,189.0,0.26153846153846155,0.4444444444444444,51,נאמרה כאן חה ונאמרה להלן חה מה חה אמורה להלן לי אף ,0.2153846153846154,4060000174
ref-sifra.3.3-00.5.2-ref-sifra.3.3-00.5.13,ref-sifre-d.86.6.4-ref-sifre-d.86.6.15,98077,98143,ref-sifra.3.3-00.5.2,ref-sifra.3.3-00.5.13,131038,131102,ref-sifre-d.86.6.4,ref-sifre-d.86.6.15,נאמרה כאן לקיחה' ונאמרה להלן לקיחה' מה לקיחה' אמורה להלן בכלי אף ,נאמרה כאן הדחה ונאמרה להלן הדחה מה הדחה האמורה להלן בסקילה אף ,12,12,602,592.0,208,189.0,0.26153846153846155,0.4444444444444444,51,נאמרה כאן חה ונאמרה להלן חה מה חה אמורה להלן בי אף ,0.2153846153846154,4060000175
ref-sifra.3.3-00.5.2-ref-sifra.3.3-00.5.14,ref-sifre-d.90.2.4-ref-sifre-d.90.2.16,98077,98147,ref-sifra.3.3-00.5.2,ref-sifra.3.3-00.5.14,133022,133088,ref-sifre-d.90.2.4,ref-sifre-d.90.2.16,נאמר כאן הדחה ונאמר להלן הדחה מה הדחה האמורה להלן כאן בסקילה אף,נאמר כאן הדחה ונאמר להלן הדחה מה הדחה האמורה להלן כאן בסקילה אף,13,13,662,658.0,209,209.0,0.0,0.0,63,נאמר כאן הדחה ונאמר להלן הדחה מה הדחה האמורה להלן כאן בסקילה אף,0.0,4060000176
ref-sifra.3.3-00.5.2-ref-sifra.3.3-00.5.12,ref-sifre-d.103.3.7-ref-sifre-d.103.3.19,98077,98140,ref-sifra.3.3-00.5.2,ref-sifra.3.3-00.5.12,141103,141160,ref-sifre-d.103.3.7,ref-sifre-d.103.3.19,נאמרה כאן לקיחה' ונאמרה להלן לקיחה' מה לקיחה' אמורה להלן בכלי ,נאמר כאן נשר ונאמר להלן נשר מה נשר האמור להלן עשה את כל ,11,13,805,777.0,203,189.0,0.46774193548387094,0.6,39,נאמר כאן  ונאמר להלן  מה  אמור להלן כל ,0.3709677419354839,4060000177
ref-sifra.3.3-00.5.2-ref-sifra.3.3-00.5.14,ref-sifre-d.107.18.9-ref-sifre-d.107.18.34,98077,98147,ref-sifra.3.3-00.5.2,ref-sifra.3.3-00.5.14,147570,147702,ref-sifre-d.107.18.9,ref-sifre-d.107.18.34,נאמר כאן שמחה ונאמר להלן שמחה מה שמחה האמורה כאן להלן שלמים אף שמחה האמורה להלן כאן שלמים אי מה שמחה האמורה להלן עולה ושלמים אף,נאמר כאן שמחה ונאמר להלן שמחה מה שמחה האמורה כאן להלן שלמים אף שמחה האמורה להלן כאן שלמים אי מה שמחה האמורה להלן עולה ושלמים אף,26,26,863,863.0,210,210.0,0.0,0.0,127,נאמר כאן שמחה ונאמר להלן שמחה מה שמחה האמורה כאן להלן שלמים אף שמחה האמורה להלן כאן שלמים אי מה שמחה האמורה להלן עולה ושלמים אף,0.0,4060000178
ref-sifra.3.3-00.5.2-ref-sifra.3.3-00.5.11,ref-sifre-d.111.1.12-ref-sifre-d.111.1.21,98077,98134,ref-sifra.3.3-00.5.2,ref-sifra.3.3-00.5.11,150177,150221,ref-sifre-d.111.1.12,ref-sifre-d.111.1.21,נאמרה כאן לקיחה' ונאמרה להלן לקיחה' מה לקיחה' אמורה להלן ,נאמר כאן קץ ונאמר להלן קץ מה קץ האמור להלן ,10,10,963,962.0,199,189.0,0.3157894736842105,0.33333333333333337,39,נאמר כאן ק ונאמר להלן ק מה ק אמור להלן ,0.3157894736842105,4060000179
ref-sifra.3.3-00.5.2-ref-sifra.3.3-00.5.14,ref-sifre-d.117.3.29-ref-sifre-d.117.3.39,98077,98147,ref-sifra.3.3-00.5.2,ref-sifra.3.3-00.5.14,154983,155034,ref-sifre-d.117.3.29,ref-sifre-d.117.3.39,נאמרה כאן לקיחה' ונאמרה להלן לקיחה' מה לקיחה' אמורה להלן בכלי אף כאן ,"נאמר כאן בליעל ונאמר להלן בליעל מה להלן ע""ז אף כאן ",13,11,1028,1028.0,222,189.0,0.4057971014492754,0.4444444444444444,43,נאמר כאן לי ונאמר להלן ליל מה להלן  אף כאן ,0.37681159420289856,4060000180
ref-sifra.3.3-00.5.2-ref-sifra.3.3-00.5.13,ref-sifre-d.122.3.2-ref-sifre-d.122.3.13,98077,98143,ref-sifra.3.3-00.5.2,ref-sifra.3.3-00.5.13,159571,159630,ref-sifre-d.122.3.2,ref-sifre-d.122.3.13,נאמרה כאן לקיחה' ונאמרה להלן לקיחה' מה לקיחה' אמורה להלן בכלי אף ,נאמר כאן אזנו ונאמר להלן אזנו מה אזנו האמור להלן ימנית אף ,12,12,1054,1044.0,211,189.0,0.38461538461538464,0.4444444444444444,41,נאמר כאן  ונאמר להלן  מה  אמור להלן י אף ,0.36923076923076925,4060000181
ref-sifra.3.3-00.5.2-ref-sifra.3.3-00.5.13,ref-sifre-d.138.1.6-ref-sifre-d.138.1.17,98077,98143,ref-sifra.3.3-00.5.2,ref-sifra.3.3-00.5.13,170273,170333,ref-sifre-d.138.1.6,ref-sifre-d.138.1.17,נאמרה כאן לקיחה' ונאמרה להלן לקיחה' מה לקיחה' אמורה להלן בכלי אף ,נאמר כאן שמחה ונאמר להלן שמחה מה שמחה האמורה להלן שלמים אף ,12,12,1183,1174.0,212,189.0,0.2923076923076923,0.4444444444444444,49,נאמר כאן חה ונאמר להלן חה מה חה אמורה להלן לי אף ,0.24615384615384617,4060000182
ref-sifra.3.3-00.5.2-ref-sifra.3.3-00.5.11,ref-sifre-d.149.4.17-ref-sifre-d.149.4.26,98077,98134,ref-sifra.3.3-00.5.2,ref-sifra.3.3-00.5.11,179575,179628,ref-sifre-d.149.4.17,ref-sifre-d.149.4.26,נאמרה כאן לקיחה' ונאמרה להלן לקיחה' מה לקיחה' אמורה להלן ,נאמר כאן שעריך ונאמר להלן שעריך מה שעריך האמור להלן ,10,10,1267,1261.0,200,189.0,0.3684210526315789,0.33333333333333337,39,נאמר כאן י ונאמר להלן י מה י אמור להלן ,0.3157894736842105,4060000183
ref-sifra.3.3-00.5.2-ref-sifra.3.3-00.5.13,ref-sifre-d.194.6.12-ref-sifre-d.194.6.23,98077,98143,ref-sifra.3.3-00.5.2,ref-sifra.3.3-00.5.13,206415,206470,ref-sifre-d.194.6.12,ref-sifre-d.194.6.23,נאמרה כאן לקיחה' ונאמרה להלן לקיחה' מה לקיחה' אמורה להלן בכלי אף ,נאמר כאן אחר ונאמר להלן אחר מה אחר האמור להלן נכרי אף ,12,12,1413,1395.0,213,189.0,0.3230769230769231,0.4444444444444444,45,נאמר כאן ח ונאמר להלן ח מה ח אמור להלן כי אף ,0.3076923076923077,4060000184
ref-sifra.3.3-00.5.2-ref-sifra.3.3-00.5.13,ref-sifre-d.195.7.13-ref-sifre-d.195.7.24,98077,98143,ref-sifra.3.3-00.5.2,ref-sifra.3.3-00.5.13,206965,207020,ref-sifre-d.195.7.13,ref-sifre-d.195.7.24,נאמרה כאן לקיחה' ונאמרה להלן לקיחה' מה לקיחה' אמורה להלן בכלי אף ,נאמר כאן אחר ונאמר להלן אחר מה אחר האמור להלן נכרי אף ,12,12,1470,1452.0,214,189.0,0.3230769230769231,0.4444444444444444,45,נאמר כאן ח ונאמר להלן ח מה ח אמור להלן כי אף ,0.3076923076923077,4060000185
ref-sifra.3.3-00.5.2-ref-sifra.3.3-00.5.14,ref-sifre-d.230.3.6-ref-sifre-d.230.3.17,98077,98147,ref-sifra.3.3-00.5.2,ref-sifra.3.3-00.5.14,231456,231510,ref-sifre-d.230.3.6,ref-sifre-d.230.3.17,נאמרה כאן לקיחה' ונאמרה להלן לקיחה' מה לקיחה' אמורה להלן בכלי אף כאן ,נאמר כאן קדש ונאמר להלן קדש מה להלן איסור הנאה אף כאן ,13,12,1573,1571.0,223,189.0,0.4057971014492754,0.4444444444444444,43,נאמר כאן ק ונאמר להלן ק מה לה אור ה אף כאן ,0.37681159420289856,4060000186
ref-sifra.3.3-00.5.2-ref-sifra.3.3-00.5.14,ref-sifre-d.244.4.39-ref-sifre-d.244.4.59,98077,98147,ref-sifra.3.3-00.5.2,ref-sifra.3.3-00.5.14,243475,243571,ref-sifre-d.244.4.39,ref-sifre-d.244.4.59,נאמר כאן אשר_לא_אורשה ונאמר להלן אשר_לא_אורשה מה כאן חמשים אף להלן חמשים ומה להלן שקלים אף כאן,נאמר כאן אשר_לא_אורשה ונאמר להלן אשר_לא_אורשה מה כאן חמשים אף להלן חמשים ומה להלן שקלים אף כאן,17,17,1636,1636.0,224,224.0,0.0,0.0,94,נאמר כאן אשר_לא_אורשה ונאמר להלן אשר_לא_אורשה מה כאן חמשים אף להלן חמשים ומה להלן שקלים אף כאן,0.0,4060000187
ref-sifra.3.3-00.5.2-ref-sifra.3.3-00.5.11,ref-sifre-d.261.2.25-ref-sifre-d.261.2.34,98077,98134,ref-sifra.3.3-00.5.2,ref-sifra.3.3-00.5.11,251413,251466,ref-sifre-d.261.2.25,ref-sifre-d.261.2.34,נאמרה כאן לקיחה' ונאמרה להלן לקיחה' מה לקיחה' אמורה להלן ,נאמר כאן תועבה ונאמר להלן תועבה מה תועבה האומר להלן ,10,10,1692,1688.0,201,189.0,0.3508771929824561,0.33333333333333337,38,נאמר כאן ה ונאמר להלן ה מה ה אור להלן ,0.33333333333333337,4060000188
ref-sifra.3.3-00.4.84-ref-sifra.3.3-00.5.13,ref-sifre-d.264.1.4-ref-sifre-d.264.1.17,98059,98143,ref-sifra.3.3-00.4.84,ref-sifra.3.3-00.5.13,252865,252930,ref-sifre-d.264.1.4,ref-sifre-d.264.1.17,השם בצפון ולקח נאמרה כאן לקיחה' ונאמרה להלן לקיחה' מה לקיחה' אמורה להלן בכלי אף ,לה' נאמר כאן נדר ונאמר להלן נדר מה נדר האמור להלן נדר ונדבה אף ,15,14,1741,1739.0,192,189.0,0.5375,0.6153846153846154,43,ל נאמר כאן  ונאמר להלן  מה  אמור להלן ב אף ,0.4625,4060000189
ref-sifra.3.3-00.5.2-ref-sifra.3.3-00.5.11,ref-sifre-d.284.6.4-ref-sifre-d.284.6.16,98077,98134,ref-sifra.3.3-00.5.2,ref-sifra.3.3-00.5.11,268085,268144,ref-sifre-d.284.6.4,ref-sifre-d.284.6.16,נאמרה כאן לקיחה' ונאמרה להלן לקיחה' מה לקיחה' אמורה להלן ,נאמר כאן גר יתום ונאמר להלן גר יתום מה גר יתום האמור להלן ,10,13,1819,1819.0,202,189.0,0.3793103448275862,0.4285714285714286,39,נאמר כאן י ונאמר להלן י מה י אמור להלן ,0.3275862068965517,4060000190
ref-sifra.3.3-00.5.2-ref-sifra.3.3-00.5.13,ref-sifre-d.285.4.3-ref-sifre-d.285.4.18,98077,98143,ref-sifra.3.3-00.5.2,ref-sifra.3.3-00.5.13,268747,268822,ref-sifre-d.285.4.3,ref-sifre-d.285.4.18,נאמרה כאן לקיחה' ונאמרה להלן לקיחה' מה לקיחה' אמורה להלן בכלי אף ,נאמר כאן גר יתום ונאמר להלן גר יתום מה גר יתום האמור להלן פחות מסאתים אף ,12,16,1876,1863.0,215,189.0,0.4383561643835616,0.5454545454545454,44,נאמר כאן י ונאמר להלן י מה י אמור להלן י אף ,0.3972602739726028,4060000191
ref-sifra.3.3-00.4.84-ref-sifra.3.3-00.5.13,ref-sifre-d.289.3.11-ref-sifre-d.289.3.30,98059,98143,ref-sifra.3.3-00.4.84,ref-sifra.3.3-00.5.13,274187,274283,ref-sifre-d.289.3.11,ref-sifre-d.289.3.30,נאמר כאן שם אחיו ונאמר להלן על שם אחיהם יקראו בנחלתם מה שם האמור להלן לנחלה אף שם האמור כאן,נאמר כאן שם אחיו ונאמר להלן על שם אחיהם יקראו בנחלתם מה שם האמור להלן לנחלה אף שם האמור כאן,20,20,1935,1935.0,193,193.0,0.0,0.0,91,נאמר כאן שם אחיו ונאמר להלן על שם אחיהם יקראו בנחלתם מה שם האמור להלן לנחלה אף שם האמור כאן,0.0,4060000192
ref-sifra.3.3-00.4.84-ref-sifra.3.3-00.5.14,ref-sifre-d.289.9.14-ref-sifre-d.289.9.51,98059,98147,ref-sifra.3.3-00.4.84,ref-sifra.3.3-00.5.14,274937,275097,ref-sifre-d.289.9.14,ref-sifre-d.289.9.51,שם ר'_יהודה_אומר נאמר כאן שם ונאמר להלן שם מה שם האמור להלן נחלה אף שם האמור כאן נחלה מה שם האמור לשם זרע אף שם האמור כאן זרע מה שם האמור להלן זרע אף כאן,שם ר'_יהודה_אומר נאמר כאן שם ונאמר להלן שם מה שם האמור להלן נחלה אף שם האמור כאן נחלה מה שם האמור לשם זרע אף שם האמור כאן זרע מה שם האמור להלן זרע אף כאן,35,35,1958,1958.0,195,195.0,0.0,0.0,153,שם ר'_יהודה_אומר נאמר כאן שם ונאמר להלן שם מה שם האמור להלן נחלה אף שם האמור כאן נחלה מה שם האמור לשם זרע אף שם האמור כאן זרע מה שם האמור להלן זרע אף כאן,0.0,4060000193
ref-sifra.3.3-00.5.2-ref-sifra.3.3-00.5.14,ref-sifre-d.291.4.11-ref-sifre-d.291.4.21,98077,98147,ref-sifra.3.3-00.5.2,ref-sifra.3.3-00.5.14,276124,276175,ref-sifre-d.291.4.11,ref-sifre-d.291.4.21,נאמרה כאן לקיחה' ונאמרה להלן לקיחה' מה לקיחה' אמורה להלן בכלי אף כאן ,נאמר כאן רגלו ונאמר להלן רגלו מה להלן ימנית אף כאן ,13,11,2024,2024.0,226,189.0,0.43478260869565216,0.4444444444444444,41,נאמר כאן ל ונאמר להלן ל מה להלן י אף כאן ,0.4057971014492754,4060000194
ref-sifra.3.3-00.5.2-ref-sifra.3.3-00.5.13,ref-sifre-d.291.6.2-ref-sifre-d.291.6.15,98077,98143,ref-sifra.3.3-00.5.2,ref-sifra.3.3-00.5.13,276456,276533,ref-sifre-d.291.6.2,ref-sifre-d.291.6.15,נאמרה כאן לקיחה' ונאמרה להלן לקיחה' מה לקיחה' אמורה להלן בכלי אף ,ואמרה נאמר כאן ענייה ונאמר להלן ענייה מה ענייה האמורה להלן בלשון הקדש אף ,12,14,2041,2031.0,216,189.0,0.3972602739726027,0.5,49,אמרה כאן יה ונאמר להלן יה מה יה אמורה להלן בל אף ,0.3287671232876712,4060000195
ref-sifra.3.3-00.5.2-ref-sifra.3.3-00.5.14,ref-sifre-d.293.2.4-ref-sifre-d.293.2.16,98077,98147,ref-sifra.3.3-00.5.2,ref-sifra.3.3-00.5.14,278141,278197,ref-sifre-d.293.2.4,ref-sifre-d.293.2.16,נאמרה כאן לקיחה' ונאמרה להלן לקיחה' מה לקיחה' אמורה להלן בכלי אף כאן ,נאמר כאן לא תחוס ונאמר להלן לא תחוס מה להלן ממון אף כאן ,13,13,2087,2087.0,227,189.0,0.391304347826087,0.4444444444444444,43,נאמר כאן לח ונאמר להלן ל ח מה להלן  אף כאן ,0.37681159420289856,4060000196
ref-sifra.3.3-00.5.2-ref-sifra.3.3-00.5.14,ref-sifre-d.301.1.2-ref-sifre-d.301.1.13,98077,98147,ref-sifra.3.3-00.5.2,ref-sifra.3.3-00.5.14,284160,284221,ref-sifre-d.301.1.2,ref-sifre-d.301.1.13,נאמרה כאן לקיחה' ונאמרה להלן לקיחה' מה לקיחה' אמורה להלן בכלי אף כאן ,נאמר כאן ענייה ונאמר להלן ענייה מה להלן בלשון הקודש אף כאן ,13,12,2110,2105.0,228,189.0,0.4057971014492754,0.5,45,נאמר כאן יה ונאמר להלן ייה מה להלן בל אף כאן ,0.34782608695652173,4060000197
ref-sifra.3.3-00.5.2-ref-sifra.3.3-00.5.14,ref-sifre-d.302.1.6-ref-sifre-d.302.1.34,98077,98147,ref-sifra.3.3-00.5.2,ref-sifra.3.3-00.5.14,288148,288275,ref-sifre-d.302.1.6,ref-sifre-d.302.1.34,נאמר כאן קץ ונאמר להלן קץ מה קץ האמור להלן רגל אף קץ האמור כאן רגל אי מה קץ האמור להלן חג המצות אף כאן חג המצות נאמר להלן,נאמר כאן קץ ונאמר להלן קץ מה קץ האמור להלן רגל אף קץ האמור כאן רגל אי מה קץ האמור להלן חג המצות אף כאן חג המצות נאמר להלן,29,29,2124,2124.0,217,217.0,0.0,0.0,121,נאמר כאן קץ ונאמר להלן קץ מה קץ האמור להלן רגל אף קץ האמור כאן רגל אי מה קץ האמור להלן חג המצות אף כאן חג המצות נאמר להלן,0.0,4060000198
ref-sifra.3.3-00.8.11-ref-sifra.3.3-00.8.20,ref-sifre-d.36.2.56-ref-sifre-d.36.2.65,98592,98644,ref-sifra.3.3-00.8.11,ref-sifra.3.3-00.8.20,51347,51394,ref-sifre-d.36.2.56,ref-sifre-d.36.2.65,נאמר כאן אצבעו ונאמר להלן אצבעו מה אצבעו אמורה להלן ,נאמר כאן כתב ונאמר להלן כתב מה כתב האמור להלן ,10,10,50,49.0,232,231.0,0.2692307692307692,0.33333333333333337,39,נאמר כאן ב ונאמר להלן ב מה ב אמור להלן ,0.25,4060000199
ref-sifra.3.3-00.8.11-ref-sifra.3.3-00.8.27,ref-sifre-d.36.2.102-ref-sifre-d.36.2.118,98592,98688,ref-sifra.3.3-00.8.11,ref-sifra.3.3-00.8.27,51584,51665,ref-sifre-d.36.2.102,ref-sifre-d.36.2.118,נאמר כאן אצבעו ונאמר להלן אצבעו מה אצבעו אמורה להלן הימנית המיומנת שבימין אף אצבעו אמורה כאן ,נאמר כאן כתב ונאמר להלן כתב מה כתב האמור להלן על הספר ובדיו אף כתב האמור כאן ,17,17,106,90.0,235,231.0,0.3870967741935484,0.6153846153846154,59,נאמר כאן ב ונאמר להלן ב מה ב אמור להלן  ה בי אף ב אמור כאן ,0.3655913978494624,4060000200
ref-sifra.3.3-00.8.11-ref-sifra.3.3-00.8.27,ref-sifre-d.43.24.43-ref-sifre-d.43.25.17,98592,98688,ref-sifra.3.3-00.8.11,ref-sifra.3.3-00.8.27,82463,82541,ref-sifre-d.43.24.43,ref-sifre-d.43.25.17,נאמר כאן אף ונאמר להלן אף חרי מה חרי אף האמור להלן חרב אף חרי האמור כאן,אפו נאמר כאן אף ונאמר להלן אף חרי מה חרי אף האמור להלן חרב אף חרי האמור כאן,17,18,172,172.0,236,236.0,0.05333333333333334,0.0,71,נאמר כאן אף ונאמר להלן אף חרי מה חרי אף האמור להלן חרב אף חרי האמור כאן,0.053333333333333344,4060000201
ref-sifra.3.3-00.8.11-ref-sifra.3.3-00.8.27,ref-sifre-d.62.4.5-ref-sifre-d.62.4.24,98592,98688,ref-sifra.3.3-00.8.11,ref-sifra.3.3-00.8.27,110105,110200,ref-sifre-d.62.4.5,ref-sifre-d.62.4.24,נאמר כאן אצבעו ונאמר להלן אצבעו מה אצבעו אמורה להלן הימנית המיומנת שבימין אף אצבעו אמורה כאן ,נאמר כאן לשום את שמו ונאמר להלן ושמו את שמי מה שמי האמור להלן בלשון הקדש אף שמי האמור כאן ,17,20,311,311.0,237,237.0,0.5483870967741935,0.6153846153846154,56,נאמר כאן או ונאמר להלן ו מה  אמור להלן ו ש אף  אמור כאן ,0.3978494623655914,4060000202
ref-sifra.3.3-00.8.14-ref-sifra.3.3-00.8.27,ref-sifre-d.62.4.32-ref-sifre-d.62.4.45,98607,98688,ref-sifra.3.3-00.8.14,ref-sifra.3.3-00.8.27,110236,110309,ref-sifre-d.62.4.32,ref-sifre-d.62.4.45,ונאמר להלן אצבעו מה אצבעו אמורה להלן הימנית המיומנת שבימין אף אצבעו אמורה כאן ,האמור להלן בית הבחירה ומה שמי האמור להלן ברכת כהנים אף שמי האמור כאן ,14,14,367,367.0,259,237.0,0.5641025641025641,0.7333333333333334,44,אמר להלן ב הבו אמור להלן ת הני אף  אמור כאן ,0.4358974358974359,4060000203
ref-sifra.3.3-00.8.11-ref-sifra.3.3-00.8.27,ref-sifre-d.64.2.2-ref-sifre-d.64.2.16,98592,98688,ref-sifra.3.3-00.8.11,ref-sifra.3.3-00.8.27,111804,111880,ref-sifre-d.64.2.2,ref-sifre-d.64.2.16,נאמר כאן אצבעו ונאמר להלן אצבעו מה אצבעו אמורה להלן הימנית המיומנת שבימין אף אצבעו אמורה כאן ,נאמר כאן שמחה ונאמר להן שמחה מה שמחה האמורה להלן שלמים אף שמחה האמורה כאן ,17,15,415,411.0,238,231.0,0.44086021505376344,0.5454545454545454,54,נאמר כאן  ונאמר להן  מה  אמורה להלן שמי אף  אמורה כאן ,0.4193548387096774,4060000204
ref-sifra.3.3-00.8.11-ref-sifra.3.3-00.8.27,ref-sifre-d.69.1.2-ref-sifre-d.69.1.16,98592,98688,ref-sifra.3.3-00.8.11,ref-sifra.3.3-00.8.27,114083,114162,ref-sifre-d.69.1.2,ref-sifre-d.69.1.16,נאמר כאן אצבעו ונאמר להלן אצבעו מה אצבעו אמורה להלן הימנית המיומנת שבימין אף אצבעו אמורה כאן ,נאמרה כאן שמחה ונאמרה להלן שמחה מה שמחה האמורה להלן שלמים אף שמחה האמורה כאן ,17,15,455,441.0,239,231.0,0.45161290322580644,0.5454545454545454,55,נאמר כאן  ונאמר להלן  מה  אמורה להלן שמי אף  אמורה כאן ,0.4086021505376344,4060000205
ref-sifra.3.3-00.8.11-ref-sifra.3.3-00.8.27,ref-sifre-d.86.6.4-ref-sifre-d.86.6.18,98592,98688,ref-sifra.3.3-00.8.11,ref-sifra.3.3-00.8.27,131038,131119,ref-sifre-d.86.6.4,ref-sifre-d.86.6.18,נאמר כאן אצבעו ונאמר להלן אצבעו מה אצבעו אמורה להלן הימנית המיומנת שבימין אף אצבעו אמורה כאן ,נאמרה כאן הדחה ונאמרה להלן הדחה מה הדחה האמורה להלן בסקילה אף הדחה האמורה כאן ,17,15,607,592.0,240,231.0,0.46236559139784944,0.5454545454545454,54,נאמר כאן  ונאמר להלן  מה  אמורה להלן בי אף  אמורה כאן ,0.4193548387096774,4060000206
ref-sifra.3.3-00.8.11-ref-sifra.3.3-00.8.27,ref-sifre-d.90.2.4-ref-sifre-d.90.2.19,98592,98688,ref-sifra.3.3-00.8.11,ref-sifra.3.3-00.8.27,133022,133105,ref-sifre-d.90.2.4,ref-sifre-d.90.2.19,נאמר כאן אצבעו ונאמר להלן אצבעו מה אצבעו אמורה להלן הימנית המיומנת שבימין אף אצבעו אמורה כאן ,נאמר כאן הדחה ונאמר להלן הדחה מה הדחה האמורה להלן כאן בסקילה אף הדחה האמורה כאן ,17,16,667,651.0,241,231.0,0.44086021505376344,0.5454545454545454,55,נאמר כאן  ונאמר להלן  מה  אמורה להלן  בי אף  אמורה כאן ,0.4086021505376344,4060000207
ref-sifra.3.3-00.8.17-ref-sifra.3.3-00.8.27,ref-sifre-d.99.2.28-ref-sifre-d.99.2.39,98625,98688,ref-sifra.3.3-00.8.17,ref-sifra.3.3-00.8.27,139010,139082,ref-sifre-d.99.2.28,ref-sifre-d.99.2.39,מה אצבעו אמורה להלן הימנית המיומנת שבימין אף אצבעו אמורה כאן ,מה תועבה האמורה להלן בפסולי המוקדשים הכתוב מדבר אף תועבה האמורה כאן ,11,12,747,745.0,261,231.0,0.4411764705882353,0.6923076923076923,40,מה ו אמורה להלן י המושימ אף ו אמורה כאן ,0.4117647058823529,4060000208
ref-sifra.3.3-00.8.11-ref-sifra.3.3-00.8.20,ref-sifre-d.103.3.7-ref-sifre-d.103.3.16,98592,98644,ref-sifra.3.3-00.8.11,ref-sifra.3.3-00.8.20,141103,141150,ref-sifre-d.103.3.7,ref-sifre-d.103.3.16,נאמר כאן אצבעו ונאמר להלן אצבעו מה אצבעו אמורה להלן ,נאמר כאן נשר ונאמר להלן נשר מה נשר האמור להלן ,10,10,779,777.0,233,231.0,0.3269230769230769,0.33333333333333337,36,נאמר כאן  ונאמר להלן  מה  אמור להלן ,0.3076923076923077,4060000209
ref-sifra.3.3-00.8.11-ref-sifra.3.3-00.8.27,ref-sifre-d.107.18.9-ref-sifre-d.107.18.25,98592,98688,ref-sifra.3.3-00.8.11,ref-sifra.3.3-00.8.27,147570,147656,ref-sifre-d.107.18.9,ref-sifre-d.107.18.25,נאמר כאן אצבעו ונאמר להלן אצבעו מה אצבעו אמורה להלן הימנית המיומנת שבימין אף אצבעו אמורה כאן ,נאמר כאן שמחה ונאמר להלן שמחה מה שמחה האמורה כאן להלן שלמים אף שמחה האמורה להלן כאן ,17,17,870,870.0,242,242.0,0.4946236559139785,0.5454545454545454,55,נאמר כאן  ונאמר להלן  מה  אמורה להלן שמי אף  אמורה כאן ,0.4086021505376344,4060000210
ref-sifra.3.3-00.8.17-ref-sifra.3.3-00.8.27,ref-sifre-d.107.18.28-ref-sifre-d.107.18.37,98625,98688,ref-sifra.3.3-00.8.17,ref-sifra.3.3-00.8.27,147666,147719,ref-sifre-d.107.18.28,ref-sifre-d.107.18.37,מה אצבעו אמורה להלן הימנית המיומנת שבימין אף אצבעו אמורה כאן ,מה שמחה האמורה להלן עולה ושלמים אף שמחה האמורה כאן ,11,10,922,922.0,262,242.0,0.45901639344262296,0.6363636363636364,36,מה  אמורה להלן ה ושמי אף  אמורה כאן ,0.4098360655737705,4060000211
ref-sifra.3.3-00.8.11-ref-sifra.3.3-00.8.27,ref-sifre-d.111.1.12-ref-sifre-d.111.1.28,98592,98688,ref-sifra.3.3-00.8.11,ref-sifra.3.3-00.8.27,150177,150259,ref-sifre-d.111.1.12,ref-sifre-d.111.1.28,נאמר כאן אצבעו ונאמר להלן אצבעו מה אצבעו אמורה להלן הימנית המיומנת שבימין אף אצבעו אמורה כאן ,נאמר כאן קץ ונאמר להלן קץ מה קץ האמור להלן בסופה ולא בתחילתה אף קץ האמור כאן ,17,17,977,962.0,243,231.0,0.45161290322580644,0.6153846153846154,56,נאמר כאן  ונאמר להלן  מה  אמור להלן ה ו בי אף  אמור כאן ,0.3978494623655914,4060000212
