baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-sifre-d,baseOrder,grp-ref-sifra,dam-lev,jac,lcs_len_char,lcs_str_char,lcc_distance,id
ref-sifra.2.2-00.8.24-ref-sifra.2.2-00.8.41,ref-sifre-d.101.3.10-ref-sifre-d.101.3.19,13906,13983,ref-sifra.2.2-00.8.24,ref-sifra.2.2-00.8.41,139787,139831,ref-sifre-d.101.3.10,ref-sifre-d.101.3.19,כשנעבדה בו עבירה על פי שני עדים נעבדה בו עבירה על פי עד אחד או על פי הבעלים ,"שנעבדה בו עבירה על_פי_עד_אחד או ע""פ הבעלים ",18,7,774,774.0,13,13.0,0.4868421052631579,0.75,39,שנעבדה בו עבירה עלפיעדאחד או עפ הבעלים ,0.48684210526315785,4060000011
ref-sifra.2.2-00.11.14-ref-sifra.2.2-00.11.27,ref-sifre-d.32.6.6-ref-sifre-d.32.6.22,15390,15454,ref-sifra.2.2-00.11.14,ref-sifra.2.2-00.11.27,41279,41357,ref-sifre-d.32.6.6,ref-sifre-d.32.6.22,אם נאמר רובע למה נאמר נוגח ואם נאמר נוגח למה נאמר רובע לפי שיש ,אם נאמר בכל נפשך למה נאמר בכל מאדך ואם נאמר בכל מאדך למה נאמר בכל נפשך יש ,14,17,33,31.0,16,14.0,0.43243243243243246,0.8,46,אם נאמר ב למה נאמר  ואם נאמר  למה נאמר בל שיש ,0.3783783783783784,4060000012
ref-sifra.2.2-00.11.14-ref-sifra.2.2-00.11.24,ref-sifre-d.249.5.5-ref-sifre-d.249.5.18,15390,15440,ref-sifra.2.2-00.11.14,ref-sifra.2.2-00.11.24,246398,246461,ref-sifre-d.249.5.5,ref-sifre-d.249.5.18,אם נאמר רובע למה נאמר נוגח ואם נאמר נוגח למה נאמר ,אם נאמר עד עולם למה נאמר דור עשירי ואם נאמר דור עשירי למה נאמר ,11,14,1658,1658.0,14,14.0,0.3492063492063492,0.75,41,אם נאמר ע למה נאמר ו ואם נאמר ו למה נאמר ,0.3492063492063492,4060000013
ref-sifra.2.2-00.11.14-ref-sifra.2.2-00.11.24,ref-sifre-d.269.2.6-ref-sifre-d.269.2.16,15390,15440,ref-sifra.2.2-00.11.14,ref-sifra.2.2-00.11.24,255414,255463,ref-sifre-d.269.2.6,ref-sifre-d.269.2.16,אם נאמר רובע למה נאמר נוגח ואם נאמר נוגח למה נאמר ,אם נאמר דבר למה נאמר ערוה ואם נאמר ערוה למה נאמר ,11,11,1786,1786.0,15,14.0,0.22,0.6666666666666667,41,אם נאמר ב למה נאמר ו ואם נאמר ו למה נאמר ,0.18000000000000005,4060000014
ref-sifra.2.3-00.4.5-ref-sifra.2.3-00.4.21,ref-sifre-d.71.6.53-ref-sifre-d.71.6.69,18293,18387,ref-sifra.2.3-00.4.5,ref-sifra.2.3-00.4.21,115716,115808,ref-sifre-d.71.6.53,ref-sifre-d.71.6.69,שאין קדושה חלה עליה בבעל_מום_קבוע תאמר בתמורה שקדושה חלה עליה בבעל_מום_קבוע הואיל וקדושה ,קדושתו מרחם וקדושתו חלה עליו על בעל מום קבוע תאמר בקדשים שאין קדושתם מרחם ואין קדושה חלה ,13,17,505,502.0,17,17.0,0.6067415730337079,0.6666666666666667,52,ש קדוש חלה עלי בעלמוםקבוע תאמר ב שקדוש מם ואי קדושה ,0.4157303370786517,4060000015
ref-sifra.2.3-00.4.5-ref-sifra.2.3-00.4.21,ref-sifre-d.124.3.86-ref-sifre-d.124.3.101,18293,18387,ref-sifra.2.3-00.4.5,ref-sifra.2.3-00.4.21,161029,161123,ref-sifre-d.124.3.86,ref-sifre-d.124.3.101,שאין קדושה חלה עליה בבעל_מום_קבוע תאמר בתמורה שקדושה חלה עליה בבעל_מום_קבוע הואיל וקדושה ,קדושתו מרחם וקדושתו חלה עליו בבעל מום קבוע תאמר בקדשים שאין קדושתם מרחם ואין קדושתם חלה ,13,16,1095,1092.0,18,17.0,0.5842696629213483,0.75,53,ש קדוש חלה עלי בבעלמוםקבוע תאמר ב שקדוש מם ואי קדושה ,0.4044943820224719,4060000016
ref-sifra.2.3-00.10.1-ref-sifra.2.3-00.10.11,ref-sifre-d.71.6.48-ref-sifre-d.71.6.68,19470,19533,ref-sifra.2.3-00.10.1,ref-sifra.2.3-00.10.11,115694,115804,ref-sifre-d.71.6.48,ref-sifre-d.71.6.68,לא_אם_אמרת בבכור שכן קדושתו מרחם וקדושתו חלה עליו על בעל מום קבוע תאמר בקדשים שאין קדושתם מרחם ואין קדושה,לא_אם_אמרת בבכור שכן קדושתו מרחם וקדושתו חלה עליו על בעל מום קבוע תאמר בקדשים שאין קדושתם מרחם ואין קדושה,19,19,502,502.0,19,19.0,0.0,0.0,105,לא_אם_אמרת בבכור שכן קדושתו מרחם וקדושתו חלה עליו על בעל מום קבוע תאמר בקדשים שאין קדושתם מרחם ואין קדושה,0.0,4060000017
ref-sifra.2.3-00.10.1-ref-sifra.2.3-00.10.11,ref-sifre-d.124.3.81-ref-sifre-d.124.3.100,19470,19533,ref-sifra.2.3-00.10.1,ref-sifra.2.3-00.10.11,161007,161119,ref-sifre-d.124.3.81,ref-sifre-d.124.3.100,לא_אם_אמרת בבכור שכן קדושתו מרחם וקדושתו חלה עליו בבעל מום קבוע תאמר בקדשים שאין קדושתם מרחם ואין קדושתם,לא_אם_אמרת בבכור שכן קדושתו מרחם וקדושתו חלה עליו בבעל מום קבוע תאמר בקדשים שאין קדושתם מרחם ואין קדושתם,18,18,1092,1092.0,21,21.0,0.0,0.0,104,לא_אם_אמרת בבכור שכן קדושתו מרחם וקדושתו חלה עליו בבעל מום קבוע תאמר בקדשים שאין קדושתם מרחם ואין קדושתם,0.0,4060000018
ref-sifra.2.3-04.2.4-ref-sifra.2.3-04.2.11,ref-sifre-d.357.30.43-ref-sifre-d.357.30.48,21755,21788,ref-sifra.2.3-04.2.4,ref-sifra.2.3-04.2.11,386585,386614,ref-sifre-d.357.30.43,ref-sifre-d.357.30.48,יד בנו ולא יד עבדו ולא יד שלוחו ,ביד בנו ביד עבדו ביד שלוחו ,8,6,2259,2258.0,23,23.0,0.28125,0.19999999999999996,24,יד בנו יד עבדו יד שלוחו ,0.25,4060000019
ref-sifra.2.4-00.4.41-ref-sifra.2.4-00.4.50,ref-sifre-d.36.2.56-ref-sifre-d.36.2.65,24790,24847,ref-sifra.2.4-00.4.41,ref-sifra.2.4-00.4.50,51347,51394,ref-sifre-d.36.2.56,ref-sifre-d.36.2.65,נאמר כאן כיהון' ונאמר להלן כיהון' מה כיהון האמור להלן ,נאמר כאן כתב ונאמר להלן כתב מה כתב האמור להלן ,10,10,49,49.0,28,24.0,0.25925925925925924,0.33333333333333337,40,נאמר כאן כ ונאמר להלן כ מה כ האמור להלן ,0.2592592592592593,4060000020
