baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-bible,baseOrder,grp-ref-mek,dam-lev,jac,id
ref-mek.1.1.1.190-ref-mek.1.1.1.209,ref-bible.0101.28.13.1-ref-bible.0101.28.13.12,939,1044,ref-mek.1.1.1.190,ref-mek.1.1.1.209,53294,53357,ref-bible.0101.28.13.1,ref-bible.0101.28.13.12,והנה יהוה נצב עליו ויאמר אני יהוה אלהי אברהם אביך ואלהי יצחק,והנה יהוה נצב עליו ויאמר אני יהוה אלהי אברהם אביך ואלהי יצחק,20,12,56,56.0,1,1.0,0.0,0.0,3090000001
ref-mek.1.1.1.190-ref-mek.1.1.1.199,ref-bible.0102.3.6.2-ref-bible.102.3.6.10,939,991,ref-mek.1.1.1.190,ref-mek.1.1.1.199,109149,109196,ref-bible.0102.3.6.2,ref-bible.0102.3.6.10,אנכי האל אלהי אביך אלהי אברהם אלהי יצחק ואלהי יעקב ,אנכי אלהי אביך אלהי אברהם אלהי יצחק ואלהי יעקב ,10,9,116,116.0,0,0.0,0.0784313725490196,0.0,3090000002
ref-mek.1.1.1.193-ref-mek.1.1.1.199,ref-bible.0102.3.15.13-ref-bible.102.3.15.19,954,991,ref-mek.1.1.1.193,ref-mek.1.1.1.199,110028,110067,ref-bible.0102.3.15.13,ref-bible.0102.3.15.19,אביך אלהי אברהם אלהי יצחק ואלהי יעקב ,אבתיכם אלהי אברהם אלהי יצחק ואלהי יעקב ,7,7,125,122.0,3,0.0,0.07692307692307693,0.33333333333333337,3090000003
ref-mek.1.1.1.191-ref-mek.1.1.1.204,ref-bible.0102.4.5.5-ref-bible.102.4.6.3,944,1016,ref-mek.1.1.1.191,ref-mek.1.1.1.204,111071,111138,ref-bible.0102.4.5.5,ref-bible.0102.4.6.3,האל אלהי אביך אלהי אברהם אלהי יצחק ואלהי יעקב שומע אני כל הקודם בדבר ,אליך יהוה אלהי אבתם אלהי אברהם אלהי יצחק ואלהי יעקב ויאמר יהוה לו ,14,13,127,127.0,2,0.0,0.37681159420289856,0.6666666666666667,3090000004
ref-mek.1.1.1.210-ref-mek.1.1.1.220,ref-bible.0103.26.42.1-ref-bible.103.26.42.12,1045,1102,ref-mek.1.1.1.210,ref-mek.1.1.1.220,249427,249488,ref-bible.0103.26.42.1,ref-bible.0103.26.42.12,וזכרתי את בריתי יעקב ואך בריתי יצחק ואף את בריתי אברהם ,וזכרתי את בריתי יעקוב ואף את בריתי יצחק ואף את בריתי אברהם ,11,12,711,711.0,5,5.0,0.0847457627118644,0.125,3090000005
ref-mek.1.1.1.348-ref-mek.1.1.1.356,ref-bible.0301.132.13.1-ref-bible.301.132.14.4,1775,1816,ref-mek.1.1.1.348,ref-mek.1.1.1.356,1245864,1245914,ref-bible.0301.132.13.1,ref-bible.0301.132.14.4,כי בחר ה' בציון ואומר זאת מנוחתי עדי עד ,כי בחר יהוה בציון אוה למושב לו זאת מנוחתי עדי עד ,9,11,1482,1482.0,6,6.0,0.2653061224489796,0.375,3090000006
ref-mek.1.1.1.372-ref-mek.1.1.1.381,ref-bible.0104.18.19.16-ref-bible.104.18.19.23,1896,1946,ref-mek.1.1.1.372,ref-mek.1.1.1.381,296846,296884,ref-bible.0104.18.19.16,ref-bible.0104.18.19.23,ברית מלח עולם היא לפני ה' ואומר והיתה לו ולזרעו ,ברית מלח עולם הוא לפני יהוה לך ולזרעך ,10,8,756,756.0,7,7.0,0.3125,0.6,3090000007
ref-mek.1.1.1.398-ref-mek.1.1.1.407,ref-bible.0313.13.5.1-ref-bible.313.13.5.10,2030,2078,ref-mek.1.1.1.398,ref-mek.1.1.1.407,1538263,1538312,ref-bible.0313.13.5.1,ref-bible.0313.13.5.10,הלא לכם לדעת כי אלהי ישראל נתן את הממלכה לדוד ,הלא לכם לדעת כי יהוה אלהי ישראל נתן ממלכה לדויד ,10,10,1639,1639.0,8,8.0,0.20833333333333334,0.33333333333333337,3090000008
ref-mek.1.1.1.441-ref-mek.1.1.1.445,ref-bible.0208.31.16.4-ref-bible.208.31.16.8,2244,2273,ref-mek.1.1.1.441,ref-mek.1.1.1.445,927431,927460,ref-bible.0208.31.16.4,ref-bible.0208.31.16.8,מנעי קולך מבכי ועיניך מדמעה ,מנעי קולך מבכי ועיניך מדמעה ,5,5,1220,1220.0,9,9.0,0.0,0.0,3090000009
ref-mek.1.1.1.473-ref-mek.1.1.1.479,ref-bible.0311.10.4.6-ref-bible.311.10.4.13,2418,2454,ref-mek.1.1.1.473,ref-mek.1.1.1.479,1449861,1449900,ref-bible.0311.10.4.6,ref-bible.0311.10.4.13,ואני הייתי על הנהר הגדול הוא חדקל ,ואני הייתי על יד הנהר הגדול הוא חדקל ,7,8,1608,1608.0,10,10.0,0.08108108108108109,0.1428571428571429,3090000010
ref-mek.1.1.1.531-ref-mek.1.1.1.537,ref-bible.0214.1.3.1-ref-bible.214.1.3.5,2717,2757,ref-mek.1.1.1.531,ref-mek.1.1.1.537,1110004,1110033,ref-bible.0214.1.3.1,ref-bible.0214.1.3.5,ויקם יונה לברוח תרשישה וגו' וכי מלפני ,ויקם יונה לברח תרשישה מלפני ,7,5,1341,1341.0,11,11.0,0.2631578947368421,0.2857142857142857,3090000011
ref-mek.1.1.1.544-ref-mek.1.1.1.560,ref-bible.0301.139.7.1-ref-bible.301.139.10.4,2785,2857,ref-mek.1.1.1.544,ref-mek.1.1.1.560,1249135,1249248,ref-bible.0301.139.7.1,ref-bible.0301.139.10.4,אנא אלך מרוחך וגו' אם אסק שמים שם אתה וגו' אשא כנפי שחר גם שם ידך תנחני ,אנה אלך מרוחך ואנה מפניך אברח אם אסק שמים שם אתה ואציעה שאול הנך אשא כנפי שחר אשכנה באחרית ים גם שם ידך תנחני ,17,24,1484,1484.0,12,12.0,0.4,0.38095238095238093,3090000012
ref-mek.1.1.1.567-ref-mek.1.1.1.573,ref-bible.0302.15.3.1-ref-bible.302.15.3.7,2890,2926,ref-mek.1.1.1.567,ref-mek.1.1.1.573,1271225,1271262,ref-bible.0302.15.3.1,ref-bible.0302.15.3.7,בכל מקום עיני ה' צופות רעים וטובים ,בכל מקום עיני יהוה צפות רעים וטובים ,7,7,1506,1506.0,13,13.0,0.1111111111111111,0.1428571428571429,3090000013
ref-mek.1.1.1.723-ref-mek.1.1.1.743,ref-bible.0205.19.15.4-ref-bible.205.19.16.17,3705,3807,ref-mek.1.1.1.723,ref-mek.1.1.1.743,701578,701723,ref-bible.0205.19.15.4,ref-bible.0205.19.16.17,לך שוב לדרכך מדברה דמשק וגו' ואת יהו בן נמשי תמשח למלך על ישראל ואת אלישע בן שפט תמשח לנביא תחתיך ,לך שוב לדרכך מדברה דמשק ובאת ומשחת את חזאל למלך על ארם ואת יהוא בן נמשי תמשח למלך על ישראל ואת אלישע בן שפט מאבל מחולה תמשח לנביא תחתיך ,21,29,1040,1040.0,14,14.0,0.29411764705882354,0.30434782608695654,3090000014
ref-mek.1.1.1.782-ref-mek.1.1.1.789,ref-bible.0214.1.11.10-ref-bible.214.1.12.6,4000,4047,ref-mek.1.1.1.782,ref-mek.1.1.1.789,1110841,1110893,ref-bible.0214.1.11.10,ref-bible.0214.1.12.6,בים שנאמר ויאמר אליהם שאוני הטילוני אל הים ,הים הולך וסער ויאמר אליהם שאוני והטילני אל הים ,8,9,1343,1343.0,15,15.0,0.23404255319148937,0.375,3090000015
ref-mek.1.1.1.803-ref-mek.1.1.1.813,ref-bible.0102.32.32.1-ref-bible.102.32.32.11,4118,4170,ref-mek.1.1.1.803,ref-mek.1.1.1.813,172536,172587,ref-bible.0102.32.32.1,ref-bible.0102.32.32.11,ועתה אם תשא חטאתם ואם אין מחני נא מספרך אשר כתבת א,ועתה אם תשא חטאתם ואם אין מחני נא מספרך אשר כתבת ,12,11,643,643.0,16,16.0,0.02,0.0,3090000016
ref-mek.1.1.1.814-ref-mek.1.1.1.828,ref-bible.0104.11.15.1-ref-bible.104.11.15.15,4170,4238,ref-mek.1.1.1.814,ref-mek.1.1.1.828,280110,280177,ref-bible.0104.11.15.1,ref-bible.0104.11.15.15,אם ככה את עושה לי הרגני נא הרוג אם מצאתי חן בעיניך ואל אראה ברעתי ,ואם ככה את עשה לי הרגני נא הרג אם מצאתי חן בעיניך ואל אראה ברעתי ,15,15,728,728.0,17,16.0,0.045454545454545456,0.0,3090000017
ref-mek.1.1.1.831-ref-mek.1.1.1.842,ref-bible.0204.24.17.10-ref-bible.204.24.17.22,4249,4307,ref-mek.1.1.1.831,ref-mek.1.1.1.842,643548,643613,ref-bible.0204.24.17.10,ref-bible.0204.24.17.22,אומר אנכי חטאתי ואני העויתי ואלה הצאן מה עשו תהי נא ידך ,ויאמר הנה אנכי חטאתי ואנכי העויתי ואלה הצאן מה עשו תהי נא ידך ,12,13,1018,1018.0,18,18.0,0.11290322580645161,0.0,3090000018
ref-mek.1.1.1.833-ref-mek.1.1.1.842,ref-bible.0312.21.17.13-ref-bible.312.21.17.24,4259,4307,ref-mek.1.1.1.833,ref-mek.1.1.1.842,1498151,1498209,ref-bible.0312.21.17.13,ref-bible.0312.21.17.24,חטאתי ואני העויתי ואלה הצאן מה עשו תהי נא ידך ,חטאתי והרע הרעותי ואלה הצאן מה עשו יהוה אלהי תהי נא ידך ,10,12,1624,1624.0,19,18.0,0.26785714285714285,0.4,3090000019
ref-mek.1.1.1.870-ref-mek.1.1.1.876,ref-bible.0101.24.5.1-ref-bible.101.24.5.20,4450,4491,ref-mek.1.1.1.870,ref-mek.1.1.1.876,40176,40272,ref-bible.0101.24.5.1,ref-bible.0101.24.5.20,צא ואמור אליהם והשיבני דבר שנאמר וישב ,ויאמר אליו העבד אולי לא תאבה האשה ללכת אחרי אל הארץ הזאת ההשב אשיב את בנך אל הארץ אשר יצאת ,7,20,47,47.0,25,20.0,0.7692307692307693,0.8947368421052632,3090000020
ref-mek.1.1.1.893-ref-mek.1.1.1.901,ref-bible.0101.37.13.9-ref-bible.101.37.14.2,4574,4624,ref-mek.1.1.1.893,ref-mek.1.1.1.901,74333,74375,ref-bible.0101.37.13.9,ref-bible.0101.37.14.2,"התשלח ברקים וילכו ויאמרו לך הננו שלוחי הקב""ה לא ",לכה ואשלחך אליהם ויאמר לו הנני ויאמר לו ,9,8,72,70.0,40,20.0,0.5833333333333334,0.7,3090000021
ref-mek.1.1.1.871-ref-mek.1.1.1.887,ref-bible.0101.38.25.5-ref-bible.101.38.25.14,4453,4543,ref-mek.1.1.1.871,ref-mek.1.1.1.887,77689,77734,ref-bible.0101.38.25.5,ref-bible.0101.38.25.14,ואמור אליהם והשיבני דבר שנאמר וישב משה את דברי העם אל ה' ואומר האיש לבוש הבדים אשר ,אל חמיה לאמר לאיש אשר אלה לו אנכי הרה ותאמר ,17,10,78,78.0,29,20.0,0.6867469879518072,0.7777777777777778,3090000022
ref-mek.1.1.1.870-ref-mek.1.1.1.883,ref-bible.0105.1.43.1-ref-bible.0105.1.44.3,4450,4521,ref-mek.1.1.1.870,ref-mek.1.1.1.883,340496,340576,ref-bible.0105.1.43.1,ref-bible.0105.1.44.3,ואדבר אליכם ולא שמעתם ותמרו את פי יהוה ותזדו ותעלו ההרה ויצא האמרי הישב,ואדבר אליכם ולא שמעתם ותמרו את פי יהוה ותזדו ותעלו ההרה ויצא האמרי הישב,10,14,806,806.0,26,26.0,0.0,0.0,3090000023
ref-mek.1.1.1.890-ref-mek.1.1.1.897,ref-bible.0202.4.7.15-ref-bible.202.4.9.1,4555,4604,ref-mek.1.1.1.890,ref-mek.1.1.1.897,472340,472421,ref-bible.0202.4.7.15,ref-bible.0202.4.9.1,במתניו וגו ואומר התשלח ברקים וילכו ויאמרו לך ,ונתתיהו בידך ויאמר אליה ברק אם תלכי עמי והלכתי ואם לא תלכי עמי לא אלך ותאמר ,8,16,944,944.0,37,20.0,0.6710526315789473,0.8,3090000024
ref-mek.1.1.1.866-ref-mek.1.1.1.884,ref-bible.0206.1.7.9-ref-bible.0206.1.8.12,4429,4527,ref-mek.1.1.1.866,ref-mek.1.1.1.884,713474,713569,ref-bible.0206.1.7.9,ref-bible.0206.1.8.12,וידבר אליכם את הדברים האלה ויאמרו אליו איש בעל שער ואזור עור אזור במתניו ויאמר אליה התשבי,וידבר אליכם את הדברים האלה ויאמרו אליו איש בעל שער ואזור עור אזור במתניו ויאמר אליה התשבי,19,17,1044,1044.0,24,24.0,0.0,0.0,3090000025
ref-mek.1.1.1.856-ref-mek.1.1.1.884,ref-bible.0206.2.18.2-ref-bible.0206.2.19.2,4375,4527,ref-mek.1.1.1.856,ref-mek.1.1.1.884,716367,716440,ref-bible.0206.2.18.2,ref-bible.0206.2.19.2,ישב ביריחו ויאמר אלהם הלוא אמרתי אליכם אל תלכו ויאמרו אנשי,אליו והוא ישב ביריחו ויאמר אלהם הלוא אמרתי אליכם אל תלכו ויאמרו אנשי,29,13,1047,1047.0,20,20.0,0.14705882352941177,0.0,3090000026
ref-mek.1.1.1.858-ref-mek.1.1.1.887,ref-bible.0206.22.14.20-ref-bible.0206.22.15.10,4383,4543,ref-mek.1.1.1.858,ref-mek.1.1.1.887,768330,768414,ref-bible.0206.22.14.20,ref-bible.0206.22.15.10,ישבת בירושלם במשנה וידברו אליה ותאמר אליהם כה אמר יהוה אלהי ישראל אמרו לאיש אשר,ישבת בירושלם במשנה וידברו אליה ותאמר אליהם כה אמר יהוה אלהי ישראל אמרו לאיש אשר,30,15,1067,1067.0,22,22.0,0.0,0.0,3090000027
ref-mek.1.1.1.892-ref-mek.1.1.1.899,ref-bible.0207.6.8.5-ref-bible.207.6.8.14,4567,4615,ref-mek.1.1.1.892,ref-mek.1.1.1.899,785227,785271,ref-bible.0207.6.8.5,ref-bible.0207.6.8.14,ואומר התשלח ברקים וילכו ויאמרו לך הננו שלוחי ,אמר את מי אשלח ומי ילך לנו ואמר הנני שלחני ,8,10,1079,1079.0,38,20.0,0.5555555555555556,0.6363636363636364,3090000028
ref-mek.1.1.1.884-ref-mek.1.1.1.890,ref-bible.0209.9.2.15-ref-bible.209.9.2.22,4522,4562,ref-mek.1.1.1.884,ref-mek.1.1.1.890,992811,992855,ref-bible.0209.9.2.15,ref-bible.0209.9.2.22,האיש לבוש הבדים אשר קסת הסופר במתניו ,ואיש אחד בתוכם לבש בדים וקסת הספר במתניו ,7,8,1249,1249.0,36,20.0,0.4146341463414634,0.5,3090000029
ref-mek.1.1.1.881-ref-mek.1.1.1.890,ref-bible.0209.9.3.12-ref-bible.0209.9.3.21,4509,4562,ref-mek.1.1.1.881,ref-mek.1.1.1.890,992943,992997,ref-bible.0209.9.3.12,ref-bible.0209.9.3.21,הבית ויקרא אל האיש הלבש הבדים אשר קסת הספר במתניו,הבית ויקרא אל האיש הלבש הבדים אשר קסת הספר במתניו,10,10,1250,1250.0,34,34.0,0.0,0.0,3090000030
ref-mek.1.1.1.873-ref-mek.1.1.1.892,ref-bible.0209.9.11.2-ref-bible.0209.9.11.10,4466,4573,ref-mek.1.1.1.873,ref-mek.1.1.1.892,993700,993748,ref-bible.0209.9.11.2,ref-bible.0209.9.11.10,האיש לבש הבדים אשר הקסת במתניו משיב דבר לאמר,האיש לבש הבדים אשר הקסת במתניו משיב דבר לאמר,18,9,1255,1255.0,31,31.0,0.0,0.0,3090000031
ref-mek.1.1.1.858-ref-mek.1.1.1.875,ref-bible.0220.4.13.1-ref-bible.220.4.14.1,4383,4485,ref-mek.1.1.1.858,ref-mek.1.1.1.875,1135382,1135436,ref-bible.0220.4.13.1,ref-bible.0220.4.14.1,ואמור אליהם מיד דברי ר' ישמעאל שנאמר ויצא ודבר ר' אליעזר אומר צא ואמור אליהם והשיבני דבר שנאמר ,ויאמר אלי לאמר הלוא ידעת מה אלה ואמר לא אדני ויאמר ,18,11,1356,1356.0,21,20.0,0.6210526315789474,0.9230769230769231,3090000032
ref-mek.1.1.1.893-ref-mek.1.1.1.898,ref-bible.0303.38.35.1-ref-bible.303.38.35.6,4574,4609,ref-mek.1.1.1.893,ref-mek.1.1.1.898,1329253,1329288,ref-bible.0303.38.35.1,ref-bible.0303.38.35.6,התשלח ברקים וילכו ויאמרו לך הננו ,התשלח ברקים וילכו ויאמרו לך הננו ,6,6,1538,1536.0,39,20.0,0.0,0.0,3090000033
ref-mek.1.1.1.876-ref-mek.1.1.1.887,ref-bible.0313.34.22.18-ref-bible.313.34.23.10,4486,4543,ref-mek.1.1.1.876,ref-mek.1.1.1.887,1583039,1583128,ref-bible.0313.34.22.18,ref-bible.0313.34.23.10,וישב משה את דברי העם אל ה' ואומר האיש לבוש הבדים אשר ,יושבת בירושלם במשנה וידברו אליה כזאת ותאמר להם כה אמר יהוה אלהי ישראל אמרו לאיש אשר ,12,16,1653,1653.0,33,20.0,0.6309523809523809,0.7222222222222222,3090000034
ref-mek.1.1.1.918-ref-mek.1.1.1.929,ref-bible.0202.4.8.3-ref-bible.202.4.9.2,4713,4782,ref-mek.1.1.1.918,ref-mek.1.1.1.929,472367,472425,ref-bible.0202.4.8.3,ref-bible.0202.4.9.2,ברקים וילכו וישובו לא נאמר אלא וילכו ויאמרו בכל מקום שהן מהלכין ,ברק אם תלכי עמי והלכתי ואם לא תלכי עמי לא אלך ותאמר הלך ,12,13,945,944.0,43,41.0,0.625,0.8461538461538461,3090000035
ref-mek.1.1.1.912-ref-mek.1.1.1.928,ref-bible.0303.38.34.5-ref-bible.0303.38.35.6,4684,4775,ref-mek.1.1.1.912,ref-mek.1.1.1.928,1329244,1329288,ref-bible.0303.38.34.5,ref-bible.0303.38.35.6,מים תכסך התשלח ברקים וילכו ויאמרו לך הננו,מים תכסך התשלח ברקים וילכו ויאמרו לך הננו,14,7,1536,1536.0,41,41.0,0.0,0.0,3090000036
ref-mek.1.1.1.962-ref-mek.1.1.1.968,ref-bible.0209.9.2.1-ref-bible.209.9.2.7,4965,5003,ref-mek.1.1.1.962,ref-mek.1.1.1.968,992736,992774,ref-bible.0209.9.2.1,ref-bible.0209.9.2.7,והנה ששה אנשים באים מדרך שער העליון ,והנה ששה אנשים באים מדרך שער העליון ,7,7,1248,1248.0,44,44.0,0.0,0.0,3090000037
ref-mek.1.1.1.976-ref-mek.1.1.1.986,ref-bible.0209.9.4.21-ref-bible.0209.9.5.5,5045,5104,ref-mek.1.1.1.976,ref-mek.1.1.1.986,993116,993150,ref-bible.0209.9.4.21,ref-bible.0209.9.5.5,בתוכה ולאלה אמר באזני עברו בעיר,בתוכה ולאלה אמר באזני עברו בעיר,11,6,1252,1252.0,45,45.0,0.0,0.0,3090000038
ref-mek.1.1.1.988-ref-mek.1.1.1.992,ref-bible.0209.9.6.1-ref-bible.209.9.6.5,5112,5142,ref-mek.1.1.1.988,ref-mek.1.1.1.992,993197,993225,ref-bible.0209.9.6.1,ref-bible.0209.9.6.5,זקן ובחור ובתולה וטף ונשים ,זקן בחור ובתולה וטף ונשים ,5,5,1254,1254.0,47,47.0,0.037037037037037035,0.33333333333333337,3090000039
ref-mek.1.1.1.1027-ref-mek.1.1.1.1047,ref-bible.0204.20.17.7-ref-bible.204.20.18.2,5336,5437,ref-mek.1.1.1.1027,ref-mek.1.1.1.1047,634576,634638,ref-bible.0204.20.17.7,ref-bible.0204.20.18.2,שמעון בן עזאי אומר לאמר בקול שאתה שומע בו בו למד ר' עקיבא אומר לאמר צא ואמור להם שבזכותם היה מדבר ,ויאמר אני ותאמר לו שמע דברי אמתך ויאמר שמע אנכי ותאמר לאמר ,21,12,1007,1006.0,48,48.0,0.673469387755102,0.7647058823529411,3090000040
ref-mek.1.1.1.1061-ref-mek.1.1.1.1067,ref-bible.0105.2.16.1-ref-bible.105.2.16.7,5498,5533,ref-mek.1.1.1.1061,ref-mek.1.1.1.1067,341863,341898,ref-bible.0105.2.16.1,ref-bible.0105.2.16.7,ויהי כאשר תמו כל אנשי המלחמה למות ,ויהי כאשר תמו כל אנשי המלחמה למות ,7,7,809,809.0,49,49.0,0.0,0.0,3090000041
ref-mek.1.1.1.1104-ref-mek.1.1.1.1114,ref-bible.0209.3.15.15-ref-bible.0209.3.16.5,5706,5769,ref-mek.1.1.1.1104,ref-mek.1.1.1.1114,983988,984047,ref-bible.0209.3.15.15,ref-bible.0209.3.16.5,ואשב שם שבעת ימים משמים בתוכם ויהי מקצה שבעת ימים ויהי,ואשב שם שבעת ימים משמים בתוכם ויהי מקצה שבעת ימים ויהי,10,10,1241,1241.0,50,50.0,0.0,0.0,3090000042
ref-mek.1.1.1.1134-ref-mek.1.1.1.1142,ref-bible.0208.45.3.1-ref-bible.208.45.3.9,5863,5895,ref-mek.1.1.1.1134,ref-mek.1.1.1.1142,959845,959879,ref-bible.0208.45.3.1,ref-bible.0208.45.3.9,אמרת אוי נא לי כי יסף ה' יגון על ,אמרת אוי נא לי כי יסף יהוה יגון על ,9,9,1235,1235.0,52,52.0,0.08571428571428572,0.19999999999999996,3090000043
ref-mek.1.1.1.1178-ref-mek.1.1.1.1188,ref-bible.0206.2.15.7-ref-bible.206.2.15.12,6101,6156,ref-mek.1.1.1.1178,ref-mek.1.1.1.1188,716065,716095,ref-bible.0206.2.15.7,ref-bible.0206.2.15.12,שנאמר ותנח עליהם הרוח נחה רוח ה' על אליהו ועל אלישע ,ויאמרו נחה רוח אליהו על אלישע ,11,6,1046,1046.0,53,53.0,0.46153846153846156,0.5,3090000044
ref-mek.1.1.1.1198-ref-mek.1.1.1.1215,ref-bible.0208.45.4.1-ref-bible.208.45.5.5,6200,6282,ref-mek.1.1.1.1198,ref-mek.1.1.1.1215,959918,960027,ref-bible.0208.45.4.1,ref-bible.0208.45.5.5,כה תאמר אליו כה אמר ה' הנה אשר בנית אני הורס ואתה תבקש לך גדולות ואין גדולות אלא ,כה תאמר אליו כה אמר יהוה הנה אשר בניתי אני הרס ואת אשר נטעתי אני נתש ואת כל הארץ היא ואתה תבקש לך גדלות אל ,18,25,1236,1236.0,54,54.0,0.4205607476635514,0.2666666666666667,3090000045
ref-mek.1.1.1.1217-ref-mek.1.1.1.1223,ref-bible.0206.8.4.8-ref-bible.206.8.4.14,6289,6321,ref-mek.1.1.1.1217,ref-mek.1.1.1.1223,730690,730719,ref-bible.0206.8.4.8,ref-bible.0206.8.4.14,שנאמר ספרה נא לי את כל הגדולות ,לאמר ספרה נא לי את כל הגדלות ,7,7,1057,1057.0,55,55.0,0.0967741935483871,0.33333333333333337,3090000046
ref-mek.1.1.1.1225-ref-mek.1.1.1.1233,ref-bible.0208.33.3.1-ref-bible.208.33.3.9,6327,6379,ref-mek.1.1.1.1225,ref-mek.1.1.1.1233,933545,933593,ref-bible.0208.33.3.1,ref-bible.0208.33.3.9,קרא אלי ואענך ואגידה לך גדולות ובצורו' ולא ידעתם ,קרא אלי ואענך ואגידה לך גדלות ובצרות לא ידעתם ,9,9,1226,1226.0,56,56.0,0.08163265306122448,0.2222222222222222,3090000047
ref-mek.1.1.1.1256-ref-mek.1.1.1.1263,ref-bible.0208.45.5.16-ref-bible.208.45.5.26,6468,6505,ref-mek.1.1.1.1256,ref-mek.1.1.1.1263,960069,960116,ref-bible.0208.45.5.16,ref-bible.0208.45.5.26,ונתתי נפשך לשלל אל המקום אשר תלך שם ,ונתתי לך את נפשך לשלל על כל המקמות אשר תלך שם ,8,11,1237,1237.0,57,57.0,0.2608695652173913,0.2727272727272727,3090000048
ref-mek.1.2.1.49-ref-mek.1.2.1.67,ref-bible.0209.12.28.8-ref-bible.209.12.28.16,6826,6918,ref-mek.1.2.1.49,ref-mek.1.2.1.67,999359,999398,ref-bible.0209.12.28.8,ref-bible.0209.12.28.16,"משה שנאמר וזה הדבר אשר תעשה את המזבח ר""ש בן יוחאי אומר והלא כל הדברות שנדבר עם משה לא ",לא תמשך עוד כל דברי אשר אדבר דבר ויעשה ,19,9,1258,1258.0,58,58.0,0.6976744186046512,0.8333333333333334,3090000049
ref-mek.1.2.1.110-ref-mek.1.2.1.115,ref-bible.0102.23.16.8-ref-bible.102.23.16.12,7140,7173,ref-mek.1.2.1.110,ref-mek.1.2.1.115,151058,151086,ref-bible.0102.23.16.8,ref-bible.0102.23.16.12,חג האסיף בצאת השנה וחג האסיף ,וחג האסף בצאת השנה באספך ,6,5,604,604.0,59,59.0,0.3103448275862069,0.19999999999999996,3090000050
ref-mek.1.2.1.168-ref-mek.1.2.1.173,ref-bible.0205.6.1.16-ref-bible.205.6.1.21,7442,7477,ref-mek.1.2.1.168,ref-mek.1.2.1.173,658816,658851,ref-bible.0205.6.1.16,ref-bible.0205.6.1.21,הוא החדש השני למלוך שלמה על ישראל ,הוא החדש השני למלך שלמה על ישראל ,7,7,1023,1023.0,60,60.0,0.029411764705882353,0.0,3090000051
ref-mek.1.2.1.210-ref-mek.1.2.1.216,ref-bible.0105.31.10.4-ref-bible.105.31.10.10,7691,7729,ref-mek.1.2.1.210,ref-mek.1.2.1.216,403079,403114,ref-bible.0105.31.10.4,ref-bible.0105.31.10.10,שנאמר מקץ שבע שנים במועד שנת השמטה ,לאמר מקץ שבע שנים במעד שנת השמטה ,7,7,909,909.0,61,61.0,0.08571428571428572,0.25,3090000052
ref-mek.1.2.1.246-ref-mek.1.2.1.264,ref-bible.0204.23.16.21-ref-bible.204.23.17.11,7887,7978,ref-mek.1.2.1.246,ref-mek.1.2.1.264,640857,640933,ref-bible.0204.23.16.21,ref-bible.0204.23.17.11,אתה אומר לכם ולא מנה בו אדם הראשון או אינו אלא לכם ולא לגוים אמור כשהוא אומר ראשון הוא ,אתם ליהוה ויאמר חלילה לי יהוה מעשתי זאת הדם האנשים ההלכים בנפשותם ולא ,19,13,1017,1017.0,62,62.0,0.7126436781609196,0.8125,3090000053
ref-mek.1.2.1.341-ref-mek.1.2.1.348,ref-bible.0208.10.2.5-ref-bible.208.10.2.12,8412,8456,ref-mek.1.2.1.341,ref-mek.1.2.1.348,885649,885691,ref-bible.0208.10.2.5,ref-bible.0208.10.2.12,דרך הגוים אל תלמודו ומאותות השמים אל תחתו ,דרך הגוים אל תלמדו ומאתות השמים אל תחתו ,8,8,1194,1194.0,63,63.0,0.047619047619047616,0.0,3090000054
ref-mek.1.2.2.284-ref-mek.1.4.1.1,ref-bible.0201.9.21.10-ref-bible.201.9.22.5,9838,9876,ref-mek.1.2.2.284,ref-mek.1.4.1.1,429898,429960,ref-bible.0201.9.21.10,ref-bible.0201.9.22.5,לכם דברו אל כל עדת בני ישראל וגו' דברו ,לכל העדה כאשר דברו להם הנשיאים ויקרא להם יהושע וידבר אליהם ,9,11,930,930.0,64,64.0,0.6271186440677966,0.9333333333333333,3090000055
ref-mek.1.4.1.26-ref-mek.1.4.1.36,ref-bible.0203.25.24.12-ref-bible.203.25.25.3,9994,10052,ref-mek.1.4.1.26,ref-mek.1.4.1.36,574307,574344,ref-bible.0203.25.24.12,ref-bible.0203.25.25.3,דברו אלא כשהיה משה מדבר היה אהרן מרכין אזנו לשמוע באימה ,באזניך ושמע את דברי אמתך אל נא ישים ,11,8,983,983.0,65,65.0,0.6785714285714286,0.6363636363636364,3090000056
ref-mek.1.4.2.94-ref-mek.1.4.2.110,ref-bible.0102.12.3.12-ref-bible.102.12.4.3,11694,11776,ref-mek.1.4.2.94,ref-mek.1.4.2.110,127302,127344,ref-bible.0102.12.3.12,ref-bible.0102.12.4.3,איש שה לבית אבות בכלל שה גדי וטלה שנאמר שה כשבים ושה עזים לבית אבות אין לבית ,איש שה לבית אבת שה לבית ואם ימעט הבית ,17,9,158,158.0,66,66.0,0.5844155844155844,0.8181818181818181,3090000057
