baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-bible,baseOrder,grp-ref-mek,dam-lev,jac,id
ref-mek.5.1.2.295-ref-mek.5.1.2.302,ref-bible.0102.25.33.3-ref-bible.0102.25.34.4,207375,207430,ref-mek.5.1.2.295,ref-mek.5.1.2.302,155401,155536,ref-bible.0102.25.33.3,ref-bible.0102.25.34.4,משקדים בקנה האחד כפתר ופרח ושלשה גבעים משקדים בקנה האחד כפתר ופרח כן לששת הקנים היצאים מן המנרה ובמנרה ארבעה גבעים משקדים בקנה האחד כפתר ופרח כן לששת הקנים היצאים מן המנרה ובמנרה ארבעה גבעים משקדים,משקדים בקנה האחד כפתר ופרח ושלשה גבעים משקדים בקנה האחד כפתר ופרח כן לששת הקנים היצאים מן המנרה ובמנרה ארבעה גבעים משקדים בקנה האחד כפתר ופרח כן לששת הקנים היצאים מן המנרה ובמנרה ארבעה גבעים משקדים,8,22,621,621.0,943,943.0,0.0,0.0,3090000816
ref-mek.5.1.2.295-ref-mek.5.1.2.302,ref-bible.0102.37.19.3-ref-bible.0102.37.20.4,207375,207430,ref-mek.5.1.2.295,ref-mek.5.1.2.302,183451,183584,ref-bible.0102.37.19.3,ref-bible.0102.37.20.4,משקדים בקנה האחד כפתר ופרח ושלשה גבעים משקדים בקנה אחד כפתר ופרח כן לששת הקנים היצאים מן המנרה ובמנרה ארבעה גבעים משקדים בקנה אחד כפתר ופרח כן לששת הקנים היצאים מן המנרה ובמנרה ארבעה גבעים משקדים,משקדים בקנה האחד כפתר ופרח ושלשה גבעים משקדים בקנה אחד כפתר ופרח כן לששת הקנים היצאים מן המנרה ובמנרה ארבעה גבעים משקדים בקנה אחד כפתר ופרח כן לששת הקנים היצאים מן המנרה ובמנרה ארבעה גבעים משקדים,8,22,662,662.0,945,945.0,0.0,0.0,3090000817
ref-mek.5.1.2.303-ref-mek.5.1.2.312,ref-bible.0105.31.16.5-ref-bible.0105.31.16.12,207431,207477,ref-mek.5.1.2.303,ref-mek.5.1.2.312,403672,403709,ref-bible.0105.31.16.5,ref-bible.0105.31.16.12,הנך שכב עם אבתיך וקם העם הזה וזנה,הנך שכב עם אבתיך וקם העם הזה וזנה,9,8,911,911.0,947,947.0,0.0,0.0,3090000818
ref-mek.5.1.3.30-ref-mek.5.1.4.8,ref-bible.0102.17.10.14-ref-bible.102.17.12.1,207674,207729,ref-mek.5.1.3.30,ref-mek.5.1.4.8,140434,140509,ref-bible.0102.17.10.14,ref-bible.0102.17.12.1,ומגבעות אשורנו והיה כאשר ירים משה ידו וגבר וכי ידיו ,הגבעה והיה כאשר ירים משה ידו וגבר ישראל וכאשר יניח ידו וגבר עמלק וידי ,10,14,360,357.0,950,949.0,0.5571428571428572,0.6153846153846154,3090000819
ref-mek.5.1.3.26-ref-mek.5.1.4.4,ref-bible.0104.23.9.1-ref-bible.104.23.9.10,207654,207709,ref-mek.5.1.3.26,ref-mek.5.1.4.4,307965,308016,ref-bible.0104.23.9.1,ref-bible.0104.23.9.10,כי מראש צורים אראנו ומגבעות אשורנו והיה כאשר ירים משה ,כי מראש צרים אראנו ומגבעות אשורנו הן עם לבדד ישכן ,10,10,767,767.0,949,949.0,0.2777777777777778,0.5833333333333333,3090000820
ref-mek.5.1.5.50-ref-mek.5.1.5.67,ref-bible.0102.17.12.7-ref-bible.102.17.12.23,208696,208790,ref-mek.5.1.5.50,ref-mek.5.1.5.67,140539,140628,ref-bible.0102.17.12.7,ref-bible.0102.17.12.23,תחתיו אלא אמר משה וכו' אהרן וחור תמכו בידיו שהיה מעלן ומורידן ויהי ידיו אמונה עד בא השמש ,תחתיו וישב עליה ואהרן וחור תמכו בידיו מזה אחד ומזה אחד ויהי ידיו אמונה עד בא השמש ,18,17,363,361.0,951,951.0,0.30337078651685395,0.5789473684210527,3090000821
ref-mek.5.1.5.99-ref-mek.5.1.5.123,ref-bible.0102.17.12.4-ref-bible.0102.17.12.18,208939,209069,ref-mek.5.1.5.99,ref-mek.5.1.5.123,140520,140605,ref-bible.0102.17.12.4,ref-bible.0102.17.12.18,ויקחו אבן וישימו תחתיו וישב עליה ואהרן וחור תמכו בידיו מזה אחד ומזה אחד ויהי,ויקחו אבן וישימו תחתיו וישב עליה ואהרן וחור תמכו בידיו מזה אחד ומזה אחד ויהי,25,15,361,361.0,952,952.0,0.0,0.0,3090000822
ref-mek.5.1.6.83-ref-mek.5.1.6.93,ref-bible.0209.35.6.7-ref-bible.209.35.6.17,209959,210006,ref-mek.5.1.6.83,ref-mek.5.1.6.93,1047792,1047840,ref-bible.0209.35.6.7,ref-bible.0209.35.6.17,כי לדם אעשך ודם יראת אם לא דם שנאת ודם ירדפך ,כי לדם אעשך ודם ירדפך אם לא דם שנאת ודם ירדפך ,11,11,1301,1301.0,954,954.0,0.06521739130434782,0.16666666666666663,3090000823
ref-mek.5.2.1.5-ref-mek.5.2.1.11,ref-bible.0102.17.14.5-ref-bible.102.17.14.11,210024,210063,ref-mek.5.2.1.5,ref-mek.5.2.1.11,140686,140724,ref-bible.0102.17.14.5,ref-bible.0102.17.14.11,כתוב זאת זכרון בספר ושים באזני יהושע ,כתב זאת זכרון בספר ושים באזני יהושע ,7,7,364,364.0,955,955.0,0.02702702702702703,0.0,3090000824
ref-mek.5.2.1.58-ref-mek.5.2.1.68,ref-bible.0102.15.4.2-ref-bible.102.15.4.10,210307,210367,ref-mek.5.2.1.58,ref-mek.5.2.1.68,135352,135399,ref-bible.0102.15.4.2,ref-bible.0102.15.4.10,טבעו הקדוש ברוך הוא בים סוף שנאמר וניער פרעה וחילו בים ,פרעה וחילו ירה בים ומבחר שלשיו טבעו בים סוף ,11,9,280,277.0,956,956.0,0.6545454545454545,0.6363636363636364,3090000825
ref-mek.5.2.1.96-ref-mek.5.2.1.116,ref-bible.0102.17.14.5-ref-bible.0102.17.14.11,210504,210619,ref-mek.5.2.1.96,ref-mek.5.2.1.116,140686,140724,ref-bible.0102.17.14.5,ref-bible.0102.17.14.11,כתב זאת זכרון בספר ושים באזני יהושע,כתב זאת זכרון בספר ושים באזני יהושע,21,7,365,365.0,957,957.0,0.0,0.0,3090000826
ref-mek.5.2.1.211-ref-mek.5.2.1.217,ref-bible.0105.3.12.16-ref-bible.0105.3.13.10,211087,211131,ref-mek.5.2.1.211,ref-mek.5.2.1.217,344395,344471,ref-bible.0105.3.12.16,ref-bible.0105.3.13.10,נתתי לראובני ולגדי ויתר הגלעד וכל הבשן ממלכת עוג נתתי לחצי שבט המנשה,נתתי לראובני ולגדי ויתר הגלעד וכל הבשן ממלכת עוג נתתי לחצי שבט המנשה,7,13,811,811.0,959,959.0,0.0,0.0,3090000827
ref-mek.5.2.1.212-ref-mek.5.2.1.217,ref-bible.0105.29.7.4-ref-bible.105.29.7.10,211093,211131,ref-mek.5.2.1.212,ref-mek.5.2.1.217,398728,398775,ref-bible.0105.29.7.4,ref-bible.0105.29.7.10,ונתנה לראובני ולגדי ולחצי שבט מנשה ,ונתנה לנחלה לראובני ולגדי ולחצי שבט המנשי ,6,7,901,901.0,961,959.0,0.19047619047619047,0.375,3090000828
ref-mek.5.2.1.212-ref-mek.5.2.1.217,ref-bible.0201.1.11.27-ref-bible.201.1.12.5,211093,211131,ref-mek.5.2.1.212,ref-mek.5.2.1.217,411800,411849,ref-bible.0201.1.11.27,ref-bible.0201.1.12.5,ונתנה לראובני ולגדי ולחצי שבט מנשה ,נתן לכם לרשתה ולראובני ולגדי ולחצי שבט המנשה ,6,8,919,919.0,962,959.0,0.28888888888888886,0.7272727272727273,3090000829
ref-mek.5.2.1.212-ref-mek.5.2.1.217,ref-bible.0201.12.6.7-ref-bible.201.12.6.16,211093,211131,ref-mek.5.2.1.212,ref-mek.5.2.1.217,437058,437116,ref-bible.0201.12.6.7,ref-bible.0201.12.6.16,ונתנה לראובני ולגדי ולחצי שבט מנשה ,ויתנה משה עבד יהוה ירשה לראובני ולגדי ולחצי שבט המנשה ,6,10,932,932.0,963,959.0,0.37037037037037035,0.6363636363636364,3090000830
ref-mek.5.2.1.213-ref-mek.5.2.1.217,ref-bible.0312.5.26.16-ref-bible.312.5.26.20,211100,211131,ref-mek.5.2.1.213,ref-mek.5.2.1.217,1466405,1466436,ref-bible.0312.5.26.16,ref-bible.0312.5.26.20,לראובני ולגדי ולחצי שבט מנשה ,לראובני ולגדי ולחצי שבט מנשה ,5,5,1621,1621.0,964,959.0,0.0,0.0,3090000831
