baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-bible,baseOrder,grp-ref-b,dam-lev,jac,id
ref-b.2.5.4.45b.10.3-ref-b.2.5.4.45b.10.10,ref-bible.0103.16.12.1-ref-bible.103.16.12.8,1814142,1814184,ref-b.2.5.4.45b.10.3,ref-b.2.5.4.45b.10.10,225626,225668,ref-bible.0103.16.12.1,ref-bible.0103.16.12.8,ולקח מלא המחתה גחלי אש מעל המזבח מלפני ,ולקח מלא המחתה גחלי אש מעל המזבח מלפני ,8,8,1817,1816.0,1702,1702.0,0.0,0.0,8090001477
ref-b.2.5.5.47a.15.11-ref-b.2.5.5.47a.15.15,ref-bible.0103.16.12.10-ref-bible.103.16.12.14,1818181,1818205,ref-b.2.5.5.47a.15.11,ref-b.2.5.5.47a.15.15,225674,225699,ref-bible.0103.16.12.10,ref-bible.0103.16.12.14,מלא חפניו קטורת סמים דקה ,ומלא חפניו קטרת סמים דקה ,5,5,1819,1819.0,1703,1703.0,0.08,0.33333333333333337,8090001478
ref-b.2.5.5.49a.2.25-ref-b.2.5.5.49a.2.31,ref-bible.0313.35.11.1-ref-bible.313.35.11.7,1821677,1821728,ref-b.2.5.5.49a.2.25,ref-b.2.5.5.49a.2.31,1585237,1585288,ref-bible.0313.35.11.1,ref-bible.0313.35.11.7,וישחטו הפסח ויזרקו הכהנים מידם והלוים מפשיטים ,וישחטו הפסח ויזרקו הכהנים מידם והלוים מפשיטים ,7,7,9029,9029.0,1704,1704.0,0.0,0.0,8090001479
ref-b.2.5.5.52a.4.35-ref-b.2.5.5.52a.4.42,ref-bible.0101.6.15.7-ref-bible.101.6.15.15,1830040,1830083,ref-b.2.5.5.52a.4.35,ref-b.2.5.5.52a.4.42,10213,10259,ref-bible.0101.6.15.7,ref-bible.0101.6.15.15,אמה אורך ועשרים אמה רוחב ועשרים אמה קומתו ,אמה ארך התבה חמשים אמה רחבה ושלשים אמה קומתה ,8,9,78,72.0,1737,1705.0,0.3333333333333333,0.5,8090001480
ref-b.2.5.5.52a.4.35-ref-b.2.5.5.52a.4.42,ref-bible.0102.25.10.5-ref-bible.102.25.10.13,1830040,1830083,ref-b.2.5.5.52a.4.35,ref-b.2.5.5.52a.4.42,153933,153983,ref-bible.0102.25.10.5,ref-bible.0102.25.10.13,אמה אורך ועשרים אמה רוחב ועשרים אמה קומתו ,אמתים וחצי ארכו ואמה וחצי רחבו ואמה וחצי קמתו ,8,9,977,973.0,1738,1705.0,0.6086956521739131,0.4285714285714286,8090001481
ref-b.2.5.5.52a.4.16-ref-b.2.5.5.52a.4.22,ref-bible.0102.25.23.5-ref-bible.102.25.23.11,1829925,1829964,ref-b.2.5.5.52a.4.16,ref-b.2.5.5.52a.4.22,154805,154843,ref-bible.0102.25.23.5,ref-bible.0102.25.23.11,אמה ארכו ועשרים רחבו ושלשים אמה קומתו ,אמתים ארכו ואמה רחבו ואמה וחצי קמתו ,7,7,990,990.0,1710,1710.0,0.47368421052631576,0.5,8090001482
ref-b.2.5.5.52a.4.35-ref-b.2.5.5.52a.4.42,ref-bible.0102.25.23.5-ref-bible.102.25.23.11,1830040,1830083,ref-b.2.5.5.52a.4.35,ref-b.2.5.5.52a.4.42,154805,154843,ref-bible.0102.25.23.5,ref-bible.0102.25.23.11,אמה אורך ועשרים אמה רוחב ועשרים אמה קומתו ,אמתים ארכו ואמה רחבו ואמה וחצי קמתו ,8,7,991,990.0,1739,1739.0,0.5714285714285714,0.4285714285714286,8090001483
ref-b.2.5.5.52a.4.16-ref-b.2.5.5.52a.4.22,ref-bible.0102.27.1.7-ref-bible.102.27.1.17,1829925,1829964,ref-b.2.5.5.52a.4.16,ref-b.2.5.5.52a.4.22,158572,158628,ref-bible.0102.27.1.7,ref-bible.0102.27.1.17,אמה ארכו ועשרים רחבו ושלשים אמה קומתו ,אמות ארך וחמש אמות רחב רבוע יהיה המזבח ושלש אמות קמתו ,7,11,1036,1031.0,1711,1705.0,0.5740740740740741,0.4444444444444444,8090001484
ref-b.2.5.5.52a.4.16-ref-b.2.5.5.52a.4.25,ref-bible.0102.30.2.1-ref-bible.0102.30.2.8,1829925,1829986,ref-b.2.5.5.52a.4.16,ref-b.2.5.5.52a.4.25,166499,166541,ref-bible.0102.30.2.1,ref-bible.0102.30.2.8,אמה ארכו ואמה רחבו רבוע יהיה ואמתים קמתו,אמה ארכו ואמה רחבו רבוע יהיה ואמתים קמתו,9,8,1106,1106.0,1718,1718.0,0.0,0.0,8090001485
ref-b.2.5.5.52a.4.35-ref-b.2.5.5.52a.4.42,ref-bible.0102.30.2.1-ref-bible.102.30.2.8,1830040,1830083,ref-b.2.5.5.52a.4.35,ref-b.2.5.5.52a.4.42,166499,166541,ref-bible.0102.30.2.1,ref-bible.0102.30.2.8,אמה אורך ועשרים אמה רוחב ועשרים אמה קומתו ,אמה ארכו ואמה רחבו רבוע יהיה ואמתים קמתו ,8,8,1108,1106.0,1740,1740.0,0.5238095238095238,0.4285714285714286,8090001486
ref-b.2.5.5.52a.4.35-ref-b.2.5.5.52a.4.42,ref-bible.0102.37.1.7-ref-bible.102.37.1.15,1830040,1830083,ref-b.2.5.5.52a.4.35,ref-b.2.5.5.52a.4.42,182278,182328,ref-bible.0102.37.1.7,ref-bible.0102.37.1.15,אמה אורך ועשרים אמה רוחב ועשרים אמה קומתו ,אמתים וחצי ארכו ואמה וחצי רחבו ואמה וחצי קמתו ,8,9,1251,1249.0,1741,1705.0,0.6086956521739131,0.4285714285714286,8090001487
ref-b.2.5.5.52a.4.16-ref-b.2.5.5.52a.4.22,ref-bible.0102.37.10.6-ref-bible.102.37.10.12,1829925,1829964,ref-b.2.5.5.52a.4.16,ref-b.2.5.5.52a.4.22,182875,182913,ref-bible.0102.37.10.6,ref-bible.0102.37.10.12,אמה ארכו ועשרים רחבו ושלשים אמה קומתו ,אמתים ארכו ואמה רחבו ואמה וחצי קמתו ,7,7,1260,1260.0,1712,1712.0,0.47368421052631576,0.5,8090001488
ref-b.2.5.5.52a.4.35-ref-b.2.5.5.52a.4.42,ref-bible.0102.37.10.6-ref-bible.102.37.10.12,1830040,1830083,ref-b.2.5.5.52a.4.35,ref-b.2.5.5.52a.4.42,182875,182913,ref-bible.0102.37.10.6,ref-bible.0102.37.10.12,אמה אורך ועשרים אמה רוחב ועשרים אמה קומתו ,אמתים ארכו ואמה רחבו ואמה וחצי קמתו ,8,7,1261,1260.0,1742,1742.0,0.5714285714285714,0.4285714285714286,8090001489
ref-b.2.5.5.52a.4.16-ref-b.2.5.5.52a.4.26,ref-bible.0102.37.25.7-ref-bible.102.37.25.15,1829925,1829990,ref-b.2.5.5.52a.4.16,ref-b.2.5.5.52a.4.26,183862,183908,ref-bible.0102.37.25.7,ref-bible.0102.37.25.15,אמה ארכו ועשרים רחבו ושלשים אמה קומתו וכתיב וארבעים באמה היה ,אמה ארכו ואמה רחבו רבוע ואמתים קמתו ממנו היו ,11,9,1284,1278.0,1722,1722.0,0.5573770491803278,0.5,8090001490
ref-b.2.5.5.52a.4.35-ref-b.2.5.5.52a.4.42,ref-bible.0102.37.25.7-ref-bible.102.37.25.13,1830040,1830083,ref-b.2.5.5.52a.4.35,ref-b.2.5.5.52a.4.42,183862,183899,ref-bible.0102.37.25.7,ref-bible.0102.37.25.13,אמה אורך ועשרים אמה רוחב ועשרים אמה קומתו ,אמה ארכו ואמה רחבו רבוע ואמתים קמתו ,8,7,1278,1278.0,1743,1743.0,0.5,0.4285714285714286,8090001491
ref-b.2.5.5.52a.4.16-ref-b.2.5.5.52a.4.24,ref-bible.0102.38.1.8-ref-bible.0102.38.1.16,1829925,1829980,ref-b.2.5.5.52a.4.16,ref-b.2.5.5.52a.4.24,184203,184249,ref-bible.0102.38.1.8,ref-bible.0102.38.1.16,אמות ארכו וחמש אמות רחבו רבוע ושלש אמות קמתו,אמות ארכו וחמש אמות רחבו רבוע ושלש אמות קמתו,7,9,1290,1290.0,1713,1713.0,0.0,0.0,8090001492
ref-b.2.5.5.52a.4.35-ref-b.2.5.5.52a.4.42,ref-bible.0102.38.1.8-ref-bible.102.38.1.16,1830040,1830083,ref-b.2.5.5.52a.4.35,ref-b.2.5.5.52a.4.42,184203,184249,ref-bible.0102.38.1.8,ref-bible.0102.38.1.16,אמה אורך ועשרים אמה רוחב ועשרים אמה קומתו ,אמות ארכו וחמש אמות רחבו רבוע ושלש אמות קמתו ,8,9,1292,1290.0,1744,1744.0,0.5333333333333333,0.5,8090001493
ref-b.2.5.5.52a.4.16-ref-b.2.5.5.52a.4.22,ref-bible.0102.38.18.12-ref-bible.0102.38.18.18,1829925,1829964,ref-b.2.5.5.52a.4.16,ref-b.2.5.5.52a.4.22,185321,185358,ref-bible.0102.38.18.12,ref-bible.0102.38.18.18,ועשרים אמה ארך וקומה ברחב חמש אמות,ועשרים אמה ארך וקומה ברחב חמש אמות,7,7,1305,1302.0,1714,1714.0,0.0,0.0,8090001494
ref-b.2.5.5.52a.4.9-ref-b.2.5.5.52a.4.22,ref-bible.0205.6.1.24-ref-bible.205.6.2.14,1829890,1829964,ref-b.2.5.5.52a.4.9,ref-b.2.5.5.52a.4.22,658858,658948,ref-bible.0205.6.1.24,ref-bible.0205.6.2.14,והבית אשר בנה המלך שלמה לה' ששים אמה ארכו ועשרים רחבו ושלשים אמה קומתו ,הבית ליהוה והבית אשר בנה המלך שלמה ליהוה ששים אמה ארכו ועשרים רחבו ושלשים אמה קומתו ,14,16,4437,4437.0,1705,1705.0,0.16666666666666666,0.07692307692307687,8090001495
ref-b.2.5.5.52a.4.34-ref-b.2.5.5.52a.4.42,ref-bible.0205.6.2.8-ref-bible.0205.6.3.14,1830034,1830083,ref-b.2.5.5.52a.4.34,ref-b.2.5.5.52a.4.42,658909,659016,ref-bible.0205.6.2.8,ref-bible.0205.6.3.14,אמה ארכו ועשרים רחבו ושלשים אמה קומתו והאולם על פני היכל הבית עשרים אמה ארכו על פני רחב הבית עשר באמה,אמה ארכו ועשרים רחבו ושלשים אמה קומתו והאולם על פני היכל הבית עשרים אמה ארכו על פני רחב הבית עשר באמה,9,20,4442,4442.0,1731,1731.0,0.0,0.0,8090001496
ref-b.2.5.5.52a.4.24-ref-b.2.5.5.52a.4.30,ref-bible.0205.6.17.1-ref-bible.205.6.17.7,1829972,1830012,ref-b.2.5.5.52a.4.24,ref-b.2.5.5.52a.4.30,660053,660093,ref-bible.0205.6.17.1,ref-bible.0205.6.17.7,וארבעים באמה היה הבית הוא ההיכל לפני ,וארבעים באמה היה הבית הוא ההיכל לפני ,7,7,4453,4453.0,1725,1705.0,0.0,0.0,8090001497
ref-b.2.5.5.52a.4.16-ref-b.2.5.5.52a.4.22,ref-bible.0205.6.20.4-ref-bible.205.6.20.11,1829925,1829964,ref-b.2.5.5.52a.4.16,ref-b.2.5.5.52a.4.22,660239,660280,ref-bible.0205.6.20.4,ref-bible.0205.6.20.11,אמה ארכו ועשרים רחבו ושלשים אמה קומתו ,אמה ארך ועשרים אמה רחב ועשרים אמה קומתו ,7,8,4462,4458.0,1715,1715.0,0.25,0.16666666666666663,8090001498
ref-b.2.5.5.52a.4.30-ref-b.2.5.5.52a.4.42,ref-bible.0205.6.20.1-ref-bible.205.6.20.11,1830008,1830083,ref-b.2.5.5.52a.4.30,ref-b.2.5.5.52a.4.42,660219,660280,ref-bible.0205.6.20.1,ref-bible.0205.6.20.11,לפני וכתיב ולפני הדביר עשרים אמה אורך ועשרים אמה רוחב ועשרים אמה קומתו ,ולפני הדביר עשרים אמה ארך ועשרים אמה רחב ועשרים אמה קומתו ,13,11,4458,4458.0,1727,1727.0,0.18309859154929578,0.2222222222222222,8090001499
ref-b.2.5.5.52a.4.16-ref-b.2.5.5.52a.4.24,ref-bible.0205.7.2.7-ref-bible.205.7.2.16,1829925,1829980,ref-b.2.5.5.52a.4.16,ref-b.2.5.5.52a.4.24,661655,661707,ref-bible.0205.7.2.7,ref-bible.0205.7.2.16,אמה ארכו ועשרים רחבו ושלשים אמה קומתו וכתיב וארבעים ,אמה ארכו וחמשים אמה רחבו ושלשים אמה קומתו על ארבעה ,9,10,4495,4488.0,1720,1720.0,0.28846153846153844,0.4,8090001500
ref-b.2.5.5.52a.4.35-ref-b.2.5.5.52a.4.42,ref-bible.0205.7.2.7-ref-bible.205.7.2.14,1830040,1830083,ref-b.2.5.5.52a.4.35,ref-b.2.5.5.52a.4.42,661655,661698,ref-bible.0205.7.2.7,ref-bible.0205.7.2.14,אמה אורך ועשרים אמה רוחב ועשרים אמה קומתו ,אמה ארכו וחמשים אמה רחבו ושלשים אמה קומתו ,8,8,4488,4488.0,1745,1745.0,0.2619047619047619,0.4285714285714286,8090001501
ref-b.2.5.5.52a.4.34-ref-b.2.5.5.52a.4.42,ref-bible.0205.7.27.4-ref-bible.205.7.27.16,1830034,1830083,ref-b.2.5.5.52a.4.34,ref-b.2.5.5.52a.4.42,663815,663888,ref-bible.0205.7.27.4,ref-bible.0205.7.27.16,עשרים אמה אורך ועשרים אמה רוחב ועשרים אמה קומתו ,עשר נחשת ארבע באמה ארך המכונה האחת וארבע באמה רחבה ושלש באמה קומתה ,9,13,4507,4506.0,1733,1705.0,0.5373134328358209,0.5,8090001502
ref-b.2.5.5.52a.4.34-ref-b.2.5.5.52a.4.41,ref-bible.0209.40.29.16-ref-bible.0209.40.30.10,1830034,1830077,ref-b.2.5.5.52a.4.34,ref-b.2.5.5.52a.4.41,1060783,1060866,ref-bible.0209.40.29.16,ref-bible.0209.40.30.10,ארך ורחב עשרים וחמש אמות ואלמות סביב סביב ארך חמש ועשרים אמה ורחב חמש אמות,אמה ארך ורחב עשרים וחמש אמות ואלמות סביב סביב ארך חמש ועשרים אמה ורחב חמש אמות,8,16,6201,6201.0,1729,1729.0,0.05128205128205128,0.0,8090001503
ref-b.2.5.5.52a.4.16-ref-b.2.5.5.52a.4.21,ref-bible.0209.40.48.12-ref-bible.0209.40.49.5,1829925,1829958,ref-b.2.5.5.52a.4.16,ref-b.2.5.5.52a.4.21,1062348,1062424,ref-bible.0209.40.48.12,ref-bible.0209.40.49.5,אמות מפה ורחב השער שלש אמות מפו ושלש אמות מפו ארך האלם עשרים אמה ורחב,אמות מפה ורחב השער שלש אמות מפו ושלש אמות מפו ארך האלם עשרים אמה ורחב,6,13,6218,6218.0,1708,1708.0,0.0,0.0,8090001504
ref-b.2.5.5.52a.4.34-ref-b.2.5.5.52a.4.41,ref-bible.0209.40.48.20-ref-bible.0209.40.49.8,1830034,1830077,ref-b.2.5.5.52a.4.34,ref-b.2.5.5.52a.4.41,1062389,1062438,ref-bible.0209.40.48.20,ref-bible.0209.40.49.8,ארך האלם עשרים אמה ורחב עשתי עשרה אמה,אמות מפו ארך האלם עשרים אמה ורחב עשתי עשרה אמה,8,10,6227,6227.0,1730,1730.0,0.1956521739130435,0.1428571428571429,8090001505
ref-b.2.5.5.52a.4.15-ref-b.2.5.5.52a.4.41,ref-bible.0209.41.3.7-ref-bible.0209.41.4.11,1829920,1830077,ref-b.2.5.5.52a.4.15,ref-b.2.5.5.52a.4.41,1062718,1062812,ref-bible.0209.41.3.7,ref-bible.0209.41.4.11,שש אמות ורחב הפתח שבע אמות וימד את ארכו עשרים אמה,אמות והפתח שש אמות ורחב הפתח שבע אמות וימד את ארכו עשרים אמה ורחב עשרים אמה אל פני ההיכל,7,19,6238,6238.0,1706,1706.0,0.4431818181818182,0.25,8090001506
ref-b.2.5.5.52a.4.34-ref-b.2.5.5.52a.4.41,ref-bible.0220.5.2.11-ref-bible.0220.5.2.16,1830034,1830077,ref-b.2.5.5.52a.4.34,ref-b.2.5.5.52a.4.41,1135566,1135599,ref-bible.0220.5.2.11,ref-bible.0220.5.2.16,ארכה עשרים באמה ורחבה עשר באמה,ארכה עשרים באמה ורחבה עשר באמה,6,6,6620,6620.0,1728,1728.0,0.0,0.0,8090001507
ref-b.2.5.5.52a.4.15-ref-b.2.5.5.52a.4.21,ref-bible.0313.3.3.13-ref-bible.313.3.4.10,1829920,1829958,ref-b.2.5.5.52a.4.15,ref-b.2.5.5.52a.4.21,1518861,1518929,ref-bible.0313.3.3.13,ref-bible.0313.3.4.10,ששים אמה ארכו ועשרים רחבו ושלשים אמה ,ששים ורחב אמות עשרים והאולם אשר על פני הארך על פני רחב הבית אמות ,7,14,8832,8832.0,1707,1705.0,0.6615384615384615,0.5454545454545454,8090001508
ref-b.2.5.5.52a.4.16-ref-b.2.5.5.52a.4.22,ref-bible.0313.4.1.5-ref-bible.313.4.1.12,1829925,1829964,ref-b.2.5.5.52a.4.16,ref-b.2.5.5.52a.4.22,1520020,1520062,ref-bible.0313.4.1.5,ref-bible.0313.4.1.12,אמה ארכו ועשרים רחבו ושלשים אמה קומתו ,אמה ארכו ועשרים אמה רחבו ועשר אמות קומתו ,7,8,8853,8850.0,1716,1716.0,0.24390243902439024,0.16666666666666663,8090001509
ref-b.2.5.5.52a.4.34-ref-b.2.5.5.52a.4.42,ref-bible.0313.4.1.4-ref-bible.313.4.1.12,1830034,1830083,ref-b.2.5.5.52a.4.34,ref-b.2.5.5.52a.4.42,1520014,1520062,ref-bible.0313.4.1.4,ref-bible.0313.4.1.12,עשרים אמה אורך ועשרים אמה רוחב ועשרים אמה קומתו ,עשרים אמה ארכו ועשרים אמה רחבו ועשר אמות קומתו ,9,9,8850,8850.0,1734,1734.0,0.1875,0.0,8090001510
ref-b.2.5.5.52a.4.16-ref-b.2.5.5.52a.4.22,ref-bible.0313.6.13.10-ref-bible.313.6.13.17,1829925,1829964,ref-b.2.5.5.52a.4.16,ref-b.2.5.5.52a.4.22,1524032,1524075,ref-bible.0313.6.13.10,ref-bible.0313.6.13.17,אמה ארכו ועשרים רחבו ושלשים אמה קומתו ,אמות ארכו וחמש אמות רחבו ואמות שלוש קומתו ,7,8,8887,8887.0,1717,1717.0,0.42857142857142855,0.2857142857142857,8090001511
ref-b.2.5.5.52a.4.35-ref-b.2.5.5.52a.4.42,ref-bible.0313.6.13.10-ref-bible.313.6.13.17,1830040,1830083,ref-b.2.5.5.52a.4.35,ref-b.2.5.5.52a.4.42,1524032,1524075,ref-bible.0313.6.13.10,ref-bible.0313.6.13.17,אמה אורך ועשרים אמה רוחב ועשרים אמה קומתו ,אמות ארכו וחמש אמות רחבו ואמות שלוש קומתו ,8,8,8888,8887.0,1746,1746.0,0.5476190476190477,0.4285714285714286,8090001512
ref-b.2.5.5.52a.8.9-ref-b.2.5.5.52a.9.12,ref-bible.0205.6.19.1-ref-bible.0205.6.20.2,1830511,1830654,ref-b.2.5.5.52a.8.9,ref-b.2.5.5.52a.9.12,660162,660232,ref-bible.0205.6.19.1,ref-bible.0205.6.20.2,ודביר בתוך הבית מפנימה הכין לתתן שם,ודביר בתוך הבית מפנימה הכין לתתן שם,7,7,4454,4454.0,1748,1748.0,0.0,0.0,8090001513
ref-b.2.5.5.52b.7.8-ref-b.2.5.5.52b.7.19,ref-bible.0102.24.5.1-ref-bible.102.24.5.12,1830989,1831057,ref-b.2.5.5.52b.7.8,ref-b.2.5.5.52b.7.19,152549,152616,ref-bible.0102.24.5.1,ref-bible.0102.24.5.12,וישלח את נערי בני ישראל ויעלו עולות כבשים ויזבחו זבחים שלמים פרים ,וישלח את נערי בני ישראל ויעלו עלת ויזבחו זבחים שלמים ליהוה פרים ,12,12,957,957.0,1751,1751.0,0.21212121212121213,0.18181818181818177,8090001514
ref-b.2.5.5.52b.11.23-ref-b.2.5.5.52b.11.34,ref-bible.0203.6.8.10-ref-bible.203.6.8.21,1831342,1831410,ref-b.2.5.5.52b.11.23,ref-b.2.5.5.52b.11.34,527507,527570,ref-bible.0203.6.8.10,ref-bible.0203.6.8.21,וכלי הזהב אשר השיבותם לו אשם תשימו בארגז מצדו ושלחתם אותו והלך ,כלי הזהב אשר השבתם לו אשם תשימו בארגז מצדו ושלחתם אתו והלך ,12,12,3890,3887.0,1752,1752.0,0.06349206349206349,0.16666666666666663,8090001515
ref-b.2.5.5.52b.12.10-ref-b.2.5.5.52b.12.17,ref-bible.0105.28.36.1-ref-bible.105.28.36.8,1831458,1831494,ref-b.2.5.5.52b.12.10,ref-b.2.5.5.52b.12.17,395554,395591,ref-bible.0105.28.36.1,ref-bible.0105.28.36.8,יולך ה' אותך ואת מלכך אשר תקים עליך ,יולך יהוה אתך ואת מלכך אשר תקים עליך ,8,8,3359,3359.0,1753,1753.0,0.10810810810810811,0.125,8090001516
ref-b.2.5.5.52b.13.1-ref-b.2.5.5.52b.13.32,ref-bible.0313.35.3.1-ref-bible.313.35.3.32,1831506,1831669,ref-b.2.5.5.52b.13.1,ref-b.2.5.5.52b.13.32,1584412,1584582,ref-bible.0313.35.3.1,ref-bible.0313.35.3.32,שנאמר ויאמר ללוים המבינים לכל ישראל הקדושים לה' תנו את ארון הקודש בבית אשר בנה שלמה בן דוד מלך ישראל אין לכם משא בכתף עתה עבדו את ה' אלהיכם ואת עמו ישראל ,ויאמר ללוים המבונים המבינים לכל ישראל הקדושים ליהוה תנו את ארון הקדש בבית אשר בנה שלמה בן דויד מלך ישראל אין לכם משא בכתף עתה עבדו את יהוה אלהיכם ואת עמו ישראל ,32,32,9027,9027.0,1754,1754.0,0.11875,0.08333333333333337,8090001517
ref-b.2.5.5.53a.21.19-ref-b.2.5.5.53a.21.24,ref-bible.0313.1.13.1-ref-bible.313.1.13.6,1834012,1834047,ref-b.2.5.5.53a.21.19,ref-b.2.5.5.53a.21.24,1516388,1516423,ref-bible.0313.1.13.1,ref-bible.0313.1.13.6,ויבא שלמה לבמה אשר בגבעון ירושלם ,ויבא שלמה לבמה אשר בגבעון ירושלם ,6,6,8823,8823.0,1755,1755.0,0.0,0.0,8090001518
ref-b.2.5.5.53b.3.37-ref-b.2.5.5.53b.3.41,ref-bible.0301.91.7.1-ref-bible.301.91.7.5,1835242,1835271,ref-b.2.5.5.53b.3.37,ref-b.2.5.5.53b.3.41,1216974,1217002,ref-bible.0301.91.7.1,ref-bible.0301.91.7.5,יפול מצדך אלף ורבבה מימינך ,יפל מצדך אלף ורבבה מימינך ,5,5,7143,7143.0,1756,1756.0,0.037037037037037035,0.0,8090001519
ref-b.2.5.5.53b.4.12-ref-b.2.5.5.53b.4.16,ref-bible.0301.91.7.1-ref-bible.301.91.7.5,1835329,1835358,ref-b.2.5.5.53b.4.12,ref-b.2.5.5.53b.4.16,1216974,1217002,ref-bible.0301.91.7.1,ref-bible.0301.91.7.5,יפול מצדך אלף ורבבה מימינך ,יפל מצדך אלף ורבבה מימינך ,5,5,7144,7143.0,1757,1757.0,0.037037037037037035,0.0,8090001520
ref-b.2.5.5.53b.14.20-ref-b.2.5.5.53b.14.30,ref-bible.0313.36.10.1-ref-bible.313.36.10.11,1836554,1836619,ref-b.2.5.5.53b.14.20,ref-b.2.5.5.53b.14.30,1587552,1587616,ref-bible.0313.36.10.1,ref-bible.0313.36.10.11,ולתשובת השנה שלח המלך נבוכדנאצר ויביאהו בבלה עם כלי חמדת בית ,ולתשובת השנה שלח המלך נבוכדנאצר ויבאהו בבלה עם כלי חמדת בית ,11,11,9037,9037.0,1758,1758.0,0.01639344262295082,0.0,8090001521
ref-b.2.5.5.53b.16.8-ref-b.2.5.5.53b.16.21,ref-bible.0205.8.8.3-ref-bible.205.8.8.16,1836750,1836832,ref-b.2.5.5.53b.16.8,ref-b.2.5.5.53b.16.21,666618,666700,ref-bible.0205.8.8.3,ref-bible.0205.8.8.16,ויראו ראשי הבדים מן הקדש על פני הדביר ולא יראו החוצה ויהיו שם עד היום הזה ו,ויראו ראשי הבדים מן הקדש על פני הדביר ולא יראו החוצה ויהיו שם עד היום הזה אי,17,17,4514,4513.0,1759,1759.0,0.02631578947368421,0.0,8090001522
ref-b.2.5.5.53b.16.8-ref-b.2.5.5.53b.16.21,ref-bible.0313.5.9.3-ref-bible.313.5.9.16,1836750,1836832,ref-b.2.5.5.53b.16.8,ref-b.2.5.5.53b.16.21,1522497,1522579,ref-bible.0313.5.9.3,ref-bible.0313.5.9.16,ויראו ראשי הבדים מן הקדש על פני הדביר ולא יראו החוצה ויהיו שם עד היום הזה ו,ויראו ראשי הבדים מן הארון על פני הדביר ולא יראו החוצה ויהי שם עד היום הזה אי,17,17,8874,8873.0,1760,1759.0,0.09210526315789473,0.1333333333333333,8090001523
ref-b.2.5.5.53b.17.30-ref-b.2.5.5.53b.17.35,ref-bible.0313.36.10.6-ref-bible.313.36.10.11,1836985,1837015,ref-b.2.5.5.53b.17.30,ref-b.2.5.5.53b.17.35,1587587,1587616,ref-bible.0313.36.10.6,ref-bible.0313.36.10.11,ויביאהו בבלה עם כלי חמדת בית ,ויבאהו בבלה עם כלי חמדת בית ,6,6,9038,9037.0,1761,1761.0,0.034482758620689655,0.0,8090001524
ref-b.2.5.5.54a.2.22-ref-b.2.5.5.54a.2.36,ref-bible.0201.15.63.1-ref-bible.201.15.63.17,1837262,1837358,ref-b.2.5.5.54a.2.22,ref-b.2.5.5.54a.2.36,444598,444705,ref-bible.0201.15.63.1,ref-bible.0201.15.63.17,ואת היבוסי יושב ירושלם לא הורישו בני בנימין וישב היבוסי את בני בנימין בירושלם עד היום הזה הכ,ואת היבוסי יושבי ירושלם לא יוכלו יכלו בני יהודה להורישם וישב היבוסי את בני יהודה בירושלם עד היום הזה ו,18,20,3602,3602.0,1762,1762.0,0.27450980392156865,0.4285714285714286,8090001525
ref-b.2.5.5.54a.2.22-ref-b.2.5.5.54a.2.36,ref-bible.0202.1.21.1-ref-bible.202.1.21.15,1837262,1837358,ref-b.2.5.5.54a.2.22,ref-b.2.5.5.54a.2.36,466060,466152,ref-bible.0202.1.21.1,ref-bible.0202.1.21.15,ואת היבוסי יושב ירושלם לא הורישו בני בנימין וישב היבוסי את בני בנימין בירושלם עד היום הזה הכ,ואת היבוסי ישב ירושלם לא הורישו בני בנימן וישב היבוסי את בני בנימן בירושלם עד היום הזה ו,18,18,3659,3659.0,1763,1762.0,0.05434782608695652,0.25,8090001526
ref-b.2.5.5.54a.3.13-ref-b.2.5.5.54a.3.36,ref-bible.0208.9.9.1-ref-bible.208.9.9.24,1837439,1837555,ref-b.2.5.5.54a.3.13,ref-b.2.5.5.54a.3.36,884210,884325,ref-bible.0208.9.9.1,ref-bible.0208.9.9.24,על ההרים אשא בכי ונהי ועל נאות מדבר קינה כי נצתו מבלי איש עובר ולא שמעו קול מקנה מעוף השמים ועד בהמה נדדו הלכו ,על ההרים אשא בכי ונהי ועל נאות מדבר קינה כי נצתו מבלי איש עבר ולא שמעו קול מקנה מעוף השמים ועד בהמה נדדו הלכו ,24,24,5612,5612.0,1764,1764.0,0.009009009009009009,0.0,8090001527
ref-b.2.5.5.54a.3.23-ref-b.2.5.5.54a.3.29,ref-bible.0208.9.11.17-ref-bible.208.9.12.12,1837486,1837518,ref-b.2.5.5.54a.3.23,ref-b.2.5.5.54a.3.29,884469,884551,ref-bible.0208.9.11.17,ref-bible.0208.9.12.12,נצתו מבלי איש עובר ולא שמעו קול ,נצתה כמדבר מבלי עבר ויאמר יהוה על עזבם את תורתי אשר נתתי לפניהם ולא שמעו בקולי ,7,16,5615,5615.0,1765,1764.0,0.6329113924050633,0.625,8090001528
