baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-bible,baseOrder,grp-ref-sifra,dam-lev,jac,lcc_len,lcs_str,id,bRangeOriginal,cRangeOriginal
ref-sifra.6.1-00.9.14-ref-sifra.6.1-00.10.7,ref-bible.0103.5.2.19-ref-bible.0103.5.3.7,310279,310443,ref-sifra.6.1-00.9.14,ref-sifra.6.1-00.10.7,197975,198038,ref-bible.0103.5.2.19,ref-bible.0103.5.3.7,טמא ונעלם ממנו והוא טמא ואשם או כי יגע בטמאת אדם לכל טמאתו,טמא ונעלם ממנו והוא טמא ואשם או כי יגע בטמאת אדם לכל טמאתו,13,13,266,266.0,642,642.0,0.0,0.0,13,טמא ונעלם ממנו והוא טמא ואשם או כי יגע בטמאת אדם לכל טמאתו,4090000521,13,13
ref-sifra.6.1-00.11.37-ref-sifra.6.1-00.13.4,ref-bible.0103.12.2.9-ref-bible.0103.12.3.1,310768,310937,ref-sifra.6.1-00.11.37,ref-sifra.6.1-00.13.4,213280,213334,ref-bible.0103.12.2.9,ref-bible.0103.12.3.1,וילדה זכר וטמאה שבעת ימים כימי נדת דותה תטמא וביום,וילדה זכר וטמאה שבעת ימים כימי נדת דותה תטמא וביום,10,10,538,538.0,644,644.0,0.0,0.0,10,וילדה זכר וטמאה שבעת ימים כימי נדת דותה תטמא וביום,4090000522,10,10
ref-sifra.6.1-01.2.11-ref-sifra.6.1-01.2.16,ref-bible.0103.12.2.11-ref-bible.103.12.3.3,311419,311454,ref-sifra.6.1-01.2.11,ref-sifra.6.1-01.2.16,213291,213347,ref-bible.0103.12.2.11,ref-bible.0103.12.3.3,וטמאה שבעת ימים ביום השמיני ימול ,וטמאה שבעת ימים כימי נדת דותה תטמא וביום השמיני ימול ,6,10,541,537.0,646,646.0,0.3773584905660377,0.3333333333333333,5,וטמאה שבעת ימים השמיני ימול,4090000523,6,10
ref-sifra.6.1-01.2.41-ref-sifra.6.1-01.2.48,ref-bible.0101.17.12.1-ref-bible.101.17.12.8,311573,311615,ref-sifra.6.1-01.2.41,ref-sifra.6.1-01.2.48,26766,26805,ref-bible.0101.17.12.1,ref-bible.0101.17.12.8,ובן שמונת ימים ימול לכם כל זכר לדורותיכם ,ובן שמנת ימים ימול לכם כל זכר לדרתיכם ,8,8,11,11.0,647,647.0,0.073170731707317,0.0,6,ובן ימים ימול לכם כל זכר,4090000524,8,8
ref-sifra.6.1-01.3.13-ref-sifra.6.1-01.3.18,ref-bible.0101.22.3.1-ref-bible.101.22.3.6,311695,311730,ref-sifra.6.1-01.3.13,ref-sifra.6.1-01.3.18,36880,36913,ref-bible.0101.22.3.1,ref-bible.0101.22.3.6,וישכם אברהם בבקר ויחבוש את חמורו ,וישכם אברהם בבקר ויחבש את חמרו ,6,6,15,15.0,648,648.0,0.0606060606060606,0.0,4,וישכם אברהם בבקר את,4090000525,6,6
ref-sifra.6.1-01.8.1-ref-sifra.6.1-01.8.13,ref-bible.0103.12.4.8-ref-bible.103.12.4.15,313216,313276,ref-sifra.6.1-01.8.1,ref-sifra.6.1-01.8.13,213397,213431,ref-bible.0103.12.4.8,ref-bible.0103.12.4.15,בכל קדש לא תגע יכול אף למעשר תלמוד לומר ואל המקדש לא תבא ,בכל קדש לא תגע ואל המקדש לא תבא ,13,3,542,542.0,649,649.0,0.4385964912280701,0.4,8,בכל קדש לא תגע ואל המקדש לא תבא,4090000526,13,8
ref-sifra.6.1-01.8.52-ref-sifra.6.1-01.8.78,ref-bible.0103.12.4.9-ref-bible.0103.12.5.3,313458,313592,ref-sifra.6.1-01.8.52,ref-sifra.6.1-01.8.78,213402,213462,ref-bible.0103.12.4.9,ref-bible.0103.12.5.3,קדש לא תגע ואל המקדש לא תבא עד מלאת ימי טהרה ואם נקבה תלד,קדש לא תגע ואל המקדש לא תבא עד מלאת ימי טהרה ואם נקבה תלד,9,9,543,543.0,650,650.0,0.0,0.0,14,קדש לא תגע ואל המקדש לא תבא עד מלאת ימי טהרה ואם נקבה תלד,4090000527,14,14
ref-sifra.6.1-02.2.93-ref-sifra.6.1-02.3.2,ref-bible.0103.12.5.4-ref-bible.103.12.5.10,314208,314263,ref-sifra.6.1-02.2.93,ref-sifra.6.1-02.3.2,213463,213504,ref-bible.0103.12.5.4,ref-bible.0103.12.5.10,"וטמאה שבועים כנדתה שני שבועים שהם י""ד יום וששים יום ",וטמאה שבעים כנדתה וששים יום וששת ימים ,10,7,547,542.0,652,652.0,0.3846153846153846,0.5,4,וטמאה כנדתה וששים יום,4090000528,10,7
ref-sifra.6.1-02.3.29-ref-sifra.6.1-02.4.1,ref-bible.0103.12.4.18-ref-bible.0103.12.5.11,314397,314614,ref-sifra.6.1-02.3.29,ref-sifra.6.1-02.4.1,213440,213508,ref-bible.0103.12.4.18,ref-bible.0103.12.5.11,ימי טהרה ואם נקבה תלד וטמאה שבעים כנדתה וששים יום וששת ימים תשב,ימי טהרה ואם נקבה תלד וטמאה שבעים כנדתה וששים יום וששת ימים תשב,13,13,546,545.0,653,653.0,0.0,0.0,13,ימי טהרה ואם נקבה תלד וטמאה שבעים כנדתה וששים יום וששת ימים תשב,4090000529,13,13
ref-sifra.6.1-03.3.58-ref-sifra.6.1-03.4.6,ref-bible.0103.12.6.12-ref-bible.103.12.6.22,316628,316688,ref-sifra.6.1-03.3.58,ref-sifra.6.1-03.4.6,213573,213620,ref-bible.0103.12.6.12,ref-bible.0103.12.6.22,ובן יונה או תור לחטאת או זה או זה אל פתח אהל מועד אל הכהן ,ובן יונה או תר לחטאת אל פתח אהל מועד אל הכהן ,15,11,548,548.0,655,655.0,0.2241379310344827,0.125,7,ובן יונה או לחטאת אל_פתח_אהל_מועד אל הכהן,4090000530,15,11
ref-sifra.6.1-03.4.1-ref-sifra.6.1-03.4.13,ref-bible.0103.15.29.11-ref-bible.103.15.30.2,316664,316725,ref-sifra.6.1-03.4.1,ref-sifra.6.1-03.4.13,224478,224527,ref-bible.0103.15.29.11,ref-bible.0103.15.30.2,אל פתח אהל מועד אל הכהן מלמד שהיא מיטפל בהם ומביאה אותם אל ,והביאה אותם אל הכהן אל פתח אהל מועד ועשה הכהן ,13,10,860,860.0,656,655.0,0.6779661016949152,0.6363636363636364,2,אותם אל,4090000531,13,10
ref-sifra.6.1-03.6.65-ref-sifra.6.1-03.6.77,ref-bible.0313.10.10.28-ref-bible.0313.10.12.2,317340,317413,ref-sifra.6.1-03.6.65,ref-sifra.6.1-03.6.77,1534156,1534255,ref-bible.0313.10.10.28,ref-bible.0313.10.12.2,אבי העמיס עליכם על כבד ואני אסיף על עלכם אבי יסר אתכם בשוטים ואני בעקרבים ויבא ירבעם,אבי ועתה אבי העמיס עליכם על כבד ואני אסיף על עלכם אבי יסר אתכם בשוטים ואני בעקרבים ויבא ירבעם,17,19,1970,1970.0,657,657.0,0.0967741935483871,0.0769230769230768,17,אבי העמיס עליכם על כבד ואני אסיף על עלכם אבי יסר אתכם בשוטים ואני בעקרבים ויבא ירבעם,4090000532,17,19
ref-sifra.7.1-00.1.9-ref-sifra.7.1-00.1.35,ref-bible.0103.13.38.3-ref-bible.103.13.39.5,319443,319555,ref-sifra.7.1-00.1.9,ref-sifra.7.1-00.1.35,216636,216700,ref-bible.0103.13.38.3,ref-bible.0103.13.39.5,כי יהיה בעור בשרו מה תל לפי שנאמר ל לפי שנאמר ואיש או אשה כי יהי' בעור בשרם   לבנות או אשה כי יהי' בעור בשרם ,אשה כי יהיה בעור בשרם בהרת בהרת לבנת וראה הכהן והנה בעור בשרם ,25,13,625,625.0,659,659.0,0.6422018348623854,0.6,6,כי יהיה בעור בשרם בעור בשרם,4090000533,25,13
ref-sifra.7.1-00.4.71-ref-sifra.7.1-00.4.76,ref-bible.0203.2.36.12-ref-bible.203.2.36.17,320675,320707,ref-sifra.7.1-00.4.71,ref-sifra.7.1-00.4.76,521953,521982,ref-bible.0203.2.36.12,ref-bible.0203.2.36.17,שנאמר ספחיני נא אל אחת הכהונות ,ואמר ספחני נא אל אחת הכהנות ,6,6,1666,1666.0,660,660.0,0.1290322580645161,0.3333333333333333,3,נא אל אחת,4090000534,6,6
ref-sifra.7.1-00.9.58-ref-sifra.7.1-00.9.64,ref-bible.0105.21.5.14-ref-bible.105.21.5.20,322222,322252,ref-sifra.7.1-00.9.58,ref-sifra.7.1-00.9.64,381429,381459,ref-bible.0105.21.5.14,ref-bible.0105.21.5.20,ועל פיהם יהיה כל ריב וכל נגע ,ועל פיהם יהיה כל ריב וכל נגע ,1,1,1625,1625.0,661,661.0,0.0,0.0,7,ועל פיהם יהיה כל ריב וכל נגע,4090000535,7,7
ref-sifra.7.1-00.10.42-ref-sifra.7.1-02.1.18,ref-bible.0103.13.2.17-ref-bible.0103.13.4.9,322504,322685,ref-sifra.7.1-00.10.42,ref-sifra.7.1-02.1.18,213913,214112,ref-bible.0103.13.2.17,ref-bible.0103.13.4.9,אל אהרן הכהן או אל אחד מבניו הכהנים וראה הכהן את הנגע בעור הבשר ושער בנגע הפך לבן ומראה הנגע עמק מעור בשרו נגע צרעת הוא וראהו הכהן וטמא אתו ואם בהרת לבנה הוא בעור בשרו ועמק אין מראה,אל אהרן הכהן או אל אחד מבניו הכהנים וראה הכהן את הנגע בעור הבשר ושער בנגע הפך לבן ומראה הנגע עמק מעור בשרו נגע צרעת הוא וראהו הכהן וטמא אתו ואם בהרת לבנה הוא בעור בשרו ועמק אין מראה,34,34,549,549.0,662,662.0,0.0,0.0,37,אל אהרן הכהן או אל אחד מבניו הכהנים וראה_הכהן_את הנגע בעור הבשר ושער בנגע הפך לבן ומראה הנגע עמק מעור בשרו נגע צרעת הוא וראהו הכהן וטמא אתו ואם בהרת לבנה הוא בעור בשרו ועמק אין מראה,4090000536,39,39
