baseOrig,compOrig,baseCharStart,baseCharEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compRefStart,compRefEnd,baseStr,compStr,bRange,cRange,compOrder,grp-ref-sifre-d,baseOrder,grp-ref-sifre-n,dam-lev,jac,lcs_len_char,lcs_str_char,lcc_distance,id
ref-sifre-n.142.2.71-ref-sifre-n.142.2.91,ref-sifre-d.289.3.11-ref-sifre-d.289.3.30,253140,253250,ref-sifre-n.142.2.71,ref-sifre-n.142.2.91,274187,274283,ref-sifre-d.289.3.11,ref-sifre-d.289.3.30,נאמרה כאן שמירה ונאמר להלן שמות יב שמירה מה שמירה האמורה להלן מבקרו ד' ימים קודם שחיטתו אף שמירה האמורה כאן ,נאמר כאן שם אחיו ונאמר להלן על שם אחיהם יקראו בנחלתם מה שם האמור להלן לנחלה אף שם האמור כאן ,21,20,1150,1132.0,1238,1218.0,0.5370370370370371,0.75,63,נאמר כאן שי ונאמר להלן ש י יר מה ש האמור להלן ח אף ש האמור כאן ,0.41666666666666663,5060001060
ref-sifre-n.142.2.71-ref-sifre-n.142.2.91,ref-sifre-d.289.9.18-ref-sifre-d.289.9.32,253140,253250,ref-sifre-n.142.2.71,ref-sifre-n.142.2.91,274954,275020,ref-sifre-d.289.9.18,ref-sifre-d.289.9.32,נאמרה כאן שמירה ונאמר להלן שמות יב שמירה מה שמירה האמורה להלן מבקרו ד' ימים קודם שחיטתו אף שמירה האמורה כאן ,נאמר כאן שם ונאמר להלן שם מה שם האמור להלן נחלה אף שם האמור כאן ,21,15,1180,1161.0,1239,1218.0,0.4722222222222222,0.6666666666666667,57,נאמר כאן ש ונאמר להלן ש מה ש האמור להלן ח אף ש האמור כאן ,0.4722222222222222,5060001061
ref-sifre-n.142.2.71-ref-sifre-n.142.2.91,ref-sifre-d.291.6.2-ref-sifre-d.291.6.18,253140,253250,ref-sifre-n.142.2.71,ref-sifre-n.142.2.91,276456,276551,ref-sifre-d.291.6.2,ref-sifre-d.291.6.18,נאמרה כאן שמירה ונאמר להלן שמות יב שמירה מה שמירה האמורה להלן מבקרו ד' ימים קודם שחיטתו אף שמירה האמורה כאן ,ואמרה נאמר כאן ענייה ונאמר להלן ענייה מה ענייה האמורה להלן בלשון הקדש אף ענייה האמורה כאן ,21,17,1216,1200.0,1240,1218.0,0.4074074074074074,0.6875,69,אמרה כאן יה ונאמר להלן ייה מה יה האמורה להלן בו קדש אף יה האמורה כאן ,0.36111111111111116,5060001062
ref-sifre-n.142.2.71-ref-sifre-n.142.2.91,ref-sifre-d.302.1.6-ref-sifre-d.302.1.20,253140,253250,ref-sifre-n.142.2.71,ref-sifre-n.142.2.91,288148,288213,ref-sifre-d.302.1.6,ref-sifre-d.302.1.20,נאמרה כאן שמירה ונאמר להלן שמות יב שמירה מה שמירה האמורה להלן מבקרו ד' ימים קודם שחיטתו אף שמירה האמורה כאן ,נאמר כאן קץ ונאמר להלן קץ מה קץ האמור להלן רגל אף קץ האמור כאן ,21,15,1253,1253.0,1241,1241.0,0.5092592592592593,0.6666666666666667,53,נאמר כאן  ונאמר להלן  מה  האמור להלן ר אף  האמור כאן ,0.5092592592592593,5060001063
ref-sifre-n.142.2.72-ref-sifre-n.142.2.82,ref-sifre-d.302.1.23-ref-sifre-d.302.1.34,253146,253203,ref-sifre-n.142.2.72,ref-sifre-n.142.2.82,288221,288275,ref-sifre-d.302.1.23,ref-sifre-d.302.1.34,כאן שמירה ונאמר להלן שמות יב שמירה מה שמירה האמורה להלן ,מה קץ האמור להלן חג המצות אף כאן חג המצות נאמר להלן ,11,12,1286,1286.0,1243,1241.0,0.5714285714285714,0.7272727272727273,30,מה אמר להלן מות    ה אמר להלן ,0.4642857142857143,5060001064
ref-sifre-n.142.2.71-ref-sifre-n.142.2.94,ref-sifre-d.357.37.20-ref-sifre-d.357.37.33,253140,253264,ref-sifre-n.142.2.71,ref-sifre-n.142.2.94,388176,388234,ref-sifre-d.357.37.20,ref-sifre-d.357.37.33,נאמרה כאן שמירה ונאמר להלן שמות יב שמירה מה שמירה האמורה להלן מבקרו ד' ימים קודם שחיטתו אף שמירה האמורה כאן מבקרו ד' ימים ,נא' כאן ימי ונא' להלן ימי מה ימי האמור כאן ל' יום אף ימי ,24,14,1399,1391.0,1242,1218.0,0.5901639344262295,0.75,50,נא כאן מי ונא להלן ימי מה מי האמור ן ' יום אף ימי ,0.5901639344262295,5060001065
ref-sifre-n.142.2.212-ref-sifre-n.142.2.225,ref-sifre-d.36.2.56-ref-sifre-d.36.2.69,253851,253923,ref-sifre-n.142.2.212,ref-sifre-n.142.2.225,51347,51410,ref-sifre-d.36.2.56,ref-sifre-d.36.2.69,נאמר כאן במועדו ונא' להלן במועדו מה מועדו האמור להלן דוחה_את_השבת אף ,נאמר כאן כתב ונאמר להלן כתב מה כתב האמור להלן על גבי אבנים אף ,12,14,120,120.0,1253,1253.0,0.4492753623188406,0.6923076923076923,43,נאמר כאן ב ונא להלן ב מה  האמור להלן אב אף ,0.37681159420289856,5060001066
ref-sifre-n.142.2.212-ref-sifre-n.142.2.228,ref-sifre-d.36.2.102-ref-sifre-d.36.2.118,253851,253940,ref-sifre-n.142.2.212,ref-sifre-n.142.2.228,51584,51665,ref-sifre-d.36.2.102,ref-sifre-d.36.2.118,נאמר כאן במועדו ונא' להלן במועדו מה מועדו האמור להלן דוחה_את_השבת אף מועדו האמור כאן ,נאמר כאן כתב ונאמר להלן כתב מה כתב האמור להלן על הספר ובדיו אף כתב האמור כאן ,15,17,157,157.0,1254,1253.0,0.4235294117647059,0.6923076923076923,54,נאמר כאן ב ונא להלן ב מה  האמור להלן הב אף  האמור כאן ,0.3647058823529412,5060001067
ref-sifre-n.142.2.212-ref-sifre-n.142.3.1,ref-sifre-d.43.24.43-ref-sifre-d.43.25.17,253851,253960,ref-sifre-n.142.2.212,ref-sifre-n.142.3.1,82463,82541,ref-sifre-d.43.24.43,ref-sifre-d.43.25.17,נאמר כאן אף ונאמר להלן אף חרי מה חרי אף האמור להלן חרב אף חרי האמור כאן,אפו נאמר כאן אף ונאמר להלן אף חרי מה חרי אף האמור להלן חרב אף חרי האמור כאן,17,18,217,217.0,1255,1255.0,0.05333333333333334,0.0,71,נאמר כאן אף ונאמר להלן אף חרי מה חרי אף האמור להלן חרב אף חרי האמור כאן,0.053333333333333344,5060001068
ref-sifre-n.142.2.212-ref-sifre-n.142.2.228,ref-sifre-d.62.4.5-ref-sifre-d.62.4.24,253851,253940,ref-sifre-n.142.2.212,ref-sifre-n.142.2.228,110105,110200,ref-sifre-d.62.4.5,ref-sifre-d.62.4.24,נאמר כאן במועדו ונא' להלן במועדו מה מועדו האמור להלן דוחה_את_השבת אף מועדו האמור כאן ,נאמר כאן לשום את שמו ונאמר להלן ושמו את שמי מה שמי האמור להלן בלשון הקדש אף שמי האמור כאן ,15,20,339,339.0,1256,1256.0,0.43333333333333335,0.6923076923076923,59,נאמר כאן וו ונא להלן וו מה מ האמור להלן והש אף מ האמור כאן ,0.34444444444444444,5060001069
