,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
2215,ref-sifre-n.42.3.106-ref-sifre-n.42.3.117,ref-bible.0204.20.16.15-ref-bible.0204.20.18.3,70843,70908,10319,10330,ref-sifre-n.00042.00003.00106,ref-sifre-n.00042.00003.00117,634527,634642,107233,107253,ref-bible.00204.00020.00016.00015,ref-bible.00204.00020.00018.00003,הדברים האלה לאמר ואומר אחת דבר אלהים שתים זו שמעתי ואומר הלא ,ואדברה אליך ויקרב אליה ותאמר האשה האתה יואב ויאמר אני ותאמר לו שמע דברי אמתך ויאמר שמע אנכי ותאמר לאמר דבר ,ref-bible
2216,ref-sifre-n.42.3.160-ref-sifre-n.42.3.169,ref-bible.0202.13.18.1-ref-bible.0202.13.18.10,71126,71174,10362,10371,ref-sifre-n.00042.00003.00160,ref-sifre-n.00042.00003.00169,496975,497023,83066,83075,ref-bible.00202.00013.00018.00001,ref-bible.00202.00013.00018.00010,ויאמר אליו מלאך ה' למה זה תשאל לשמי והוא פלאי ,ויאמר לו מלאך יהוה למה זה תשאל לשמי והוא פלאי ,ref-bible
2217,ref-sifre-n.42.3.179-ref-sifre-n.42.3.190,ref-bible.0204.24.24.17-ref-bible.0204.24.25.3,71219,71282,10378,10386,ref-sifre-n.00042.00003.00179,ref-sifre-n.00042.00003.00190,644195,644255,108980,108990,ref-bible.00204.00024.00024.00017,ref-bible.00204.00024.00025.00003,ויקן דוד את הגורן בכסף שקלים חמשים וכתוב_אחד_אומר ויתן דוד ,ויקן דוד את הגרן ואת הבקר בכסף שקלים חמשים ויבן שם דוד ,ref-bible
2218,ref-sifre-n.42.3.189-ref-sifre-n.42.3.196,ref-bible.0312.21.25.1-ref-bible.0312.21.25.8,71273,71317,10385,10392,ref-sifre-n.00042.00003.00189,ref-sifre-n.00042.00003.00196,1498824,1498869,257730,257737,ref-bible.00312.00021.00025.00001,ref-bible.00312.00021.00025.00008,ויתן דוד לארנן במקום שקלי זהב משקל שש מאות ,ויתן דויד לארנן במקום שקלי זהב משקל שש מאות ,ref-bible
2219,ref-sifre-n.42.3.227-ref-sifre-n.42.3.234,ref-bible.0312.21.24.19-ref-bible.0312.21.25.8,71474,71518,10415,10422,ref-sifre-n.00042.00003.00227,ref-sifre-n.00042.00003.00234,1498820,1498869,257729,257737,ref-bible.00312.00021.00024.00019,ref-bible.00312.00021.00025.00008,ויחן דוד לארנן במקום שקלי זהב משקל שש מאות ,חנם ויתן דויד לארנן במקום שקלי זהב משקל שש מאות ,ref-bible
2220,ref-sifre-n.42.3.275-ref-sifre-n.42.3.284,ref-bible.0312.21.23.14-ref-bible.0312.21.24.4,71726,71789,10456,10465,ref-sifre-n.00042.00003.00275,ref-sifre-n.00042.00003.00284,1498679,1498757,257704,257715,ref-bible.00312.00021.00023.00014,ref-bible.00312.00021.00024.00004,ויתן דוד לארנן אבל הבקר לעולה והמוריגים וכלי הבקר לעצים ,הבקר לעלות והמורגים לעצים והחטים למנחה הכל נתתי ויאמר המלך דויד לארנן ,ref-bible
2221,ref-sifre-n.42.3.279-ref-sifre-n.42.3.284,ref-bible.0204.24.22.13-ref-bible.0204.24.22.18,71747,71789,10460,10465,ref-sifre-n.00042.00003.00279,ref-sifre-n.00042.00003.00284,644009,644048,108948,108953,ref-bible.00204.00024.00022.00013,ref-bible.00204.00024.00022.00018,הבקר לעולה והמוריגים וכלי הבקר לעצים ,הבקר לעלה והמרגים וכלי הבקר לעצים ,ref-bible
2222,ref-sifre-n.42.3.290-ref-sifre-n.42.3.295,ref-bible.0205.5.6.1-ref-bible.0205.5.6.6,71818,71853,10469,10474,ref-sifre-n.00042.00003.00290,ref-sifre-n.00042.00003.00295,656534,656568,111134,111139,ref-bible.00205.00005.00006.00001,ref-bible.00205.00005.00006.00006,ויהי לשלמה ארבעים אלף ארוות סוסים ,ויהי לשלמה ארבעים אלף ארות סוסים ,ref-bible
2223,ref-sifre-n.42.3.290-ref-sifre-n.42.3.295,ref-bible.0313.9.25.1-ref-bible.0313.9.25.6,71818,71853,10469,10474,ref-sifre-n.00042.00003.00290,ref-sifre-n.00042.00003.00295,1532771,1532807,263236,263241,ref-bible.00313.00009.00025.00001,ref-bible.00313.00009.00025.00006,ויהי לשלמה ארבעים אלף ארוות סוסים ,ויהי לשלמה ארבעת אלפים אריות סוסים ,ref-bible
2224,ref-sifre-n.42.3.320-ref-sifre-n.42.3.324,ref-bible.0313.4.5.9-ref-bible.0313.4.5.13,71980,72006,10493,10497,ref-sifre-n.00042.00003.00320,ref-sifre-n.00042.00003.00324,1520437,1520463,261230,261234,ref-bible.00313.00004.00005.00009,ref-bible.00313.00004.00005.00013,מחזיק בתים שלשת אלפים יכיל ,מחזיק בתים שלשת אלפים יכיל ,ref-bible
2225,ref-sifre-n.42.4.2-ref-sifre-n.42.4.18,ref-bible.0207.23.4.1-ref-bible.0207.23.4.17,72159,72246,10523,10539,ref-sifre-n.00042.00004.00002,ref-sifre-n.00042.00004.00018,805546,805632,136173,136189,ref-bible.00207.00023.00004.00001,ref-bible.00207.00023.00004.00017,בושי צידון כי אמר ים מעוז הים לאמר לא חלתי ולא ילדתי ולא גדלתי בחורים רוממתי' בתולות ,בושי צידון כי אמר ים מעוז הים לאמר לא חלתי ולא ילדתי ולא גדלתי בחורים רוממתי בתולות ,ref-bible
2226,ref-sifre-n.42.4.37-ref-sifre-n.42.4.54,ref-bible.0208.5.22.1-ref-bible.0208.5.22.18,72346,72428,10558,10575,ref-sifre-n.00042.00004.00037,ref-sifre-n.00042.00004.00054,876251,876335,148976,148993,ref-bible.00208.00005.00022.00001,ref-bible.00208.00005.00022.00018,האותי לא תיראו נאם ה' אם מפני לא תחילו אשר שמתי חול גבול לים חק עולם ולא יעברנהו ,האותי לא תיראו נאם יהוה אם מפני לא תחילו אשר שמתי חול גבול לים חק עולם ולא יעברנהו ,ref-bible
2227,ref-sifre-n.43.1.92-ref-sifre-n.43.1.101,ref-bible.0205.12.12.4-ref-bible.0205.12.12.13,73001,73053,10659,10668,ref-sifre-n.00043.00001.00092,ref-sifre-n.00043.00001.00101,681249,681301,115324,115333,ref-bible.00205.00012.00012.00004,ref-bible.00205.00012.00012.00013,כאשר דבר לך ואומר ברוך תהיה מכל העמים ואומר יפתח ,וכל העם אל רחבעם ביום השלישי כאשר דבר המלך לאמר ,ref-bible
2228,ref-sifre-n.43.1.92-ref-sifre-n.43.1.101,ref-bible.0313.10.12.3-ref-bible.0313.10.12.12,73001,73053,10659,10668,ref-sifre-n.00043.00001.00092,ref-sifre-n.00043.00001.00101,1534256,1534307,263485,263494,ref-bible.00313.00010.00012.00003,ref-bible.00313.00010.00012.00012,כאשר דבר לך ואומר ברוך תהיה מכל העמים ואומר יפתח ,וכל העם אל רחבעם ביום השלשי כאשר דבר המלך לאמר ,ref-bible
2229,ref-sifre-n.43.1.106-ref-sifre-n.43.1.118,ref-bible.0209.34.14.4-ref-bible.0209.34.15.3,73069,73136,10672,10682,ref-sifre-n.00043.00001.00106,ref-sifre-n.00043.00001.00118,1046167,1046263,176926,176944,ref-bible.00209.00034.00014.00004,ref-bible.00209.00034.00015.00003,הטוב את השמים ואומר במרעה טוב ארעה אותם ואומר אני ארעה את צאני ,אתם ובהרי מרום ישראל יהיה נוהם שם תרבצנה בנוה טוב ומרעה שמן תרעינה אל הרי ישראל אני ארעה צאני ,ref-bible
2230,ref-sifre-n.44.1.39-ref-sifre-n.44.1.47,ref-bible.0102.40.17.1-ref-bible.0102.40.17.9,73346,73404,10716,10724,ref-sifre-n.00044.00001.00039,ref-sifre-n.00044.00001.00047,190183,190238,33127,33135,ref-bible.00102.00040.00017.00001,ref-bible.00102.00040.00017.00009,ויהי בחודש הראשון בשנה השנית באחד לחודש הוקם המשכן ,ויהי בחדש הראשון בשנה השנית באחד לחדש הוקם המשכן ,ref-bible
2231,ref-sifre-n.44.1.40-ref-sifre-n.44.1.47,ref-bible.0102.40.2.2-ref-bible.0102.40.2.8,73352,73404,10717,10724,ref-sifre-n.00044.00001.00040,ref-sifre-n.00044.00001.00047,189346,189384,32999,33004,ref-bible.00102.00040.00002.00002,ref-bible.00102.00040.00002.00008,בחודש הראשון בשנה השנית באחד לחודש הוקם המשכן ,החדש הראשון באחד לחדש תקים את משכן ,ref-bible
