,baseOrig,compOrig,baseCharStart,baseCharEnd,baseWdStart,baseWdEnd,baseRefStart,baseRefEnd,compCharStart,compCharEnd,compWdStart,compWdEnd,compRefStart,compRefEnd,baseStr,compStr,compWork
13854,ref-y.04.04.1.00.890-ref-y.04.04.1.00.894,ref-bible.0220.8.16.6-ref-bible.0220.8.16.14,3055847,3055876,464545,464549,ref-y.00004.00004.00001.00000.00890,ref-y.00004.00004.00001.00000.00894,1140971,1141016,192962,192968,ref-bible.00220.00008.00016.00006,ref-bible.00220.00008.00016.00014,אמת ומשפט שלום שפטו בשעריכם ,אמת איש_את_רעהו אמת ומשפט שלום שפטו בשעריכם ,ref-bible
13855,ref-y.04.04.1.00.954-ref-y.04.04.1.00.961,ref-bible.0302.17.14.1-ref-bible.0302.17.14.8,3056187,3056230,464599,464606,ref-y.00004.00004.00001.00000.00954,ref-y.00004.00004.00001.00000.00961,1275571,1275614,217642,217649,ref-bible.00302.00017.00014.00001,ref-bible.00302.00017.00014.00008,פוטר מים ראשית מדון ולפני התגלע הריב נטוש ,פוטר מים ראשית מדון ולפני התגלע הריב נטוש ,ref-bible
13856,ref-y.04.04.1.00.1094-ref-y.04.04.1.00.1104,ref-bible.0313.19.6.1-ref-bible.0313.19.6.12,3056908,3056959,464722,464731,ref-y.00004.00004.00001.00000.01094,ref-y.00004.00004.00001.00000.01104,1550372,1550426,265975,265985,ref-bible.00313.00019.00006.00001,ref-bible.00313.00019.00006.00012,אומר לשופטים ראו מה אתם עושים כי לא לאדם תשפטו כי ,ויאמר אל השפטים ראו מה אתם עשים כי לא לאדם תשפטו כי ,ref-bible
13857,ref-y.04.04.1.00.1320-ref-y.04.04.1.00.1335,ref-bible.0104.6.25.1-ref-bible.0104.6.26.7,3058126,3058210,464898,464913,ref-y.00004.00004.00001.00000.01320,ref-y.00004.00004.00001.00000.01335,268328,268386,45749,45760,ref-bible.00104.00006.00025.00001,ref-bible.00104.00006.00026.00007,יאר ה' פניו אליך ויחנך מיכן שנושאין ונותנין בחמשה ישא ה' פניו אליך וישם לך שלום ,יאר יהוה פניו אליך ויחנך ישא יהוה פניו אליך וישם לך שלום ,ref-bible
13858,ref-y.04.04.1.00.1381-ref-y.04.04.1.00.1391,ref-bible.0206.25.18.1-ref-bible.0206.25.18.12,3058474,3058527,464952,464961,ref-y.00004.00004.00001.00000.01381,ref-y.00004.00004.00001.00000.01391,777017,777075,130972,130981,ref-bible.00206.00025.00018.00001,ref-bible.00206.00025.00018.00012,ויקח שר הטבחים את שריה כהן הראש ואת צפניה כהן הרי ,ויקח רב טבחים את שריה כהן הראש ואת צפניהו כהן משנה ואת ,ref-bible
13859,ref-y.04.04.1.00.1381-ref-y.04.04.1.00.1391,ref-bible.0208.52.24.1-ref-bible.0208.52.24.12,3058474,3058527,464952,464961,ref-y.00004.00004.00001.00000.01381,ref-y.00004.00004.00001.00000.01391,980146,980205,165981,165990,ref-bible.00208.00052.00024.00001,ref-bible.00208.00052.00024.00012,ויקח שר הטבחים את שריה כהן הראש ואת צפניה כהן הרי ,ויקח רב טבחים את שריה כהן הראש ואת צפניה כהן המשנה ואת ,ref-bible
13860,ref-y.04.04.1.00.1423-ref-y.04.04.1.00.1438,ref-bible.0206.25.18.13-ref-bible.0206.25.19.5,3058687,3058772,464989,465003,ref-y.00004.00004.00001.00000.01423,ref-y.00004.00004.00001.00000.01438,777076,777114,130982,130989,ref-bible.00206.00025.00018.00013,ref-bible.00206.00025.00019.00005,שלשת שומרי הסף ושבעה מרואי פני המלך וששים איש מעם הארץ ומן העיר לקח סריס אחד ,שלשת שמרי הסף ומן העיר לקח סריס אחד ,ref-bible
13861,ref-y.04.04.1.00.1423-ref-y.04.04.1.00.1438,ref-bible.0208.52.24.13-ref-bible.0208.52.25.5,3058687,3058772,464989,465003,ref-y.00004.00004.00001.00000.01423,ref-y.00004.00004.00001.00000.01438,980206,980244,165991,165998,ref-bible.00208.00052.00024.00013,ref-bible.00208.00052.00025.00005,שלשת שומרי הסף ושבעה מרואי פני המלך וששים איש מעם הארץ ומן העיר לקח סריס אחד ,שלשת שמרי הסף ומן העיר לקח סריס אחד ,ref-bible
13862,ref-y.04.04.1.00.1950-ref-y.04.04.1.00.1956,ref-bible.0203.3.14.5-ref-bible.0203.3.14.11,3061437,3061470,465418,465424,ref-y.00004.00004.00001.00000.01950,ref-y.00004.00004.00001.00000.01956,523613,523647,87681,87687,ref-bible.00203.00003.00014.00005,ref-bible.00203.00003.00014.00011,אם יתכפר עון בית עלי בזבח ומנחה ,אם יתכפר עון בית עלי בזבח ובמנחה ,ref-bible
13863,ref-y.04.04.1.00.2084-ref-y.04.04.1.00.2106,ref-bible.0209.13.9.1-ref-bible.0209.13.9.21,3062139,3062256,465536,465556,ref-y.00004.00004.00001.00000.02084,ref-y.00004.00004.00001.00000.02106,1001041,1001150,169433,169452,ref-bible.00209.00013.00009.00001,ref-bible.00209.00013.00009.00021,והיתה על ידי הנביאים החוזים שוא בסוד עמי לא יהיו זה עיבור ובכתב בית ישראל לא יכתבו זה המינוי ואל אדמת ישראל לא ,והיתה ידי אל הנביאים החזים שוא והקסמים כזב בסוד עמי לא יהיו ובכתב בית ישראל לא יכתבו ואל אדמת ישראל לא ,ref-bible
